"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brenntag Mid-South Inc.","Brenntag","$5,000","$0","$5,000","2004","20040121","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BRENNTAG MID-SOUTH, INC.","Brenntag","$5,000","$0","$5,000","2014","20140916","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Brenntag Southwest, Inc.","Brenntag","$6,221","$0","$6,221","2010","20100810","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.ttb.gov/images/pdfs/fo-compromise/2010/brenntag-southwest-redacted.pdf",""
"Brenntag Canada Inc.","Brenntag","$5,000","$0","$5,000","2004","20040123","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Brenntag Great Lakes, LLC","Brenntag","$30,381","$0","$30,381","2010","20100810","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.ttb.gov/images/pdfs/fo-compromise/2010/brenntag-great-lakes-redacted.pdf",""
"Brenntag Northeast Inc.","Brenntag","$5,000","$0","$5,000","2016","20160509","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.ttb.gov/images/pdfs/fo-compromise/2016/brenntag-northeast-oic_redacted.pdf",""
"Brenntag Southeast, Inc.","Brenntag","$28,739","$0","$28,739","2010","20100810","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.ttb.gov/images/pdfs/fo-compromise/2010/brenntag_southeast_redacted.pdf",""
"BRENNTAG SOUTHEAST, INC.","Brenntag","$7,000","$0","$7,000","2014","20140325","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Coastal Chem Inc.","Brenntag","$12,500","$0","$12,500","2001","20010227","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2001 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Coastal Chem Inc.","Brenntag","$19,000","$0","$19,000","2007","20071001","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Coastal Chem Inc.","Brenntag","$6,000","$0","$6,000","2001","20011205","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Coastal Chem Inc.","Brenntag","$6,000","$0","$6,000","2001","20011204","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Coastal Chem Inc.","Brenntag","$5,000","$0","$5,000","2007","20071001","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Coastal Chemical Co., LLC","Brenntag","$9,539","$0","$9,539","2014","20140224","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1718893","","","Texas","Kilgore","","75662","424710","424710: Petroleum Bulk Stations and Terminals","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Brenntag Pacific, Inc.","Brenntag","$128,265","$0","$128,265","2021","20210302","environment-related offenses","environmental violation","","Toxic Substances Control Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.epa.gov/newsreleases/major-chemical-distributor-pay-fine-correct-violations-under-settlement-us-epa",""
"COASTAL CHEMICAL CO., L.L.C.","Brenntag","$7,000","$0","$7,000","2010","20100303","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BEAUMONT","6534 INDUSTRIAL ROAD","77705","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG MID-SOUTH, INC.","Brenntag","$11,500","$0","$11,500","2008","20080211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ORLANDO","250 CENTRAL FLORIDA PARKWAY","32824","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG PACIFIC INC","Brenntag","$5,650","$0","$5,650","2009","20090810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SANTA FE SPRINGS","10747 PATTERSON PL","90670","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG SOUTHEAST, INC.","Brenntag","$6,000","$0","$6,000","2004","20040629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","CHARLOTTE","11750 FRUEHAUF DR.","28273","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG SOUTHEAST, INC.","Brenntag","$6,000","$0","$6,000","2004","20040629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","CHARLOTTE","11750 FRUEHAUF DR.","28273","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG SOUTHEAST INC.","Brenntag","$9,063","$0","$9,063","2004","20040503","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","DURHAM","2000 E. PETTIGREW ST.","27703","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG","Brenntag","$6,000","$0","$6,000","2004","20041216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","EAST POINT","2225 LAWRENCE AVE","30344","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRENNTAG MID-SOUTH, INC.","Brenntag","$6,375","$0","$6,375","2009","20090730","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HENDERSON","1405 HWY 136 W","42420","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Brenntag Great Lakes, LLC","Brenntag","$8,000","$0","$8,000","2017","20170623","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZBGL 2015-1(HMT)","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"Brenntag Great Lakes, LLC","Brenntag","$9,000","$0","$9,000","2017","20170623","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZBGL 2015-3(HMT)","","","","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"Brenntag Pacific Inc.","Brenntag","$85,000","$0","$85,000","2007","20070227","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","Germany","","publicly traded","","wholesalers","wholesalers-chemicals","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
