"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Allmand Bros., Inc.","Briggs & Stratton","$10,457","$0","$10,457","2005","20050907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1430050","","","Nebraska","Holdrege","","68949","335122","335122: Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BRIGGS & STRATTON CORPORATION","Briggs & Stratton","$7,000","$0","$7,000","2009","20091109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","WAUWATOSA","3300 NORTH 124TH STREET","53222","333618","333618: Other Engine Equipment Manufacturing","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Briggs & Stratton","Briggs & Stratton","$400,000","$0","$400,000","2002","20020808","safety-related offenses","product safety violation","","","federal","agency action","Consumer Product Safety Commission","civil","","","","","","Wisconsin","Milwaukee","","","","","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","https://www.cpsc.gov/~/link/e64a8c4c557d47a08d92df9e6cbcac12.pdf",""
"Briggs & Stratton Corporation","Briggs & Stratton","$3,950,000","$0","$3,950,000","2016","20160811","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Eastern District of Wisconsin","2:10-cv-0700","Merrill et al v. Briggs & Stratton Corporation et al","settlement","","","","","","","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","https://www.law360.com/articles/783683",""
"Briggs & Stratton Corp.","Briggs & Stratton","$125,000","$0","$125,000","2008","20080616","consumer-protection-related offenses","consumer protection violation","","MTD Products, Inc. and Briggs & Stratton Corp. agreed to pay a total of $250,000 to the state plus restitution to customers in settlement of allegations they installed 16 horsepower engines into lawn tractors and falsely labelled them at 18.5 horsepower. The announcement did not indicate how much each company would pay. Here we assume the amount was divided equally between them.","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","https://web.archive.org/web/20091020131050/http://www.ct.gov/ag/cwp/view.asp?A=2795&Q=417268",""
"Briggs & Stratton Corporation","Briggs & Stratton","$66,661","$0","$66,661","2004","20040127","environment-related offenses","environmental violation","","air pollution","state","agency action","Wisconsin Attorney General","civil","","","","","","Wisconsin","Wauwatosa","","","","","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","https://web.archive.org/web/20060515213859/http://www.doj.state.wi.us/news/2004/nr012704_ENV.asp",""
"Briggs and Stratton Corporation","Briggs & Stratton","$13,875","$0","$13,875","2017","20170101","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","https://ww2.arb.ca.gov/briggs-and-stratton-corporation-case-settlement",""
"BRIGGS & STRATTON CORPORATION","Briggs & Stratton","$7,000","$0","$7,000","2010","20100628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","MURRAY","110 MAIN ST","42071","333618","333618: Other Engine Equipment Manufacturing","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRIGGS & STRATTON CORPORATION","Briggs & Stratton","$52,150","$0","$52,150","2010","20100413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","535 MACON STREET","30253","333112","333112: Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BRIGGS & STRATTON POWER PRODUCTS GROUP, LLC","Briggs & Stratton","$75,000","$0","$75,000","2011","20110601","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","MUNNSVILLE","5375 N. MAIN STREET","13409","333111","333111: Farm Machinery and Equipment Manufacturing","USA","Wisconsin","privately held","","miscellaneous manufacturing","engines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
