"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$10,500","$0","$10,500","2014","20140930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$10,200","$0","$10,200","2013","20130930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$7,050","$0","$7,050","2011","20110929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$6,500","$0","$6,500","2010","20100930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$5,325","$0","$5,325","2012","20120925","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway","Brookfield Asset Management","$5,225","$0","$5,225","2012","20120925","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Alabama & Gulf Coast Railway LLC.","Brookfield Asset Management","$7,410","$0","$7,410","2016","20160927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Alabama & Gulf Coast Railway LLC.","Brookfield Asset Management","$6,250","$0","$6,250","2008","20080124","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Alabama & Gulf Coast Railway LLC.","Brookfield Asset Management","$5,850","$0","$5,850","2016","20160927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Alabama & Gulf Coast Railway LLC.","Brookfield Asset Management","$5,000","$0","$5,000","2006","20061129","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","BAM","diversified","diversified","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
