"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brookshire Grocery Company","Brookshire Grocery","$19,321","$0","$19,321","2014","20141205","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1739592","","","Texas","Tyler","","75710","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$9,450","$0","$9,450","2015","20151216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","13157 U.S. HIGHWAY 271 NORTH","75708","311520","311520: Ice Cream and Frozen Dessert Manufacturing","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$7,000","$0","$7,000","2016","20160224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","200 N. FULLER","75702","325211","325211: Plastics Material and Resin Manufacturing","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$33,867","$0","$33,867","2017","20170901","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","1600 WEST S.W. LOOP 323","75701","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$9,000","$0","$9,000","2018","20180911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","1600 WEST S.W. LOOP 323","75701","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$12,934","$0","$12,934","2018","20181203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TEXARKANA","2610 RICHMOND ROAD","75503","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY, INC.","Brookshire Grocery","$10,608","$0","$10,608","2019","20190318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","1600 W. SW LOOP 323","75710","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$11,366","$0","$11,366","2019","20190724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MOUNT PLEASANT","602 S. JEFFERSON AVE.","75455","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY CO.","Brookshire Grocery","$10,446","$0","$10,446","2019","20191119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","NATCHITOCHES","5696 HWY 1 BYPASS","71457","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BROOKSHIRE GROCERY COMPANY","Brookshire Grocery","$12,346","$0","$12,346","2020","20200518","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","TYLER","13157 N HWY. 271","75708","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Texas","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
