"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Buckeye Partners","Buckeye Partners","$50,000","$0","$50,000","2014","20140926","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Buckeye Partners","Buckeye Partners","$7,500","$0","$7,500","2011","20110307","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Buckeye Partners LP","Buckeye Partners","$193,000","$0","$193,000","2017","20170413","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","https://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120145007.html?nocache=7570",""
"Buckeye Partners LP","Buckeye Partners","$50,400","$0","$50,400","2017","20170420","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","https://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120155019.html?nocache=5258",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$7,500","$0","$7,500","2009","20090129","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120065006.html?nocache=846",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$402,500","$0","$402,500","2010","20100414","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320105006.html?nocache=1772",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$290,000","$0","$290,000","2013","20130506","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120135006.html?nocache=3781",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$271,300","$0","$271,300","2014","20140328","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320145003.html?nocache=4188",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$141,200","$0","$141,200","2011","20111018","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120115010.html?nocache=5878",""
"BUCKEYE PARTNERS LP","Buckeye Partners","$102,800","$0","$102,800","2013","20130125","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","BPL","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120135003.html?nocache=9787",""
