"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bunge Global Markets, Inc.","Bunge","$550,000","$0","$550,000","2011","20110322","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","http://www.cftc.gov/PressRoom/PressReleases/pr6007-11",""
"Bunge North America Inc","Bunge","$13,900,000","$0","$13,900,000","2006","20061026","environment-related offenses","environmental violation","","Bunge North America Inc. agreed to a $13.9 million settlement covering 12 plants in eight states to resolve allegations that the company violated the Clean Air Act by making major modifications that increased emissions without obtaining pre-construction permits and without complying with applicable standards of performance for new air pollution sources.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","https://www.justice.gov/archive/opa/pr/2006/October/06_enrd_727.html",""
"Bunge Oils, Inc.","Bunge","$370,319","$0","$370,319","2006","20060505","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-24830-001","","","Texas","Fort Worth","","76106","311999","311999: All Other Miscellaneous Food Manufacturing","Bermuda","","publicly traded","BG","agribusiness","agribusiness","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"BUNGE NORTH AMERICA","Bunge","$6,375","$0","$6,375","2008","20080610","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","GREENVILLE","992 RIVER GRAIN ROAD","38701","424510","424510: Grain and Field Bean Merchant Wholesalers","Bermuda","","publicly traded","BG","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CENTRAL SOYA COMPANY, INC.","Bunge","$7,500","$0","$7,500","2002","20021003","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","JEFFERSONVILLE","12574 ST. RT. 41","43128","000000","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUNGE NORTH AMERICA (SPD WEST), INC.","Bunge","$14,500","$0","$14,500","2002","20020923","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","EMPORIA","701 E. 6TH AVE.","66801","000000","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUNGE FOODS INC","Bunge","$5,000","$0","$5,000","2002","20020130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FORT WORTH","400 E EXCHANGE","76106","000000","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Bunge North America Inc.","Bunge","$1,875,000","$1,875,000","$0","2006","20061026","environment-related offenses","environmental violation","","Bunge agreed to pay $1.875 million -- consisting of a $625,000 fine and $1.25 million in spending on environmental projects -- to eight states and the federal government to resolve alleged environmental violations at 12 processing facilities. This was part of a larger $13.9 million settlement announced by the Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bunge-north-america-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","https://web.archive.org/web/20071020214935/http://www.illinoisattorneygeneral.gov/pressroom/2006_10/20061031.html",""
"Bunge North America, Inc.","Bunge","$250,000","$0","$250,000","2019","20191112","environment-related offenses","environmental violation","","air quality violation","state","agency action","Alabama Department of Environmental Management","civil","","","20-012-CAP","","","Alabama","","","","","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","http://adem.alabama.gov/compInfo/2020orders.pdf",""
"Bunge Corporation","Bunge","$135,000","$0","$135,000","2000","20001102","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","01-009-CAP   ","","","Alabama","","","","","","Bermuda","","publicly traded","BG","agribusiness","agribusiness","List of FY2001 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
