"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BURLINGTON COAT FACTORY WAREHOUSE","Burlington Stores","$10,001","$0","$10,001","2002","20020423","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Burlington Coat Factory Warehouse Corp.","Burlington Stores","$1,500,000","$0","$1,500,000","2012","20120726","safety-related offenses","product safety violation","","clothing-children's sweatshirts and jackets","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","http://www.cpsc.gov/en/Newsroom/News-Releases/2012/Burlington-Coat-Factory-Agrees-to-15-Million-Civil-Penalty-for-Failure-to-Report-Drawstrings-in-Childrens-Outerwear-and-for-Selling-Recalled-Outerwear/",""
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$24,420","$0","$24,420","2003","20031226","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1287275","","","New Jersey","Burlington","","08016","45211","45211: Department Stores","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Burlington Coat Factory of Pennsylvania , LLC","Burlington Stores","$13,475","$0","$13,475","2010","20100320","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1561192","","","Pennsylvania","Philadelphia","","19124","448140","448140: Family Clothing Stores","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$3,000,000","$0","$3,000,000","2021","20210301","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Central District of California","5:18cv666","Amanda Gonzalez et al v. Burlington Coat Factory Warehouse Corporation","settlement","California","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","https://www.law360.com/articles/1303704/burlington-coat-workers-get-nod-for-3m-wage-suit-deal",""
"BURLINGTON COAT FACTORY DIRECT CORP.","Burlington Stores","$6,700","$0","$6,700","2005","20050202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LAKE GROVE","2900 MIDDLE COUNTRY ROAD","11755","448140","448140: Family Clothing Stores","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BURLINGTON COAT FACTORY","Burlington Stores","$7,700","$0","$7,700","2004","20040827","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","DANBURY","1 PADANARAM ROAD","06810","448140","448140: Family Clothing Stores","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$1,800,000","$0","$1,800,000","2016","20160408","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Central District of California","13-cv-02426","Armida Rodriguez v. Burlington Coat Factory Warehouse Corporation et al","settlement","","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","https://www.law360.com/articles/733785/burlington-s-1-8m-deal-over-rest-breaks-bag-checks-ok-d",""
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$5,750,000","$0","$5,750,000","2011","20110711","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","09-cv-08061","May Vang v. Burlington Coat Factory Warehouse Corporation et al","settlement","","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","https://www.law360.com/articles/254149/burlington-coat-factory-settles-wage-suit-for-5-7m",""
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$25,000","$0","$25,000","2006","20060127","environment-related offenses","environmental violation","","A group of major retailers and a group of jewelry manufacturers joined a settlement involving the presence of lead in costume jewelry sold to children.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-major-us-companies-reduce-lead",""
"Burlington Coat Factory Warehouse Corporation","Burlington Stores","$19,613,900","$0","$19,613,900","2020","20201215","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","District of New Jersey","1:11cv4395","Goodman v. Burlington Coat Factory Warehouse Corporation et al","settlement","","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","https://www.law360.com/articles/1296323/burlington-coat-factory-to-pay-20m-to-end-two-flsa-suits",""
"Burlington Coat Factory","Burlington Stores","$25,000","$0","$25,000","2013","20130827","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","New Jersey","publicly traded","BURL","retailing","retail-apparel","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-oct4-017.pdf?sfvrsn=2",""
