"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BUTTERBALL, LLC","Butterball LLC","$7,000","$0","$7,000","2007","20071227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LONGMONT","150 MAIN ST","80501","311615","311615: Poultry Processing","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUTTERBALL TURKEY COMPANY","Butterball LLC","$28,000","$0","$28,000","2003","20030123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","CARTHAGE","411 NORTH MAIN STREET","64836","311615","311615: Poultry Processing","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUTTERBALL TURKEY COMPANY","Butterball LLC","$21,759","$0","$21,759","2000","20000523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","CARTHAGE","411 NORTH MAIN STREET","64836","000000","","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUTTERBALL TURKEY COMPANY","Butterball LLC","$14,200","$0","$14,200","2000","20000523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","CARTHAGE","411 NORTH MAIN STREET","64836","000000","","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Butterball LLC","Butterball LLC","$4,250,000","$0","$4,250,000","2012","20121109","employment-related offenses","wage and hour violation","","donning and doffing","federal","private litigation","","civil","","Eastern District of Arkansas","10-cv-1025; 08-cv-0342","Garner et al v. Butterball LLC et al; Helmert et al v. Butterball LLC","settlement","","","","","","","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","https://www.law360.com/articles/365196/butterball-rolls-out-4m-deal-to-end-don-doff-disputes",""
"Butterball LLC","Butterball LLC","$6,576,000","$0","$6,576,000","2012","20120319","employment-related offenses","wage and hour violation","","donning and doffing","federal","private litigation","","civil","","Eastern District of North Carolina","07-cv-0174","Martinez-Hernandez et al v. Butterball, LLC et al","settlement","","","","","","","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","https://www.law360.com/articles/286847/butterball-to-shell-out-4m-in-don-doff-class-action-deal","Doffing and donning case involving turkey processing plant workers."
"Butterball LLC","Butterball LLC","$63,000","$0","$63,000","2014","20140811","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Western District of Missouri","2:13-cv-4138","Nicolet v. Butterball LLC","settlement","","","","","","","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","https://www.leagle.com/decision/infdco20140429c78",""
"BUTTERBALL LLC","Butterball LLC","$6,175","$0","$6,175","2010","20100217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","COLUMBUS","6410 SW HALLOWELL RD","66725","311119","311119: Other Animal Food Manufacturing","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUTTERBALL, LLC","Butterball LLC","$13,065","$0","$13,065","2013","20130729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","RED SPRINGS","7097 WALTER GIBSON ROAD","28377","112330","112330: Turkey Production","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BUTTERBALL, LLC","Butterball LLC","$12,500","$0","$12,500","2014","20140224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","MONTGOMERY","2125 ROCHESTER DRIVE","60538","311612","311612: Meat Processed from Carcasses","USA","North Carolina","joint venture (owned 50-50 by Seaboard and Maxwell Farms)","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
