"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Buzzi Unicem USA","Buzzi Unicem","$22,000","$0","$22,000","2010","20101013","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-29857-001","","","Missouri","Festus","","63028","327310","327310: Cement Manufacturing","Italy","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"BUZZI UNICEM USA, INC.","Buzzi Unicem","$50,001","$0","$50,001","2008","20081110","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $50,001 to $100,000."
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$5,000","$0","$5,000","2015","20150204","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$56,988","$0","$56,988","2017","20170502","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$45,827","$0","$45,827","2016","20160803","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$27,000","$0","$27,000","2016","20160714","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$75,245","$0","$75,245","2012","20120312","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$16,865","$0","$16,865","2011","20110809","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$31,394","$0","$31,394","2010","20100819","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$128,230","$0","$128,230","2006","20060412","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$6,194","$0","$6,194","2005","20051114","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$51,032","$0","$51,032","2005","20050412","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERCULES CEMENT CO LP DBA BUZZI UNICEM USA","Buzzi Unicem","$8,600","$0","$8,600","2005","20050812","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BUZZI UNICEM USA MID ATLANTIC INC","Buzzi Unicem","$17,035","$0","$17,035","2004","20040901","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BUZZI UNICEM USA MID ATLANTIC INC","Buzzi Unicem","$26,010","$0","$26,010","2002","20021202","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BUZZI UNICEM USA MID ATLANTIC INC","Buzzi Unicem","$107,000","$0","$107,000","2001","20011126","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"BUZZI UNICEM USA MID ATLANTIC INC","Buzzi Unicem","$109,109","$0","$109,109","2000","20000630","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ALAMO CONCRETE PRODUCTS LTD.","Buzzi Unicem","$9,000","$0","$9,000","2008","20080102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","ELGIN","13101 BALLERSTEDT RD.","78621","327320","327320: Ready-Mix Concrete Manufacturing","Italy","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LONE STAR IND","Buzzi Unicem","$15,000","$0","$15,000","2010","20100505","environment-related offenses","environmental violation","","waste management violation","state","agency action","Illinois Environmental Protection Agency","civil","","","09-CH-77","","","Illinois","","","","","","Italy","","publicly traded","","building materials","building materials","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"LONE STAR INDUSTRIES INC DBA BUZZI UNICEM USA","Buzzi Unicem","$12,000","$0","$12,000","2017","20170403","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Greencastle","","","","","Italy","","publicly traded","","building materials","building materials","http://www.in.gov/idem/oe/cause/AO/24034-A.htm",""
"LONE STAR INDUSTRIES INC DBA BUZZI UNICEM USA","Buzzi Unicem","$14,063","$0","$14,063","2016","20161228","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Greencastle","","","","","Italy","","publicly traded","","building materials","building materials","http://www.in.gov/idem/oe/cause/AO/23540-S.htm",""
"LONE STAR INDUSTRIES INC DBA BUZZI UNICEM USA","Buzzi Unicem","$7,750","$0","$7,750","2009","20091228","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Greencastle","","","","","Italy","","publicly traded","","building materials","building materials","http://www.in.gov/idem/oe/cause/AO/18642-A.htm",""
"LONE STAR INDUSTRIES INC DBA BUZZI UNICEM USA","Buzzi Unicem","$23,000","$0","$23,000","2006","20060517","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Greencastle","","","","","Italy","","publicly traded","","building materials","building materials","http://www.in.gov/idem/oe/cause/AO/13894-A.htm",""
"LONE STAR INDUSTRIES INC DBA BUZZI UNICEM USA","Buzzi Unicem","$15,000","$0","$15,000","2004","20041209","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Greencastle","","","","","Italy","","publicly traded","","building materials","building materials","http://www.in.gov/idem/oe/cause/AO/12702-H.htm",""
