"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"C & S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$779,902","$0","$779,902","2007","20071226","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1498833","","","New Hampshire","Keene","","03431","424410","424410: General Line Grocery Merchant Wholesalers","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"C & S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$55,320","$0","$55,320","2008","20080803","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1518343","","","New Hampshire","Keene","","03431","424410","424410: General Line Grocery Merchant Wholesalers","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"C & S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$14,481","$0","$14,481","2015","20150801","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1726968","","","New Hampshire","Keene","","03431","42449","42449: Other Grocery and Related Products Merchant Wholesalers","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"C & S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$10,038","$0","$10,038","2005","20050510","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1394629","","","New York","Middleburgh","","12122","44511","44511: Supermarkets and Other Grocery (except Convenience) Stores","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"C& S Wholesale Grocers Inc.","C&S Wholesale Grocers","$12,573","$0","$12,573","2007","20070321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1451168","","","Connecticut","Suffield","","06078","4244","4244: Grocery and Related Product Wholesalers","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"C&S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$126,700","$0","$126,700","2012","20120516","environment-related offenses","environmental violation","","C&S Wholesale Grocers, Inc., a large food distribution business headquartered in Keene, N.H., has agreed to pay a penalty of $126,700 to settle claims by that it violated the Clean Air Act.","federal","agency action","Environmental Protection Agency","civil","","","","","","New Hampshire","Keene","","","","","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/b3dec8eb4185937e85257a0100530020.html",""
"C&S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$85,000","$0","$85,000","2015","20151216","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","https://www.dol.gov/ofccp/foia/files/C-S_WholesaleGrocersIncCA_Redacted.pdf",""
"C&S Wholesale Grocers, Inc.","C&S Wholesale Grocers","$49,063","$0","$49,063","2013","20130831","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1697006","","","Pennsylvania","Du Bois","","15801","4244","4244: Grocery and Related Product Wholesalers","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Piggly Wiggly Food Stores of Jefferson County","C&S Wholesale Grocers","$19,844","$0","$19,844","2007","20070407","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1475558","","","Alabama","Birmingham","","35213","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Piggly Wiggly Food Stores of Jefferson County","C&S Wholesale Grocers","$9,311","$0","$9,311","2007","20070407","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1478115","","","Alabama","Birmingham","","35209","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New Hampshire","privately held","","wholesalers","wholesalers-food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
