"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Harrah's Chester Casino & Racetrack","Caesars Holdings","$63,000","$0","$63,000","2011","20110126","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency today announced it has settled a Clean Water Act case with Harrahs Chester Casino & Racetrack (Harrah's) for unpermitted discharges to the Delaware River. Under the settlement, Harrah's has agreed to pay a $39,000 penalty and to take measures, costing an estimated $24,000, to reduce water pollution from the facility.","federal","agency action","Environmental Protection Agency","civil","","","","","","Pennsylvania","Chester","","","","","USA","Nevada","publicly traded","CZR","entertainment","casinos","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f3af54a5565c6b288525782400606db0.html",""
"Bally's Park Place d/b/a Bally's Atlantic City","Caesars Holdings","$5,000","$0","$5,000","2008","20080701","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-35516-001","","","New Jersey","Atlantic City","","08401","713290","713290: Other Gambling Industries","USA","Nevada","publicly traded","CZR","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","Caesars Entertainment leases the casino from Vici Properties"
"Caesar's Atlantic City","Caesars Holdings","$5,000","$0","$5,000","2003","20030506","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-31788-001","","","New Jersey","Atlantic City","","08401","713210","713210: Casinos (except Casino Hotels)","USA","Nevada","publicly traded","CZR","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Caesar's Casino Hotel","Caesars Holdings","$800,000","$0","$800,000","2004","20040628","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-30635-001","","","New Jersey","Atlantic City","","08401","721120","721120: Casino Hotels","USA","Nevada","publicly traded","CZR","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Caesar's Entertainment, Inc.","Caesars Holdings","$11,335","$0","$11,335","2012","20120402","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1643625","","","Mississippi","Robinsonville","","38664","713290","713290: Other Gambling Industries","USA","Nevada","publicly traded","CZR","entertainment","casinos","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Caesar's Entertainment/Park Place Bally's","Caesars Holdings","$54,000","$0","$54,000","2004","20040818","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32794-001","","","New Jersey","Atlantic City","","08401","713290","713290: Other Gambling Industries","USA","Nevada","publicly traded","CZR","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Caesars Palace","Caesars Holdings","$850,000","$0","$850,000","2007","20070820","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Nevada","","","","","","USA","Nevada","publicly traded","CZR","entertainment","casinos","https://www.eeoc.gov/eeoc/newsroom/release/archive/8-20-07.html","Description field shows type of discrimination that EEOC had alleged."
"Caesars Riverboat Casino, LLC","Caesars Holdings","$5,655","$0","$5,655","2009","20090926","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501695","","","Indiana","Elizabeth","","47117","721120","721120: Casino Hotels","USA","Nevada","publicly traded","CZR","entertainment","casinos","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Desert Palace, Inc. d/b/a Caesars Palace","Caesars Holdings","$8,000,000","$0","$8,000,000","2015","20150908","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network announced a settlement with Desert Palace, Inc. d/b/a Caesars Palace whereby Caesars agreed to pay an $8 million civil money penalty for willful and repeated violations of the Bank Secrecy Act.","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","USA","Nevada","publicly traded","CZR","entertainment","casinos","https://www.fincen.gov/news_room/nr/html/20150908.html","Caesars Entertainment leases the casino from Vici Properties"
"Desert Palace, Inc. d/b/a Caesar's Palace","Caesars Holdings","$100,000","$0","$100,000","2005","20051215","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20052-001","","","Nevada","Las Vegas","","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","CZR","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","Caesars Entertainment leases the casino from Vici Properties"
