"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cal-Maine Foods, Inc.","Cal-Maine Foods","$475,000","$0","$475,000","2015","20150413","environment-related offenses","environmental violation","","The U.S. has reached a settlement with Cal-Maine Foods, Inc., one of the nation's largest egg producers, that resolves Clean Water Act violations at the company's poultry egg production facility in Edwards, Mississippi, announced the Justice Department's Environment and Natural Resources Division and the U.S. Environmental Protection Agency (EPA). Under the settlement, Cal-Maine will bring the facility into compliance with its state-issued water discharge permit, significantly reduce nutrient pollution discharges and improve environmental data collection and reporting practices. The company will also pay a $475,000 penalty to be split evenly between the U.S. and Mississippi.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Mississippi","Edwards","","","","","USA","Mississippi","publicly traded","CALM","food products","food products","http://www.justice.gov/opa/pr/major-egg-producer-reduce-water-pollution-discharges-mississippi-facility",""
"ZEPHYR EGG COMPANY","Cal-Maine Foods","$9,800","$0","$9,800","2004","20041001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","KATHLEEN","13691 O'CONNOR ROAD","33810","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$5,000","$0","$5,000","2019","20191113","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","191548","","","Florida","","","","","","USA","Mississippi","publicly traded","CALM","food products","food products","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$5,000","$0","$5,000","2010","20101019","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","102256","","","Florida","","","","","","USA","Mississippi","publicly traded","CALM","food products","food products","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"ZEPHYR EGG COMPANY, FARM #85","Cal-Maine Foods","$21,000","$0","$21,000","2001","20010917","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","992137","","","Florida","","","","","","USA","Mississippi","publicly traded","CALM","food products","food products","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Cal-Maine Foods, Inc.","Cal-Maine Foods","$8,775","$0","$8,775","2009","20091113","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Mississippi","publicly traded","CALM","food products","food products","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2010.pdf",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$5,200","$0","$5,200","2015","20150413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","UNION CITY","1039 ZUMBRUM RD.","45390","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS INC.","Cal-Maine Foods","$7,000","$0","$7,000","2016","20160107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","SHADY DALE","220 SOUTHERN EMPIRE RD","31085","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS INC","Cal-Maine Foods","$5,250","$0","$5,250","2016","20160329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","CHASE","625 AVENUE K","67524","311119","311119: Other Animal Food Manufacturing","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS INC","Cal-Maine Foods","$7,000","$0","$7,000","2016","20160329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","CHASE","625 AVENUE K","67524","311119","311119: Other Animal Food Manufacturing","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$24,942","$0","$24,942","2016","20160908","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","QUINCY","673 SHADE FARM ROAD","32353","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS INC","Cal-Maine Foods","$5,600","$0","$5,600","2017","20170404","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","BREMEN","11500 ST. ROUTE 181 NORTH","42325","112340","112340: Poultry Hatcheries","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$18,333","$0","$18,333","2017","20170629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","EDWARDS","1545 ADAMS LN","39066","811198","811198: All Other Automotive Repair and Maintenance","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$14,965","$0","$14,965","2019","20190402","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","BUSHNELL","9565 COUNTY ROAD 476B","33513","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS, INC.","Cal-Maine Foods","$26,786","$0","$26,786","2019","20190426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HARWOOD","1974 CR 283 WEST","78632","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CAL-MAINE FOODS INC.","Cal-Maine Foods","$8,096","$0","$8,096","2020","20200610","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MARION","1255 STOLTE RD","78124","112310","112310: Chicken Egg Production","USA","Mississippi","publicly traded","CALM","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
