"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Blue Shield of California Promise Health Plan","California Physicians' Service","$148,506","$0","$148,506","2020","20200228","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","California","non-profit","","financial services","insurance","https://www.cms.gov/medicarecompliance-and-auditspart-c-and-part-d-compliance-and-auditspartcandpartdenforcementactions/blueshieldcacmp02282020",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2002","20020415","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2002","20020814","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$15,000","$0","$15,000","2004","20040412","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2004","20040421","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$20,000","$0","$20,000","2004","20041015","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$20,000","$0","$20,000","2004","20041103","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2005","20050419","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$100,000","$0","$100,000","2005","20050429","consumer-protection-related offenses","insurance violation","","The Department shall impose administrative penalties upon a determination that a Plan has interfered with the independent review process.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/docs/405/1334612679362.pdf",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2006","20060117","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2006","20060119","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$50,000","$0","$50,000","2006","20060804","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$50,000","$0","$50,000","2006","20060828","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$7,500","$0","$7,500","2006","20061006","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2006","20061114","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$7,500","$0","$7,500","2006","20061208","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$10,000","$0","$10,000","2007","20070104","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2007","20070716","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2007","20070731","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$500,000","$0","$500,000","2007","20071126","consumer-protection-related offenses","insurance violation","","Improperly engaging in conduct that prolongs the independent review process or prolongs implementation of decision.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/docs/683/1196207439836.pdf",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$50,000","$0","$50,000","2007","20071220","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$17,500","$0","$17,500","2008","20080220","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$45,000","$0","$45,000","2008","20080515","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"Blue Shield of California","California Physicians' Service","$5,000,000","$0","$5,000,000","2008","20080717","consumer-protection-related offenses","insurance violation","","rescission violations","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/July17,2008BSC.aspx",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$7,500","$0","$7,500","2008","20080926","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$40,000","$0","$40,000","2008","20081222","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$1,250,000","$0","$1,250,000","2008","20081230","consumer-protection-related offenses","insurance violation","","Failure to have all services readily available at reasonable times consistent with good professional practice and readily accessible consistent with Section 1367.03.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/docs/811/1231196357700.pdf",""
"Blue Shield of California Life & Health Insurance Co.","California Physicians' Service","$285,000","$0","$285,000","2009","20090108","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$12,500","$0","$12,500","2009","20090226","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$15,000","$0","$15,000","2009","20090605","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$30,000","$0","$30,000","2009","20091019","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20100106","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20100721","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20100913","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$300,000","$0","$300,000","2010","20101021","consumer-protection-related offenses","insurance violation","","Failure to maintain a 95% compliance rate with regards to claims processing over a three-month period and other violations.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/docs/1286/1288126313940.pdf",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20101105","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20101111","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"Blue Shield of California","California Physicians' Service","$900,000","$0","$900,000","2010","20101129","consumer-protection-related offenses","insurance violation","","violations regarding payment of provider claims","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://www.dmhc.ca.gov/AbouttheDMHC/Newsroom/November29,2010.aspx",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$400,000","$0","$400,000","2010","20101129","consumer-protection-related offenses","insurance violation","","Failure to establish and maintain a dispute resolution mechanism and other violations.","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/docs/1306/1291835391635.pdf",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20101202","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$10,000","$0","$10,000","2010","20101202","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2010","20101217","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2011","20110330","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2011","20110531","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$40,000","$0","$40,000","2011","20110706","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2011","20111007","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$10,000","$0","$10,000","2011","20111019","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$20,000","$0","$20,000","2011","20111021","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2012","20120117","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2012","20120119","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$7,500","$0","$7,500","2012","20120214","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2012","20120424","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"California Physicians' Service dba Blue Shield of California","California Physicians' Service","$5,000","$0","$5,000","2012","20120920","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=California+Physicians%27+Service",""
"Blue Shield of California Promise Health Plan","California Physicians' Service","$50,000","$0","$50,000","2012","20121205","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","California","non-profit","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Blue+Shield+of+California+Promise+Health+Plan",""
