"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Occidental Elk Hills Inc.","California Resources","$135,744","$0","$135,744","2014","20140930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to report production on 14 wells for 122 production months.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","https://www.onrr.gov/compliance/PDFDocs/2014.pdf",""
"OCCIDENTAL OF ELK HILLS INC","California Resources","$18,000","$0","$18,000","2010","20100217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BUTTONWILLOW","OCCIDENTAL OF ELK HILLS WELL 627-13Z","93206","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","California","publicly traded","CRC","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OCCIDENTAL OF ELK HILLS, INC.","California Resources","$35,000","$0","$35,000","2007","20070207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TUPMAN","28590 HWY 119","93276","561320","561320: Temporary Help Services","USA","California","publicly traded","CRC","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"California Resources Corporation","California Resources","$464,000","$0","$464,000","2019","20191008","environment-related offenses","environmental violation","","California Resources agreed to pay $464,000 to the district attorneys of Kern, Los Angeles, Santa Barbara and Ventura counties to resolve alleged hazardous waste violations.","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","https://www.kerncounty.com/artman2/main/uploads/1/52_-__10.8.19_CRC_Environmental_settlement.pdf",""
"THUMS Long Beach Company","California Resources","$254,100","$0","$254,100","2014","20140601","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","https://ww2.arb.ca.gov/thums-long-beach-company-settlement",""
"Occidental of Elk Hills, Inc.","California Resources","$346,500","$0","$346,500","2014","20141007","environment-related offenses","environmental violation","","water pollution","state","agency action","California State Water Resources Control Board","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/kern/r5-2014-0535.pdf",""
"California Resources Production Corp","California Resources","$6,500","$0","$6,500","2017","20171205","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2018/2018-feb2-016.pdf?sfvrsn=8",""
"Thums Long Beach Co","California Resources","$5,000","$0","$5,000","2017","20170801","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2017/2017-oct6-018.pdf?sfvrsn=5",""
"Thums Long Beach","California Resources","$6,500","$0","$6,500","2006","20060214","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","http://www3.aqmd.gov/hb/2006/June/060612a.html",""
"Thums Long Beach","California Resources","$217,000","$0","$217,000","2013","20130201","environment-related offenses","environmental violation","","Settlement of fine over operating permit, emissions, regional clean air incentives market, and wastewater regulations.","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","CRC","oil and gas","oil & gas","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-apr5-017.pdf?sfvrsn=0",""
