"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CALIFORNIA PORTLAND CEMEMT CO. d/b/a CATALINA PACIFIC CONCRETE","CalPortland","$536,537","$0","$536,537","2006","20060504","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-31978-001","","","California","GLENDORA","","91740","327390","327390: Other Concrete Product Manufacturing","USA","California","privately held","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CalPortland Company","CalPortland","$1,425,000","$0","$1,425,000","2011","20111215","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency and the U.S. Department of Justice announced that CalPortland Company (CPC), a major producer of Portland cement and building materials in the United States, agreed to pay a $1.425 million dollar penalty to resolve alleged violations of the Clean Air Act at its cement plant in Mojave, California. ","federal","agency action","Environmental Protection Agency","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www2.epa.gov/enforcement/california-portland-company-settlement",""
"CalPortland Company","CalPortland","$350,000","$0","$350,000","2010","20101020","environment-related offenses","environmental violation","","The US Department of Justice, on behalf of the US Environmental Protection Agency, lodged a consent decree resolving Clean Air Act claims against CalPortland Company with respect to the company's Rillito, Arizona, portland cement plant. The settlement will resolve claims that CalPortland did not obtain permits required by the Clean Air Act. As a result, CalPortland will either upgrade equipment, such as baghouses and spraybars to reduce particle pollution, or install a new, state-of-the-art kiln and retire four existing kilns.  In addition, the cement manufacturer must pay a $350,000 civil penalty.","federal","agency action","Environmental Protection Agency","civil","","","","","","Arizona","Rillito","","","","","USA","California","privately held","","building materials","building materials","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/b33851a808d7a9f3852577c20056cd7a.html",""
"CALIFORNIA PORTLAND CEMENT COMPANY","CalPortland","$18,300","$0","$18,300","2002","20021218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COLTON","695 SOUTH RANCHO AVENUE","92324","212321","212321: Construction Sand and Gravel Mining","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"California Portland Cement Co","CalPortland","$20,500","$0","$20,500","2020","20200716","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2020/2020-sept4-014.pdf?sfvrsn=2",""
"California Portland Cement Co","CalPortland","$5,000","$0","$5,000","2019","20191226","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2020/2020-feb7-010.pdf?sfvrsn=2",""
"California Portland Cement Co","CalPortland","$5,000","$0","$5,000","2019","20191226","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2020/2020-feb7-010.pdf?sfvrsn=2",""
"California Portland Cement Co","CalPortland","$7,500","$0","$7,500","2019","20190703","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2019/2019-oct4-016.pdf?sfvrsn=2",""
"California Portland Cement Co.","CalPortland","$8,500","$0","$8,500","2019","20190124","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2019/2019-mar1-014.pdf?sfvrsn=6",""
"California Portland Cement Co.","CalPortland","$10,000","$0","$10,000","2018","20181023","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2018/2018-dec7-014.pdf?sfvrsn=2",""
"California Portland Cement Co","CalPortland","$11,000","$0","$11,000","2017","20171010","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2017/2017-dec1-019.pdf?sfvrsn=5",""
"California Portland Cement Co","CalPortland","$30,000","$0","$30,000","2017","20170119","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2017/2017-mar3-018.pdf?sfvrsn=6",""
"California Portland Cement Co","CalPortland","$5,000","$0","$5,000","2004","20041117","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www3.aqmd.gov/hb/2005/February/050213a.html",""
"California Portland Cement Co.","CalPortland","$5,000","$0","$5,000","2009","20090918","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www3.aqmd.gov/hb/2009/December/091221a.htm",""
"California Portland Cement Co.","CalPortland","$11,389","$0","$11,389","2011","20111202","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","building materials","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2012/2012-feb3-013.pdf?sfvrsn=2",""
"CALPORTLAND COMPANY INC.","CalPortland","$9,500","$0","$9,500","2017","20171010","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ORO GRANDE","19409 NATIONAL TRAILS HIGHWAY","92368","212312","212312: Crushed and Broken Limestone Mining and Quarrying","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CALPORTLAND COMPANY","CalPortland","$5,115","$0","$5,115","2018","20180221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COLTON","695 S. RANCHO AVENUE","92324","212312","212312: Crushed and Broken Limestone Mining and Quarrying","USA","California","privately held","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CA PORTLAND CEMENT CO","CalPortland","$1,425,000","$1,425,000","$0","2012","20120209","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2008-0500","","","California","MOJAVE","OAK CREEK RD 3 MI W MOJAVE","93501","327310","327310: Cement Manufacturing","USA","California","privately held","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"California Portland Cement (CPCC)","CalPortland","$70,000","$0","$70,000","2009","20090205","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2008-0509","","","","","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CalPortland","CalPortland","$5,961","$0","$5,961","2007","20071031","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Colton","","","","","USA","California","privately held","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
