"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Care One, LLC","CareOne Management","$363,774","$0","$363,774","2006","20060831","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1457039","","","New Jersey","Fort Lee","","07024","62311","62311: Nursing Care Facilities","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Care One, LLC","CareOne Management","$52,916","$0","$52,916","2007","20070806","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1482131","","","New Jersey","Fort Lee","","07024","623110","623110: Nursing Care Facilities","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CARE ONE AT NORTHAMPTON","CareOne Management","$7,803","$0","$7,803","2018","20180530","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Massachusetts","NORTHAMPTON","548 ELM STREET","01060","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT NORTHAMPTON","CareOne Management","$6,500","$0","$6,500","2017","20170721","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Massachusetts","NORTHAMPTON","548 ELM STREET","01060","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT HANOVER TOWNSHIP","CareOne Management","$7,950","$0","$7,950","2015","20150916","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","New Jersey","WHIPPANY","101 WHIPPANY ROAD","07981","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT THE HIGHLANDS","CareOne Management","$10,813","$0","$10,813","2015","20150730","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","New Jersey","EDISON","1350 INMAN AVENUE","08820","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT NEW BEDFORD","CareOne Management","$11,440","$0","$11,440","2016","20160711","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Massachusetts","NEW BEDFORD","221 FITZGERALD DRIVE","02745","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT TEANECK","CareOne Management","$20,505","$0","$20,505","2016","20161209","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","New Jersey","TEANECK","544 TEANECK ROAD","07666","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT NORTHAMPTON","CareOne Management","$22,225","$0","$22,225","2016","20161018","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Massachusetts","NORTHAMPTON","548 ELM STREET","01060","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"CARE ONE AT LOWELL","CareOne Management","$92,078","$0","$92,078","2017","20170216","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Massachusetts","LOWELL","19 VARNUM STREET","01850","","","USA","New Jersey","privately held","","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
