"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CARLISLE FOODSERVICE PRODUCTS INC","Carlisle","$10,000","$0","$10,000","2008","20080709","safety-related offenses","motor vehicle safety violation","","OK-2008-0076-US0357","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Oklahoma","OKLAHOMA CITY","","","","","USA","North Carolina","publicly traded","CSL","building materials","building materials","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"Motion Control Industries, Inc., a subsidiary of Carlisle Companies, Inc.","Carlisle","$62,651","$0","$62,651","2004","20041123","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-32843-001","","","Pennsylvania","Ridgeway","","15853","336340","336340: Motor Vehicle Brake System Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CARLISLE FOODSERVICE PRODUCTS, INCORPORATED","Carlisle","$6,000","$0","$6,000","2008","20080528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BATAVIA","1011 OLYMPIC DRIVE","60510","326199","326199: All Other Plastics Product Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MOTION CONTROL INDUSTRIES","Carlisle","$5,460","$0","$5,460","2006","20060714","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","SPOTSYLVANIA","1700 SHANNON DRIVE","22553","336340","336340: Motor Vehicle Brake System Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARLISLE TIRE & WHEEL COMPANY","Carlisle","$9,448","$0","$9,448","2007","20071213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","PERRYSBURG","28210 CEDAR PARK BLVD.","43551","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INSULFOAM, LLC","Carlisle","$9,060","$0","$9,060","2007","20070817","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","MEAD","1057 SUNBURST LANE","68041","326140","326140: Polystyrene Foam Product Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUNTER PANELS L.L.C.","Carlisle","$13,440","$0","$13,440","2001","20010719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","KINGSTON","1700 ENTERPRISE DR.","12401","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INSULFOAM","Carlisle","$6,125","$0","$6,125","2002","20020502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","MEAD","1057 SUNBURST LANE","68041","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INSULFOAM","Carlisle","$5,500","$0","$5,500","2002","20020502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","MEAD","1057 SUNBURST LANE","68041","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARLISLE FOODSERVICE PRODUCTS, INC.","Carlisle","$70,950","$0","$70,950","2002","20020725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","ERIE","1345 WEST 12TH ST.","16501","332214","332214: Kitchen Utensil, Pot, and Pan Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRI-STAR ELECTRONICS INTERNATIONAL, INC","Carlisle","$21,150","$0","$21,150","2003","20030513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EL SEGUNDO","2201 ROSECRANS AVE","90245","335931","335931: Current-Carrying Wiring Device Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRI-STAR ELECTRONICS INTERNATIONAL, INC","Carlisle","$12,360","$0","$12,360","2003","20030513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EL SEGUNDO","2201 ROSECRANS AVE","90245","335931","335931: Current-Carrying Wiring Device Manufacturing","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARLISLE INDUSTRIAL BRAKE AND FRICTION","Carlisle","$5,000","$0","$5,000","2002","20020813","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","LOGANSPORT","1441 HOLLAND STREET","46947","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INSULFOAM","Carlisle","$11,400","$0","$11,400","2002","20020605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","DIXON","1155-A BUSINESS PARK DR.","95620","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARLISLE ENGINEERED PRODUCTS INC","Carlisle","$6,125","$0","$6,125","2001","20011211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","IMLAY CITY","2120 S ALMONT","48444","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARLISLE ENGINEERED PRODUCTS INC","Carlisle","$13,475","$0","$13,475","2001","20011211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","IMLAY CITY","2120 S ALMONT","48444","000000","","USA","North Carolina","publicly traded","CSL","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
