"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Carmeuse Lime","Carmeuse","$475,000","$0","$475,000","2012","20121031","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced a consent decree with Carmeuse Lime, Pittsburgh, Pennsylvania, to resolve Clean Air Act violations at the company's Chicago lime manufacturing facility. The company will pay a $350,000 fine and spend $125,000 to replace windows at residences primarily in Chicagos East Side neighborhood.","federal","agency action","Environmental Protection Agency","civil","","","","","","Illinois","Chicago","","","","","Belgium","","privately held","","mining and minerals","minerals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/50523e7dadc20ef885257aac007b4ce8.html",""
"O-N Minerals (Chemstone) Company","Carmeuse","$280,809","$0","$280,809","2010","20100120","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency and Virginia's Department of Environmental Quality announced consent agreements with O-N Minerals (Chemstone) Company, a lime production facility in Strasburg, Va. The agreements resolve alleged violations of the company modifying its rotary kiln - - increasing air pollution emissions - - without installing the necessary pollution control equipment or obtaining required permits. O-N Minerals will pay two penalties, one of $158,980 to Virginia Department of Environmental Quality and another of $121,829 to the United States Treasury.","federal","agency action","Environmental Protection Agency","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/bc0bd401fe79d486852576b10063c2c9.html",""
"Carmeuse Lime and Stone, Inc.","Carmeuse","$32,000","$0","$32,000","2017","20170620","environment-related offenses","environmental violation","","Surface Water","state","agency action","Alabama Department of Environmental Management","civil","","","17-112-CWP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2017orders.pdf",""
"Carmeuse Lime and Stone, Inc.","Carmeuse","$10,000","$0","$10,000","2007","20070814","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","07-154-CAP","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","http://adem.alabama.gov/compInfo/2007orders.pdf",""
"Carmeuse Lime & Stone, Inc.","Carmeuse","$115,000","$0","$115,000","2004","20040924","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","04-106-CAP   ","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","List of FY2004 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"Carmeuse Lime & Stone, Inc.","Carmeuse","$75,000","$0","$75,000","2004","20040427","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","04-060-CAP  ","","","Alabama","","","","","","Belgium","","privately held","","mining and minerals","minerals","List of FY2004 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"O-N Minerals (Chemstone) Company","Carmeuse","$5,000","$0","$5,000","2014","20141008","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-6063","","","Georgia","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"CARMEUSE LIME INC.","Carmeuse","$8,000","$0","$8,000","2014","20140909","environment-related offenses","environmental violation","","air quality violation","state","agency action","Illinois Environmental Protection Agency","civil","","","15-1","","","Illinois","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"CARMEUSE LIME","Carmeuse","$12,000","$0","$12,000","2020","20200304","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/26625-W.htm",""
"CARMEUSE LIME INC","Carmeuse","$53,125","$0","$53,125","2018","20180524","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/22911-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$9,375","$0","$9,375","2016","20161209","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/23445-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$11,250","$0","$11,250","2014","20140815","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/21570-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$20,313","$0","$20,313","2014","20140430","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/22024-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$20,000","$0","$20,000","2010","20100818","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/18941-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$337,500","$0","$337,500","2008","20080912","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/16852-S.htm",""
"CARMEUSE LIME INC","Carmeuse","$7,000","$0","$7,000","2007","20070216","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/15988-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$50,000","$0","$50,000","2005","20051117","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/11228-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$11,500","$0","$11,500","2002","20020110","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/10653-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$13,125","$0","$13,125","2001","20010514","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.in.gov/idem/oe/cause/AO/9640-A.htm",""
"CARMEUSE LIME INC","Carmeuse","$60,750","$0","$60,750","2000","20000125","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","http://www.ai.org/idem/oe/cause/AO/3501-A.html",""
"Caremuse Lime and Stone Inc.","Carmeuse","$20,000","$0","$20,000","2020","20201112","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW-20-3-0196","","","Kentucky","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in data received from the agency on February 15, 2021 in response to an open records request.",""
"CARMEUSE LIME & STONE, INC.","Carmeuse","$70,000","$0","$70,000","2009","20090804","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -050113","","","Kentucky","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"CARMEUSE LIME & STONE,INC. D/B/A DRAVO LIME, INC.","Carmeuse","$75,000","$0","$75,000","2005","20050201","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -31975","","","Kentucky","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"Carmeuse Lime, Inc.","Carmeuse","$14,400","$0","$14,400","2016","20160714","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Grand River","","","","","Belgium","","privately held","","mining and minerals","minerals","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=463795",""
"Carmeuse Lime, Inc.","Carmeuse","$147,335","$0","$147,335","2010","20101230","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Jackson","","","","","Belgium","","privately held","","mining and minerals","minerals","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=54995","Penalty listed includes a $29,467 Supplemental Environmental Project."
"Carmeuse Lime, Inc.","Carmeuse","$180,740","$0","$180,740","2010","20100319","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Liberty","","","","","Belgium","","privately held","","mining and minerals","minerals","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=54996","Penalty listed includes a $36,148 Supplemental Environmental Project."
"O-N Minerals (Chemstone) Co.","Carmeuse","$9,620","$0","$9,620","2020","20200723","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"O-N Minerals (Chemstone) Co.","Carmeuse","$168,699","$0","$168,699","2018","20180430","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Clear Brook","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"O-N Minerals (Chemstone) Co.","Carmeuse","$33,256","$0","$33,256","2016","20160628","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"O-N Minerals (Chemstone) Co.","Carmeuse","$23,187","$0","$23,187","2015","20150414","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"O-N Minerals (Chemstone) Co.","Carmeuse","$22,833","$0","$22,833","2014","20140218","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"O-N Minerals (Chemstone) Co.","Carmeuse","$158,980","$0","$158,980","2009","20091026","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"Carmeuse Lime, Inc","Carmeuse","$62,000","$0","$62,000","2019","20190411","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Wisconsin Department of Natural Resources","civil","","","","","","Wisconsin","","","","","","Belgium","","privately held","","mining and minerals","minerals","Contained in data received from the agency on November 24, 2020 in response to an open records request.",""
"Carmeuse Lime and Stone, Inc.","Carmeuse","$23,000","$0","$23,000","2021","20210505","environment-related offenses","environmental violation","","air quality violation","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","","","","","","Belgium","","privately held","","mining and minerals","minerals","https://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=1563408",""
"O-N MINERALS (CHEMSTONE) CO.","Carmeuse","$121,829","$121,829","$0","2009","20091106","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2010-0018","","","","","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"CARMEUSE LIME & STONE, INC.","Carmeuse","$100,000","$0","$100,000","2008","20080702","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2006-9004","","","","","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CARMEUSE LIME, INC.","Carmeuse","$132,791","$0","$132,791","2005","20050928","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2005-5012","","","","","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CARMEUSE LIME, INC.","Carmeuse","$475,000","$475,000","$0","2012","20121023","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2008-6717","","","","","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"CARMEUSE LIME MILLERSVILLE","Carmeuse","$140,000","$0","$140,000","2016","20160913","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2016-5049","","","Ohio","HELENA","3964 COUNTY RD 41","43435","327410","327410: Lime Manufacturing","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"O-N Minerals (James River) Company","Carmeuse","$5,500","$0","$5,500","2002","20020515","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Virginia","Buchanan","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"O-N Minerals (Chemstone Company)","Carmeuse","$5,000","$0","$5,000","2000","20000207","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carmeuse Lime Inc","Carmeuse","$6,300","$0","$6,300","2003","20031007","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carmeuse Lime Inc","Carmeuse","$30,000","$0","$30,000","2002","20021104","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Indiana","Gary","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carmeuse Lime Inc","Carmeuse","$5,000","$0","$5,000","2002","20020821","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Chicago","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carmeuse Lime and Stone Inc","Carmeuse","$6,458","$0","$6,458","2008","20080103","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Kentucky","Butler","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"O-N Minerals (Chemstone Company)","Carmeuse","$13,000","$0","$13,000","2005","20050315","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Virginia","Strasburg","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carmeuse Lime Inc","Carmeuse","$6,100","$0","$6,100","2005","20051214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Chicago","","","","","Belgium","","privately held","","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
