"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"LATROBE SPECIALTY METALS A CARPENTER CO","Carpenter Technology","$5,000","$0","$5,000","2002","20020327","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LATROBE SPECIALTY METALS A CARPENTER CO","Carpenter Technology","$31,000","$0","$31,000","2007","20071109","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LATROBE SPECIALTY METALS A CARPENTER CO","Carpenter Technology","$25,000","$0","$25,000","2002","20020412","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LATROBE SPECIALTY METALS","Carpenter Technology","$99,000","$0","$99,000","2016","20160219","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"LATROBE SPECIALTY METALS","Carpenter Technology","$45,000","$0","$45,000","2013","20130404","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CARPENTER POWDER PRODS INC","Carpenter Technology","$23,000","$0","$23,000","2011","20110502","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CARPENTER TECHNOLOGY CORPORATION","Carpenter Technology","$9,450","$0","$9,450","2000","20000531","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","READING","101 WEST BERN STREET, BUILDING #L05","19612","000000","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DYNAMET INC.","Carpenter Technology","$6,800","$0","$6,800","2012","20120307","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CLEARWATER","14000 49TH STREET","33713","332996","332996: Fabricated Pipe and Pipe Fitting Manufacturing","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DYNAMET, INC.","Carpenter Technology","$5,000","$0","$5,000","2012","20121011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WASHINGTON","195 MUSEUM ROAD","15301","331491","331491: Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DYNAMET INC.","Carpenter Technology","$7,000","$0","$7,000","2015","20150407","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CLEARWATER","14000 49TH STREET","33713","331491","331491: Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARPENTER POWDER PRODUCTS INC.","Carpenter Technology","$9,450","$0","$9,450","2015","20150513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BRIDGEVILLE","600 MAYER STREET","15017","331110","331110: Iron and Steel Mills and Ferroalloy Manufacturing","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARPENTER TECHNOLOGY CORPORATION","Carpenter Technology","$31,000","$0","$31,000","2015","20150807","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","READING","101 WEST BERN STREETBUILDING 113","19612","331111","331111: Iron and Steel Mills","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LATROBE SPECIALTY METALS, LLC","Carpenter Technology","$7,605","$0","$7,605","2017","20170626","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LATROBE","2626 LIGONIER STREET","15650","331221","331221: Rolled Steel Shape Manufacturing","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LATROBE SPECIALTY METALS","Carpenter Technology","$10,000","$0","$10,000","2018","20180221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LATROBE","2626 LIGONIER STREET","15650","331111","331111: Iron and Steel Mills","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LATROBE SPECIALTY METALS COMPANY, LLC","Carpenter Technology","$15,934","$0","$15,934","2018","20181011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WAUSEON","14614 COUNTY ROAD H","43567","333515","333515: Cutting Tool and Machine Tool Accessory Manufacturing","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CARPENTER TECHNOLOGY CORPORATION","Carpenter Technology","$12,000","$0","$12,000","2021","20210426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","READING","101 WEST BERN STREET BUILDING 64","19601","331110","331110: Iron and Steel Mills and Ferroalloy Manufacturing","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DYNAMET, INC.","Carpenter Technology","$5,000","$0","$5,000","2000","20000929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2000-0634","","","","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"LATROBE SPECIALTY METALS COMPANY, LLC","Carpenter Technology","$220,000","$0","$220,000","2017","20170929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2017-0095","","","","","","","","","USA","Pennsylvania","publicly traded","CRS","metals","steel","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
