"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cascades Auburn Fiber","Cascades Inc.","$65,000","$0","$65,000","2014","20141208","environment-related offenses","environmental violation","","Two companies operating under the control of Cascades USA, Inc. have agreed to settle EPA allegations that they violated the federal Clean Water Act. The companies are Cascades Auburn Fiber, operating in Auburn, Maine; and Norampac New England, Inc., operating in Thompson, Conn.","federal","agency action","Environmental Protection Agency","civil","","","","","","Maine","Auburn","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/dd0eda2bd5072bb785257da80069802b.html",""
"Cascades Boxboard Group","Cascades Inc.","$118,000","$0","$118,000","2011","20110503","environment-related offenses","environmental violation","","A company that manufactures paperboard in Sprague, Conn., has agreed to pay a penalty of $78,000 and to spend $40,000 to improve local emergency capabilities in order to resolve EPA claims that it violated federal community right-to-know laws.","federal","agency action","Environmental Protection Agency","civil","","","","","","Connecticut","Sprague","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/575d1a44dd3c9bcf85257885006253d2.html",""
"Cascades Moulded Pulp, Inc.","Cascades Inc.","$6,325","$0","$6,325","2012","20120108","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1629389","","","North Carolina","Rockingham","","28379","322299","322299: All Other Converted Paper Product Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cascades Boxboard, LLC","Cascades Inc.","$16,021","$0","$16,021","2010","20100604","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-12086-001","","","Connecticut","Verseiles","","06383","322130","322130: Paperboard Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cascades Tissue Group PA Inc","Cascades Inc.","$5,693","$0","$5,693","2010","20100430","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1569195","","","Pennsylvania","Pittston","","18640","322291","322291: Sanitary Paper Product Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cascades Tissue Group-Pennsylvania, Inc.","Cascades Inc.","$30,377","$0","$30,377","2013","20131105","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1700924","","","Pennsylvania","Pittston","","18640","322299","322299: All Other Converted Paper Product Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CASCADES TISSUE GROUP PA INC","Cascades Inc.","$112,634","$0","$112,634","2019","20190220","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CASCADES TISSUE GROUP PA INC","Cascades Inc.","$5,950","$0","$5,950","2018","20181219","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CASCADES TISSUE GROUP PA INC","Cascades Inc.","$5,850","$0","$5,850","2013","20130606","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CASCADES TISSUE GROUP PA INC","Cascades Inc.","$8,550","$0","$8,550","2018","20180626","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","paper and packaging","packaging","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Norampac Industries, Inc.","Cascades Inc.","$30,000","$0","$30,000","2006","20061130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-25756-001","","","New York","Niagara Falls","","14303","322110","322110: Pulp Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Norampac Industries, Inc.","Cascades Inc.","$7,538","$0","$7,538","2006","20060628","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-24690-001","","","New York","Niagara Falls","","14303","561990","561990: All Other Support Services","Canada","","publicly traded","","paper and packaging","packaging","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Norampac New England Inc.","Cascades Inc.","$100,000","$0","$100,000","2014","20141208","environment-related offenses","environmental violation","","Two companies operating under the control of Cascades USA, Inc. have agreed to settle EPA allegations that they violated the federal Clean Water Act. The companies are Cascades Auburn Fiber, operating in Auburn, Maine; and Norampac New England, Inc., operating in Thompson, Conn.","federal","agency action","Environmental Protection Agency","civil","","","","","","Connecticut","Thompson","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/dd0eda2bd5072bb785257da80069802b.html",""
"CASCADES TISSUE GROUP","Cascades Inc.","$8,400","$0","$8,400","2010","20101221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WATERFORD","148 HUDSON RIVER RD.","12188","322121","322121: Paper (except Newsprint) Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES TISSUE GROUP","Cascades Inc.","$6,300","$0","$6,300","2009","20090312","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WATERFORD","148 HUDSON RIVER ROAD","12188","322291","322291: Sanitary Paper Product Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NORAMPAC THOMPSON, INC.","Cascades Inc.","$6,188","$0","$6,188","2009","20091002","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","THOMPSON","720 THOMPSON ROAD","06277","322211","322211: Corrugated and Solid Fiber Box Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES BOXBOARD GROUP - CONNECTICUT, LLC","Cascades Inc.","$198,125","$0","$198,125","2008","20080729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","VERSAILLES","130 INLAND ROAD","06383","322130","322130: Paperboard Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES BOXBOARD U.S., INC.","Cascades Inc.","$8,250","$0","$8,250","2007","20070802","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HEBRON","2255 GLOBAL WAY","41048","322226","322226: Surface-Coated Paperboard Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES TISSUE GROUP","Cascades Inc.","$24,000","$0","$24,000","2007","20070628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","RANSOM","1 MAIN STREET","18653","322121","322121: Paper (except Newsprint) Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES BOXBOARD GROUP - CONNECTICUT, LLC","Cascades Inc.","$33,000","$0","$33,000","2007","20070626","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","VERSAILLES","130 INLAND ROAD","06383","322212","322212: Folding Paperboard Box Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES TISSUE WISCONSIN INC.","Cascades Inc.","$15,900","$0","$15,900","2008","20080619","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","EAU CLAIRE","1200 FOREST ST","54703","336212","336212: Truck Trailer Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Cascades Containerboard Packaging-Lancaster, A Division of Cascades New York, Inc.","Cascades Inc.","$53,557","$0","$53,557","2019","20190715","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","03-CA-210207","","","New York","Lancaster","","","","","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Cascades","Cascades Inc.","$41,099","$0","$41,099","2019","20190225","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","22-CA-225389","","","New Jersey","Piscataway","","","","","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Orchids Paper Products Co.","Cascades Inc.","$76,814","$0","$76,814","2018","20181210","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","14-CA-216268","","","Oklahoma","Pryor","","","","","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Orchids Paper Products Co.","Cascades Inc.","$50,000","$0","$50,000","2018","20180607","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","14-CA-202814","","","Oklahoma","Pryor","","","","","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Cascades Holding US Inc.","Cascades Inc.","$18,550","$0","$18,550","2019","20191203","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","Newtown","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://www.ct.gov/deep/lib/deep/enforcement/consentorder/COAR2527.pdf","Captured from summaries produced by DEP; may not include full details of penalties."
"NORAMPAC LEOMINSTER INC","Cascades Inc.","$5,000","$0","$5,000","2004","20041213","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Leominster","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=NORAMPAC LEOMINSTER INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Cascades Tissue Group","Cascades Inc.","$19,423","$0","$19,423","2020","20201030","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2020-038","","","Oregon","Saint Helens","","","","","Canada","","publicly traded","","paper and packaging","packaging","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"NORAMPAC INDUSTRIES INC.-NIAGARA FALLS DIVISION","Cascades Inc.","$44,000","$0","$44,000","2010","20100512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NIAGARA FALLS","4001 PACKARD ROAD","14303","322121","322121: Paper (except Newsprint) Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES TISSUE GROUP","Cascades Inc.","$7,480","$0","$7,480","2012","20121016","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","EAU CLAIRE","1200 FOREST ST.","54703","322121","322121: Paper (except Newsprint) Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADE TISSUE GROUP","Cascades Inc.","$6,000","$0","$6,000","2013","20130227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","RANSOM","1 MAIN STREET","18653","322110","322110: Pulp Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES ENVIROPAC OF AURORA, A DIV. OF CASCADES PLASTICS, INC.","Cascades Inc.","$5,950","$0","$5,950","2013","20130830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","AURORA","2300 RADDANT ROADSUITE B","60502","322211","322211: Corrugated and Solid Fiber Box Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES AUBURN FIBER A DIVISION OF CASCADES HOLDING U.S., INC.","Cascades Inc.","$8,500","$0","$8,500","2015","20150204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","AUBURN","586 LEWISTON JUNCTION ROAD","04210","322110","322110: Pulp Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES TISSUE GROUP - NEW YORK INC.","Cascades Inc.","$10,500","$0","$10,500","2015","20150331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WATERFORD","148 HUDSON RIVER ROAD","12188","322121","322121: Paper (except Newsprint) Mills","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES ENVIROPAC OF AURORA, A DIV. OF CASCADES PLASTICS, INC.","Cascades Inc.","$7,000","$0","$7,000","2016","20160428","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","AURORA","2300 RADDANT ROADSUITE B","60502","322211","322211: Corrugated and Solid Fiber Box Manufacturing","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASCADES NEW YORK INC.","Cascades Inc.","$18,000","$0","$18,000","2017","20170322","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ROCHESTER","1845 EMERSON STREET","14606","423930","423930: Recyclable Material Merchant Wholesalers","Canada","","publicly traded","","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
