"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Case Farms Chicken Processing, Inc.","Case Farms Chicken","$13,430","$0","$13,430","2011","20111022","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1632097","","","North Carolina","Morganton","","28655","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Case Farms of North Carolina, Inc.","Case Farms Chicken","$20,000","$0","$20,000","2010","20100413","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21378-001","","","North Carolina","Morganton","","28655","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Case Farms of Ohio, Inc.","Case Farms Chicken","$10,000","$0","$10,000","2010","20100610","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-38380-001","","","Ohio","Winesburg","","44690","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Case Farms Processing, Inc.","Case Farms Chicken","$205,885","$0","$205,885","2012","20120316","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1631902","","","Ohio","Winesburg","","44690","112320","112320: Broilers and Other Meat Type Chicken Production","USA","North Carolina","privately held","","food products","poultry processing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Case Farms Processing, Inc.","Case Farms Chicken","$10,000","$0","$10,000","2010","20101130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-37850-001","","","Ohio","Winesburg","","44690","311612","311612: Meat Processed from Carcasses","USA","North Carolina","privately held","","food products","poultry processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Case Farms, Inc.","Case Farms Chicken","$102,600","$0","$102,600","2002","20020219","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-18368-001","","","North Carolina","Morganton","","28655","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Case Farms, Inc.","Case Farms Chicken","$11,000","$0","$11,000","2006","20060428","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21006-001","","","North Carolina","Morganton","","28655","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CASE FARMS OF NC","Case Farms Chicken","$9,800","$0","$9,800","2005","20051123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","DUDLEY","330 PECAN ROAD","28333","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASE FARMS, INC.","Case Farms Chicken","$5,322","$0","$5,322","2004","20040123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WINESBURG","1818 COUNTY ROAD 160","44690","311615","311615: Poultry Processing","USA","North Carolina","privately held","","food products","poultry processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Case Farms of NC, Inc.","Case Farms Chicken","$8,267","$0","$8,267","2004","20041104","environment-related offenses","environmental violation","","air quality violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","2004-223","","","North Carolina","","","","","","USA","North Carolina","privately held","","food products","poultry processing","Contained in data received from the agency on October 12, 2020 in response to an open records request.",""
