"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"KERN OIL AND REFINING COMPANY","Casey Company","$33,795","$0","$33,795","2005","20050119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 EAST PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERN OIL AND REFINING COMPANY","Casey Company","$8,000","$0","$8,000","2018","20180504","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZKOR 2016-1(HMT)","","","","","","","","","USA","California","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"Kern Oil & Refining Co.","Casey Company","$500,000","$0","$500,000","2019","20191210","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","","","","California","Bakersfield","","","","","USA","California","privately held","","oil and gas","oil & gas","https://www.epa.gov/newsreleases/us-epa-us-department-justice-settle-kern-oil-refining-co-violations-bakersfield",""
"Kern Oil & Refining Co.","Casey Company","$54,000","$0","$54,000","2020","20200301","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","California","privately held","","oil and gas","oil & gas","https://ww2.arb.ca.gov/kern-oil-refining-co-settlement",""
"Kern Oil & Refining Company","Casey Company","$75,000","$0","$75,000","2017","20171101","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","California","privately held","","oil and gas","oil & gas","https://ww2.arb.ca.gov/kern-oil-refining-company-case-settlement",""
"Kern Oil & Refining Co.","Casey Company","$90,000","$0","$90,000","2017","20170901","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","California","privately held","","oil and gas","oil & gas","https://ww2.arb.ca.gov/kern-oil-and-refining-co-case-settlement",""
"Kern Oil & Refining Co.","Casey Company","$36,000","$0","$36,000","2020","20201201","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","Bakersfield","","","","","USA","California","privately held","","oil and gas","oil & gas","https://ww2.arb.ca.gov/kern-oil-refining-co-settlement-2",""
"Kern Oil And Refining Company","Casey Company","$8,500","$0","$8,500","2020","20200102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZKOR 2019-001(HMT)","","","","","","","","","USA","California","privately held","","oil and gas","oil & gas","https://railroads.dot.gov/elibrary/fiscal-year-2020-enforcement-report",""
"KERN OIL & REFINING CO.","Casey Company","$20,145","$0","$20,145","2013","20130418","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 E. PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERN OIL & REFINING CO.","Casey Company","$37,126","$0","$37,126","2017","20171019","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 E. PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERN OIL & REFINING CO.","Casey Company","$25,000","$0","$25,000","2017","20171108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 E. PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERN OIL & REFINING CO.","Casey Company","$35,400","$0","$35,400","2018","20180119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 E. PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KERN OIL & REFINING CO.","Casey Company","$30,385","$0","$30,385","2018","20180719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7724 E. PANAMA LANE","93307","324110","324110: Petroleum Refineries","USA","California","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
