"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Casey's General Stores, Inc.","Casey's General Stores","$9,735","$0","$9,735","2006","20060923","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1446820","","","Missouri","Seymour","","65746","447110","447110: Gasoline Stations with Convenience Stores","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Casey's General Stores","Casey's General Stores","$6,700,000","$0","$6,700,000","2009","20091022","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of Iowa","08-cv-0020","Wineland et al v. Casey's General Stores, Inc.","settlement","","","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","https://www.law360.com/articles/100832/casey-s-settles-ot-class-actions-for-12m",""
"Casey's General Stores","Casey's General Stores","$5,000,000","$0","$5,000,000","2009","20091022","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of Iowa","07-cv-0400","Jones et al v. Casey's General Stores, Inc.","settlement","","","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","https://www.law360.com/articles/100832/casey-s-settles-ot-class-actions-for-12m",""
"Casey's General Stores, Inc.","Casey's General Stores","$500,000","$0","$500,000","2016","20160303","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Western District of Missouri","6:15-cv-3086","Johnson v. Casey's General Stores, Inc.","settlement","","","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","https://topclassactions.com/lawsuit-settlements/closed-settlements/291068-caseys-general-stores-background-check-class-action-settlement/",""
"Casey's General Store Inc.","Casey's General Stores","$30,000","$0","$30,000","2001","20010926","consumer-protection-related offenses","consumer protection violation","","Casey's General Store Inc. agreed to pay $30,000 plus restitution in settlement of allegations of price-gouging of gasoline at its stores.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","https://web.archive.org/web/20020912062711/http://www.ag.state.il.us/pressrelease/092601b.htm",""
"Casey's Marketing Company","Casey's General Stores","$10,000","$0","$10,000","2010","20100101","environment-related offenses","environmental violation","","","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Casey's General Stores, Inc.","Casey's General Stores","$18,101","$0","$18,101","2006","20060101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Ankeny","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Casey's General Stores, Inc.","Casey's General Stores","$18,101","$0","$18,101","2006","20060101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Eagle Grove","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Casey's General Stores, Inc.","Casey's General Stores","$18,101","$0","$18,101","2006","20060101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Middletown","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Casey's General Stores, Inc.","Casey's General Stores","$18,101","$0","$18,101","2006","20060101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Morning Sun","","","","","USA","Iowa","publicly traded","CASY","retailing","retail-convenience stores","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
