"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cemex","Cemex","$100,000","$0","$100,000","2010","20100208","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-26826-001","","","California","Ontario","","91764","327310","327310: Cement Manufacturing","Mexico","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cemex","Cemex","$8,000","$0","$8,000","2003","20031231","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-34711-001","","","Tennessee","Knoxville","","37924","327310","327310: Cement Manufacturing","Mexico","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cemex Inc.","Cemex","$11,840,000","$0","$11,840,000","2016","20160727","environment-related offenses","environmental violation","","The Department of Justice and the EPA announced a settlement with Cemex Inc., under which the company will invest approximately $10 million to cut emissions of harmful air pollution at five of its cement manufacturing plants in Alabama, Kentucky, Tennessee and Texas to resolve alleged violations of the Clean Air Act.  Under the consent decree lodged in the U.S. District Court for the Eastern District of Tennessee, Cemex also agreed to pay a $1.69 million civil penalty, conduct energy audits at the five plants, and spend $150,000 on energy efficiency projects to mitigate the effects of past excess emissions of nitrogen oxidesfrom its facilities.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","Mexico","","publicly traded","","building materials","building materials","https://www.justice.gov/opa/pr/cement-manufacturer-cemex-reduce-harmful-air-pollution-five-plants-under-settlement-epa-and",""
"CEMEX, Inc","Cemex","$1,886,469","$0","$1,886,469","2008","20080911","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1475961","","","Texas","Houston","","77024","327320","327320: Ready-Mix Concrete Manufacturing","Mexico","","publicly traded","","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CEMEX, Inc.","Cemex","$1,000,000","$0","$1,000,000","2013","20130419","environment-related offenses","environmental violation","","The U.S. Department of Justice and the U.S. Environmental Protection Agency (EPA) announced that CEMEX, Inc., the owner and operator of a Portland cement manufacturing facility in Lyons, Colo., has agreed to operate advanced pollution controls on its kiln and pay a $1 million civil penalty to resolve alleged violations of the Clean Air Act (CAA).","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Colorado","Lyons","","","","","Mexico","","publicly traded","","building materials","building materials","http://www.justice.gov/opa/pr/cement-manufacturer-agrees-reduce-harmful-air-emissions-colorado-plant",""
"Cemex, Inc.","Cemex","$110,000","$0","$110,000","2004","20040301","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-33558-001","","","Pennsylvania","Neville Island","","15225","238110","238110: Poured Concrete Foundation and Structure Contractors","Mexico","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cemex, Incorporated","Cemex","$8,963","$0","$8,963","2006","20060525","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-17172-001","","","Wisconsin","Milwaukee","","53207","238110","238110: Poured Concrete Foundation and Structure Contractors","Mexico","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CEMEX California Cement LLC","Cemex","$2,000,000","$0","$2,000,000","2009","20090115","environment-related offenses","environmental violation","","CEMEX California Cement agreed to reduce emissions and pay a $2 million fine to settle Clean Air Act claims.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Mexico","","publicly traded","","building materials","building materials","https://www.justice.gov/opa/pr/cemex-california-cement-agrees-reduce-emissions-and-pay-2-million-fine-settle-clean-air-act",""
"Cemex Concretos, Inc. and Cemex de Puerto Rico, Inc. (CEMEX)","Cemex","$2,660,000","$2,660,000","$0","2014","20140513","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that it reached an agreement with Cemex Concretos, Inc. and Cemex de Puerto Rico, Inc. (CEMEX) to settle the companies' alleged violations of requirements to control stormwater discharges under the Clean Water Act. The EPA inspected various CEMEX facilities and found that the companies violated the Clean Water Act at nearly all of their cement mixing facilities across the island. The agreement required CEMEX to establish an environmental management structure that included an Environmental Director, Environmental Coordinator and on-site managers to ensure compliance with stormwater requirements of the Clean Water Act. As part of the settlement, the companies agreed to provide more than 400 acres of land to be turned over to the Puerto Rico Department of Natural Resources to manage and preserve. The land had an estimated market value of over $2.3 million. The companies  also agreed to pay a penalty of $360,000.","federal","agency action","Environmental Protection Agency","civil","","","","","","Puerto Rico","","","","","","Mexico","","publicly traded","","building materials","building materials","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/7cc19ebf1960b9cb85257cd70060a839.html","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"CEMEX de Puerto Rico, Inc.","Cemex","$1,860,000","$0","$1,860,000","2015","20151002","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that CEMEX de Puerto Rico, Inc., a major cement producer, will spend an estimated $1.7 million on pollution controls that will reduce harmful emissions of nitrogen oxides, pollutants that can lead to respiratory illnesses, including asthma. In addition, the company will pay a $160,000 penalty for Clean Air Act violations.","federal","agency action","Environmental Protection Agency","civil","","","","","","Puerto Rico","Ponce","","","","","Mexico","","publicly traded","","building materials","building materials","https://archive.epa.gov/epa/newsreleases/epa-settles-major-air-pollution-case-cemex-de-puerto-rico-inc.html",""
