"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Central Freight Lines","Central Freight Lines","$15,000","$0","$15,000","2005","20050523","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-36156-001","","","California","Mira Loma","","91752","488510","488510: Freight Transportation Arrangement","USA","Texas","privately held","","freight and logistics","freight trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Central Freight Lines","Central Freight Lines","$20,000","$0","$20,000","2013","20130128","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-082095","","","Texas","Fort Worth","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Central Freight Lines Inc.","Central Freight Lines","$12,500","$0","$12,500","2002","20020614","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21257-001","","","Texas","Irving","","75062","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Texas","privately held","","freight and logistics","freight trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Central Freight Lines Inc.","Central Freight Lines","$6,300","$0","$6,300","2002","20020614","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21418-001","","","Texas","Irving","","75062","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Texas","privately held","","freight and logistics","freight trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Central Freight Lines Inc.","Central Freight Lines","$400,000","$0","$400,000","2012","20120510","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","https://www.eeoc.gov/eeoc/newsroom/release/5-10-12a.cfm","Description field shows type of discrimination that EEOC had alleged."
"CENTRAL FREIGHT LINES INC.","Central Freight Lines","$13,230","$0","$13,230","2013","20130717","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","WACO","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2013-pdf",""
"CENTRAL FREIGHT LINES INC.","Central Freight Lines","$13,230","$0","$13,230","2012","20120627","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","WACO","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2012-pdf",""
"Central Freight Lines, Inc.","Central Freight Lines","$24,000","$0","$24,000","2002","20020225","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21258-001","","","Texas","El Paso","","79907","484110","484110: General Freight Trucking, Local","USA","Texas","privately held","","freight and logistics","freight trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CENTRAL FREIGHT LINES, INC.","Central Freight Lines","$10,040","$0","$10,040","2006","20060428","safety-related offenses","motor vehicle safety violation","","TX-2005-0899-US1013","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","WACO","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"CENTRAL FREIGHT LINES, INC.","Central Freight Lines","$6,000","$0","$6,000","2005","20050829","safety-related offenses","motor vehicle safety violation","","MO-2005-0145-US0591","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","WACO","","","","","USA","Texas","privately held","","freight and logistics","freight trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
