"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"C.H. Robinson Worldwide","C.H. Robinson","$12,000","$0","$12,000","2004","20041222","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"C.H. Robinson Project Logistics, Inc.","C.H. Robinson","$25,000","$0","$25,000","2015","20150610","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://web.archive.org/web/20150906002249/http://www.fmc.gov/NR15-07/?pg=2",""
"C H Robinson Freight Services, Ltd.","C.H. Robinson","$37,000","$0","$37,000","2017","20170824","competition-related offenses","export control violation","antiboycott violation","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://efoia.bis.doc.gov/index.php/documents/antiboycott/alleged-antiboycott-violations-2015/1130-a751/file",""
"C H ROBINSON INTERNATIONAL CO","C.H. Robinson","$6,000","$0","$6,000","2012","20120508","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2012GL700016","","","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"C.H. Robinson Company","C.H. Robinson","$1,000,000","$0","$1,000,000","2016","20160824","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","12-cv-02067","Stephanie Mrazik v. C.H. Robinson Company et al","settlement","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://www.law360.com/articles/832262/ch-robinson-gets-nod-on-1m-deal-to-end-ot-wage-suit",""
"Freightquote","C.H. Robinson","$5,000,000","$0","$5,000,000","2016","20160713","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Kansas","12-cv-02505","Koehler et al v. Freightquote.com, Inc.","settlement","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://www.law360.com/articles/817142/freight-broker-s-revised-5m-ot-settlement-gets-green-light",""
"C.H. Robinson Worldwide","C.H. Robinson","$2,014,057","$0","$2,014,057","2008","20080220","employment-related offenses","wage and hour violation","","misclassification","federal","private litigation","","civil","","District of Minnesota","07-md-1849","In re: C.H. Robinson Worldwide, Inc., Overtime Pay Litigation","settlement","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://www.law360.com/articles/47907/court-oks-settlement-in-c-h-robinson-flsa-suits",""
"C.H. Robinson","C.H. Robinson","$15,000,000","$0","$15,000,000","2006","20060918","employment-related offenses","employment discrimination","gender discrimination","","federal","private litigation","","civil","","District of Minnesota","0:02-cv-3780","Carlson, et al v. C.H. Robinson World","settlement","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://www.clearinghouse.net/detail.php?id=10621&search=source%7Cgeneral%3BcaseName%7Ccarlson%3Borderby%7CfilingYear%3B",""
"C. H. Robinson Company, Inc., A Corporation of Minnesota","C.H. Robinson","$19,200","$0","$19,200","2019","20191118","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2019-236","","","Oregon","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"C. H. ROBINSON WORLDWIDE, INC.","C.H. Robinson","$10,000","$0","$10,000","2011","20110328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ELK GROVE VILLAGE","1800 NICHOLAS BLVD","60007","488510","488510: Freight Transportation Arrangement","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C.H. ROBINSON COMPANY","C.H. Robinson","$10,000","$0","$10,000","2013","20130723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","EDINBURG","901 W OWASSA RD","78539","424480","424480: Fresh Fruit and Vegetable Merchant Wholesalers","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C.H. ROBINSON COMPANY","C.H. Robinson","$11,200","$0","$11,200","2016","20160806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","DES PLAINES","333 HOWARD AVE.","60018","488510","488510: Freight Transportation Arrangement","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"C.H. Robinson International Inc.","C.H. Robinson","$6,200","$0","$6,200","2016","20160128","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2016-0312","","","","","","","","","USA","Minnesota","publicly traded","CHRW","freight and logistics","freight services","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
