"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CHAPARRAL ENERGY LLC","Chaparral Energy","$47,900","$0","$47,900","2013","20131031","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420135025.html?nocache=7116",""
"Chaparral Energy, LLC","Chaparral Energy","$5,170","$0","$5,170","2013","20130129","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Oklahoma","OKLAHOMA CITY","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2013-pdf",""
"Brandon D. Wilburn","Chaparral Energy","$10,900","$0","$10,900","2009","20091008","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2009-4810","","","Oklahoma","OKLAHOMA CITY","701 CEDAR LAKE BLVD.","73114","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Robert C. Lang","Chaparral Energy","$11,627","$0","$11,627","2010","20100729","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2010-4805","","","Texas","FORAKER","CR 4649","74652","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CHAPARRAL ENERGY, LLC","Chaparral Energy","$5,400","$0","$5,400","2011","20111212","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2011-1107","","","Oklahoma","SHIDLER","NE/4, SEC. 24, T27N, R 5E","74652","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"CHAPARRAL ENERGY, LLC","Chaparral Energy","$25,000","$0","$25,000","2013","20130918","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2013-1114","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy, LLC","Chaparral Energy","$14,000","$0","$14,000","2013","20130730","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2013-1747","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"T. Keith White","Chaparral Energy","$28,310","$0","$28,310","2014","20140624","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2014-4813","","","Oklahoma","OKLAHOMA CITY","701 CEDR LAKE BLVD.","73114","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy, LLC","Chaparral Energy","$65,000","$0","$65,000","2015","20150512","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2015-1718","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy","Chaparral Energy","$10,379","$0","$10,379","2015","20150806","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2015-4809","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy","Chaparral Energy","$10,379","$0","$10,379","2015","20150729","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2015-4810","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy, LLC","Chaparral Energy","$7,000","$0","$7,000","2017","20170329","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2016-1819","","","","","","","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Chaparral Energy","Chaparral Energy","$13,776","$0","$13,776","2005","20050106","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","08-2005-0011","","","Montana","BAKER","SECTION 5, T10N, R58E","59313","","","USA","Oklahoma","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
