"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Charles Schwab & Co.","Charles Schwab Corp.","$61,800","$0","$61,800","2014","20141103","financial offenses","investor protection violation","","The SEC sanctioned 13 firms for violating a rule primarily designed to protect retail investors in the municipal securities market. In its surveillance of trading in the municipal bond market, the SEC Enforcement Division's Municipal Securities and Public Pensions Unit detected improper sales below a $100,000 minimum denomination set in a $3.5 billion offering of junk bonds by the Commonwealth of Puerto Rico.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370543350368",""
"Charles Schwab & Co., Inc.","Charles Schwab Corp.","$350,000","$0","$350,000","2004","20040914","financial offenses","investor protection violation","securities issuance or trading violation","Charles Schwab & Co., Inc. agreed to pay $350,000 to settle allegations that it allowed investment adviser customers to change mutual fund orders after the 4:00 p.m. Eastern time market close, creating the risk that such customers could unfairly capitalize on late-breaking news at the expense of other mutual fund investors.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/news/press/2004-128.htm",""
"Charles Schwab Bank","Charles Schwab Corp.","$30,000","$0","$30,000","2011","20110317","consumer-protection-related offenses","discriminatory practices (non-employment)","","The U.S. Department of Housing and Urban Development announced that Charles Schwab Bank agreed to pay $30,000 to settle allegations that the bank refused to accept a loan application from the adult son of a Metairie, Louisiana woman with disabilities.","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://portal.hud.gov/hudportal/HUD?src=/press/press_releases_media_advisories/2011/HUDNo.11-031",""
"Charles Schwab Investment Management and Charles Schwab & Co., Inc.","Charles Schwab Corp.","$118,000,000","$0","$118,000,000","2011","20110111","financial offenses","investor protection violation","","The Securities and Exchange Commission announced that Charles Schwab Investment Management and Charles Schwab & Co., Inc. settled allegations that they made misleading statements regarding the Schwab YieldPlus Fund and failed to establish, maintain and enforce policies and procedures to prevent the misuse of material, nonpublic information. The SEC also charged CSIM and Schwab Investments with deviating from the YieldPlus fund's concentration policy without obtaining the required shareholder approval.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/news/press/2011/2011-7.htm",""
"Scottrade","Charles Schwab Corp.","$2,500,000","$0","$2,500,000","2014","20140129","miscellaneous offenses","data submission deficiencies","","Scottrade agreed to pay $2.5 million to settle allegations of failing to provide the SEC with complete and accurate information about trades done by the firm and its customers, which is commonly called blue sheet data.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370540696906",""
"Scottrade, Inc.","Charles Schwab Corp.","$950,000","$0","$950,000","2008","20080624","financial offenses","investor protection violation","","St. Louis-based broker-dealer Scottrade, Inc. agreed to pay $950,000 to settle allegations it made fraudulent misrepresentations to customers relating to the firm's execution of their Nasdaq pre-open orders, which are placed after the day's market close to be executed at the next market opening.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/news/press/2008/2008-120.htm",""
"TD Ameritrade","Charles Schwab Corp.","$100,800","$0","$100,800","2014","20141103","financial offenses","investor protection violation","","The SEC sanctioned 13 firms for violating a rule primarily designed to protect retail investors in the municipal securities market. In its surveillance of trading in the municipal bond market, the SEC Enforcement Division's Municipal Securities and Public Pensions Unit detected improper sales below a $100,000 minimum denomination set in a $3.5 billion offering of junk bonds by the Commonwealth of Puerto Rico.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370543350368",""
"TD Ameritrade Inc.","Charles Schwab Corp.","$10,000,000","$0","$10,000,000","2011","20110203","financial offenses","investor protection violation","financial institution supervision failures","The Securities and Exchange Commission announced that TD Ameritrade Inc. agreed to settle allegations that it failed to reasonably supervise its registered representatives, some of whom misled customers when selling shares of the Reserve Yield Plus Fund, a mutual fund that ""broke the buck"" in September 2008.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.sec.gov/news/press/2011/2011-36.htm",""
"Charles Schwab","Charles Schwab Corp.","$3,800,000","$0","$3,800,000","2014","20141104","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","14-cv-02712","Aboud et al v. Charles Schwab & Co., Inc.","settlement","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://www.law360.com/articles/593299/charles-schwab-consultants-4m-ot-deal-gets-green-light",""
"TD Ameritrade","Charles Schwab Corp.","$2,500,000","$0","$2,500,000","2009","20090929","employment-related offenses","wage and hour violation","","misclassification","federal","private litigation","","civil","","Northern District of California","08-cv-2397","Thomas v. TD Ameritrade, Inc","settlement","","","","","","","USA","California","publicly traded","SCHW","financial services","financial services","https://scalaw.com/cases/",""
