"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"R.R. Donnelley & Sons","Chatham Asset Management","$15,000,000","$0","$15,000,000","2003","20030530","employment-related offenses","employment discrimination","age discrimination","","federal","private litigation","","civil","","Northern District of Illinois","1:95-cv-7401","Gerlib, et al v. R R Donnelley & Sons, et al","settlement","","","","","","","USA","New Jersey","privately held","","financial services","hedge fund","http://www.chicagotribune.com/news/ct-xpm-2003-03-29-0303290162-story.html",""
"R.R. Donnelley & Sons","Chatham Asset Management","$15,000,000","$0","$15,000,000","2004","20041130","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Northern District of Illinois","1:96-cv-7717","Jones, et al v. R R Donnelley & Sons","settlement","","","","","","","USA","New Jersey","privately held","","financial services","hedge fund","https://www.clearinghouse.net/detail.php?id=10623&search=source%7Cgeneral%3BcaseName%7Cjones%20v.%20r.r.%3Borderby%7CfilingYear%3B",""
"RR DONNELLEY","Chatham Asset Management","$5,000","$0","$5,000","2002","20020503","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","privately held","","financial services","hedge fund","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Piccari Press, Inc.","Chatham Asset Management","$10,000","$0","$10,000","2003","20031114","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-31243-001","","","Pennsylvania","Warminster","","18974","323119","323119: Other Commercial Printing","USA","New Jersey","privately held","","financial services","hedge fund","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"R.R. Donnelley & Sons","Chatham Asset Management","$150,000","$0","$150,000","2002","20021216","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Illinois","","","","","","USA","New Jersey","privately held","","financial services","hedge fund","https://www.eeoc.gov/eeoc/newsroom/release/archive/12-16-02.html","Description field shows type of discrimination that EEOC had alleged."
"RR Donnelly & Sons Company","Chatham Asset Management","$104,981","$0","$104,981","2016","20161108","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1795663","","","North Carolina","Wilson","1900 SE Charleston St.","27893","","","USA","New Jersey","privately held","","financial services","hedge fund","July 23, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"RR DONNELLEY INC","Chatham Asset Management","$7,750","$0","$7,750","2012","20120413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TORRANCE","19681 PACIFIC GATEWAY DR","90502","323110","323110: Commercial Lithographic Printing","USA","New Jersey","privately held","","financial services","hedge fund","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R R DONNELLEY","Chatham Asset Management","$7,500","$0","$7,500","2009","20090505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BLOOMSBURG","4411 OLD BERWICK ROAD","17815","323117","323117: Books Printing","USA","New Jersey","privately held","","financial services","hedge fund","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"R.R. DONNELLEY & SONS COMPANY","Chatham Asset Management","$5,100","$0","$5,100","2007","20071108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANCASTER","1375 HARRISBURG PIKE","17601","323119","323119: Other Commercial Printing","USA","New Jersey","privately held","","financial services","hedge fund","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PRO LINE PRINTING, INC.","Chatham Asset Management","$5,000","$0","$5,000","2007","20070118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","AVON","60 SECURITY DRIVE","06001","323110","323110: Commercial Lithographic Printing","USA","New Jersey","privately held","","financial services","hedge fund","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
