"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cheesecake Factory, Inc.","Cheesecake Factory","$345,000","$0","$345,000","2009","20091110","employment-related offenses","employment discrimination","","same-sex sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Arizona","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/11-10-09.cfm","Description field shows type of discrimination that EEOC had alleged."
"The Cheesecake Factory Restaurants Inc.","Cheesecake Factory","$10,710","$0","$10,710","2012","20120229","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1646336","","","Utah","Murray","","84107","7221","7221: Full-Service Restaurants","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"THE CHEESECAKE FACTORY BAKERY, INC.","Cheesecake Factory","$6,750","$0","$6,750","2008","20080805","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CALABASAS","26950 AGOURA RD.","91301","311812","311812: Commercial Bakeries","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE CHEESECAKE FACTORY","Cheesecake Factory","$8,425","$0","$8,425","2004","20040123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","BETHESDA","11301 ROCKVILLE PIKE","20895","722110","722110: Full-Service Restaurants","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"The Cheesecake Factory","Cheesecake Factory","$15,000","$0","$15,000","2018","20180201","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Washington","Seattle","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/2-1-18b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Cheesecake Factory","Cheesecake Factory","$4,500,000","$0","$4,500,000","2004","20040701","employment-related offenses","wage and hour violation","","meal/rest break violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","","unidentified case","settlement","California","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.sec.gov/Archives/edgar/data/887596/000120677405000519/cf71443.htm",""
"Cheesecake Factory Restaurants, Inc. and Americlean Janitorial Services Corp. DBA Allied National Services","Cheesecake Factory","$4,206,351","$0","$4,206,351","2018","20180611","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","","","","California","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.dir.ca.gov/DIRNews/2018/2018-40.pdf",""
"The Cheesecake Factory Restaurants Inc.","Cheesecake Factory","$22,756","$0","$22,756","2005","20050204","environment-related offenses","environmental violation","","The California Attorney General announced the settlement of an environmental lawsuit against major restaurant chains under which hundreds of restaurants statewide will be required to post warnings for patrons about mercury in fish. The defendants also agreed to pay civil penalties and fund a consumer education program.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-court-approval-settlement-requiring-major",""
"The Cheesecake Factory Incorporated","Cheesecake Factory","$125,000","$0","$125,000","2020","20201204","financial offenses","accounting fraud or deficiencies","","making misleading disclosures about the impact of the COVID-19 pandemic on its business operations and financial condition. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","https://www.sec.gov/news/press-release/2020-306",""
"The Cheesecake Factory, Inc.","Cheesecake Factory","$30,000","$0","$30,000","2002","20020605","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","http://www3.aqmd.gov/hb/2002/September/020918a.html",""
"THE CHEESECAKE FACTORY","Cheesecake Factory","$6,180","$0","$6,180","2012","20120330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CALABASAS","26950 AGOURA ROAD","91301","311812","311812: Commercial Bakeries","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE CHEESECAKE FACTORY","Cheesecake Factory","$6,235","$0","$6,235","2013","20130917","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MISSION VIEJO","42 THE SHOPS AT MISSION VIEJO","92691","722110","722110: Full-Service Restaurants","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE CHEESECAKE FACTORY BAKERY, INC.","Cheesecake Factory","$26,325","$0","$26,325","2010","20100525","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2010-2037","","","North Carolina","BATTLEBORO","6792 CORPORATION PKWY","27809","","","USA","California","publicly traded","CAKE","restaurants and foodservice","restaurants","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
