"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Syngenta Crop Protection","ChemChina","$50,100","$0","$50,100","2014","20140508","environment-related offenses","environmental violation","","Syngenta Crop Protection, a pesticide manufacturer based in Greensboro, N.C., has corrected pesticide labeling violations stemming from incorrect labels it gave to a pesticide distributor in Tangent, Oregon, according to a settlement with the U.S. Environmental Protection Agency. Syngenta has agreed to pay a penalty of $50,100.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","China","","government-owned","","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/a1bd726f96e6963985257cd2006308b0.html",""
"Syngenta Crop Protection LLC","ChemChina","$102,000","$0","$102,000","2012","20120508","environment-related offenses","environmental violation","","Syngenta Crop Protection LLC, of Greensboro, N.C., has agreed to pay a $102,000 civil penalty to the United States to settle a series of environmental violations related to the sale or distribution of misbranded pesticides through its facility in Omaha, Neb., and through a farm supply retailer in Savannah, Mo.","federal","agency action","Environmental Protection Agency","civil","","","","","","Nebraska","Omaha","","","","","China","","government-owned","","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/222eb286ce26252b852579f800664769.html",""
"SYNGENTA CROP PROTECTION, INC.","ChemChina","$7,000","$0","$7,000","2012","20120206","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","China","","government-owned","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Syngenta Seeds, Inc","ChemChina","$1,500,000","$0","$1,500,000","2006","20061221","environment-related offenses","environmental violation","","Syngenta Seeds, Inc.of Golden Valley, Minn., agreed to pay a $1.5 million penalty to EPA for selling and distributing seed corn that contained an unregistered genetically engineered pesticide called Bt 10.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","China","","government-owned","","chemicals","chemicals","https://yosemite.epa.gov/opa/admpress.nsf/7c02ca8c86062a0f85257018004118a6/2df47c51f639be4e8525724b0069655c!OpenDocument",""
"Syngenta Seeds, Inc.","ChemChina","$12,440","$0","$12,440","2007","20071031","employment-related offenses","wage and hour violation","Fair Labor Standards Act","Migrant and Seasonal Agricultural Worker Protection Act penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1484704","","","Hawaii","Kunia","","96759","111219","111219: Other Vegetable (except Potato) and Melon Farming","China","","government-owned","","chemicals","chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SYNGENTA SEEDS INC.","ChemChina","$5,000","$0","$5,000","2008","20081008","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","LONE TREE","5535 HWY. 22 SE","52755","111150","111150: Corn Farming","China","","government-owned","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SYNGENTA SEEDS INC","ChemChina","$45,000","$0","$45,000","2013","20130314","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2012CE700046","","","","","","","","","China","","government-owned","","chemicals","chemicals","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Syngenta Seeds, LLC","ChemChina","$550,000","$0","$550,000","2018","20180212","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Hawaii","","","","","","China","","government-owned","","chemicals","chemicals","https://www.epa.gov/newsreleases/epa-reaches-agreement-syngenta-farmworker-safety-violations-kauai",""
"Syngenta Crop Protection, LLC","ChemChina","$17,500","$0","$17,500","2020","20200611","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","China","","government-owned","","chemicals","chemicals","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2020/Syngenta0014_Final.pdf",""
"Syngenta Crop Protection, LLC","ChemChina","$6,200","$0","$6,200","2014","20140620","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","St. Gabriel","","","","","China","","government-owned","","chemicals","chemicals","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2013/Syngenta0042_Final.pdf",""
