"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chemtrade Logistics, Chemtrade Refinery Services and Marsulex","Chemtrade Logistics","$12,700,000","$0","$12,700,000","2009","20090112","environment-related offenses","environmental violation","","Three manufacturers of sulfuric acid agreed to spend at least $12 million on air pollution controls expected to eliminate more than 3,000 tons of harmful emissions annually from six production plants in Louisiana, Ohio, Oklahoma, Texas and the Wind River Reservation in Wyoming. Chemtrade Logistics, Chemtrade Refinery Services and Marsulex also agreed to pay a civil penalty of $700,000 under the Clean Air Act settlement.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.justice.gov/opa/pr/sulfuric-acid-manufacturers-agree-reduce-air-pollution-facilities",""
"CHEMTRADE LOGISTICS","Chemtrade Logistics","$8,000","$0","$8,000","2014","20140512","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"CHEMTRADE LOGISTICS","Chemtrade Logistics","$7,500","$0","$7,500","2015","20150527","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"CHEMTRADE LOGISTICS","Chemtrade Logistics","$7,500","$0","$7,500","2012","20120806","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"CHEMTRADE LOGISTICS","Chemtrade Logistics","$7,500","$0","$7,500","2010","20101109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"CHEMTRADE LOGISTICS","Chemtrade Logistics","$7,500","$0","$7,500","2008","20081009","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://railroads.dot.gov/sites/fra.dot.gov/files/fra_net/282/Annual_Enforcement_Report_2009.pdf",""
"CHEMTRADE REFINERY SERVICES, INC.","Chemtrade Logistics","$12,500","$0","$12,500","2016","20160224","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"CHEMTRADE REFINERY SERVICES, INC.","Chemtrade Logistics","$8,000","$0","$8,000","2015","20150429","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"CHEMTRADE REFINERY SERVICES, INC.","Chemtrade Logistics","$7,500","$0","$7,500","2010","20101109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"GENERAL CHEMICAL CORP.","Chemtrade Logistics","$6,750","$0","$6,750","2011","20110530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"GENERAL CHEMICAL CORP.","Chemtrade Logistics","$5,250","$0","$5,250","2010","20100412","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
