"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chevron","Chevron","$45,569,584","$0","$45,569,584","2009","20091223","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Chevron Corporation, Texaco, Unocal Incorporated and their affiliates agreed to pay the United States $45,569,584.74, to resolve claims that they violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.justice.gov/opa/pr/chevron-pay-us-more-45-million-resolve-allegations-false-claims-royalties-underpayment",""
"Chevron","Chevron","$384,000","$0","$384,000","2013","20130731","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced a settlement with Chevron, based in San Ramon, Calif., in which the company has agreed to pay a $384,000 penalty for alleged violations of the Clean Air Act at its refinery at 2351 N. 1100 West in Salt Lake City, Utah.","federal","agency action","Environmental Protection Agency","civil","","","","","","Utah","Salt Lake City","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/657ded8cd8f650b785257bb9007d3eb2.html",""
"Chevron Corporation","Chevron","$2,000,000","$0","$2,000,000","2007","20071211","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/12112007.pdf",""
"Chevron Corporation","Chevron","$95,000,000","$0","$95,000,000","2000","20000113","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Chevron Corporation agreed to pay $95 million to resolve claims under the False Claims Act and administrative claims that the corporation and certain affiliated companies underpaid royalties due for oil produced on federal and Indian leases since 1988.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2000/January/020civ.htm",""
"Chevron Corporation","Chevron","$30,000,000","$0","$30,000,000","2007","20071114","competition-related offenses","Foreign Corrupt Practices Act","","Chevron Corporation agreed to pay $30 million to settle Foreign Corrupt Practices Act allegations relating to its role in illegal kickback payments that were made to Iraq in 2001 and 2002 in connection with the company's purchases of crude oil under the U.N. Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.sec.gov/news/press/2007/2007-230.htm",""
"Chevron Corporation","Chevron","$1,500,000","$0","$1,500,000","2016","20160908","employment-related offenses","wage and hour violation","Fair Labor Standards Act","An investigation by the Wage and Hour Division found that three subsidiaries of Chevron Corporation in California and Texas violated the Fair Labor Standards Act's overtime provisions when they failed to pay hourly field operators for the hours they worked during mandatory pre-shift relief meetings, where they turned over their duties to employees on the next shift.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.dol.gov/newsroom/releases/whd/whd20160908-0",""
"Chevron Caribbean Inc","Chevron","$10,000","$0","$10,000","2010","20100226","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Virgin Islands of the U.S.","ST  THOMAS","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2010-pdf",""
"CHEVRON CHEMICAL CO.","Chevron","$7,500","$0","$7,500","2014","20140715","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Chevron Oronite","Chevron","$10,000","$0","$10,000","2012","20120319","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Chevron Oronite","Chevron","$8,000","$0","$8,000","2014","20140716","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
