"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CHRISTUS Health","CHRISTUS Health","$4,500,000","$0","$4,500,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Christus Health","CHRISTUS Health","$1,360,000","$0","$1,360,000","2003","20030507","government-contracting-related offenses","False Claims Act and related","","Three San Antonio, Texas affiliates of Christus Health of Houston paid the United States $1.36 million to settle claims that they defrauded Medicare and Medicaid from 1997 through 2000. ","federal","agency action","Justice Department Civil Division","civil","","","","","","Texas","San Antonio","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2003/May/03_civ_274.htm",""
"CHRISTUS Health Gulf Coast","CHRISTUS Health","$220,000","$0","$220,000","2002","20020906","government-contracting-related offenses","False Claims Act and related","","CHRISTUS Health Gulf Coast, owner and operator of CHRISTUS St. Joseph Hospital, of Houston, Texas, agreed to pay $220,000 to settle claims that the hospital defrauded the Medicare Program from April 1997 to June 2000.","federal","agency action","Justice Department Civil Division","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2002/September/02_crt_514.htm",""
"CHRISTUS Health Plan","CHRISTUS Health","$7,080","$0","$7,080","2017","20170621","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/CHRISTUS_CMP_6-21-17.pdf",""
"Christus Hospital (St.Elizabeth & St. Mary)","CHRISTUS Health","$12,359","$0","$12,359","2011","20111230","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Texas","Beaumont","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.dol.gov/ofccp/foia/files/Christu_Hospital_Redacted.pdf",""
"Christus Spohn Hospital","CHRISTUS Health","$14,545","$0","$14,545","2006","20060102","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1421121","","","Texas","Beeville","","78102","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CHRISTUS Spohn Hospital Corpus Christi - Shoreline","CHRISTUS Health","$26,789","$0","$26,789","2010","20100428","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-26929-001","","","Texas","Corpus Christi","","78404","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CHRISTUS SPOHN HOSPITAL MEMORIAL","CHRISTUS Health","$5,715","$0","$5,715","2000","20000919","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","CORPUS CHRISTI","2606 HOSPITAL BLVD.","78408","000000","","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRISTUS St. Vincent Regional Medical Center","CHRISTUS Health","$12,240,000","$0","$12,240,000","2017","20170901","government-contracting-related offenses","False Claims Act and related","","CHRISTUS St. Vincent Regional Medical Center and its partner CHRISTUS Health agreed to resolve allegations that they violated the False Claims Act by making illegal donations to county governments, which were used to fund the state share of Medicaid payments to the hospital.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Mexico","Santa Fe","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/christus-st-vincent-regional-medical-center-and-christus-health-pay-1224-million-settle",""
"Christus Health","CHRISTUS Health","$14,900","$0","$14,900","2017","20170902","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1852092","","","Texas","Corpus Christi","600 Elizabeth","78404","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Christus St. Vincent Regional Medical Center","CHRISTUS Health","$98,000","$0","$98,000","2020","20200520","employment-related offenses","employment discrimination","","disability discrimination","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New Mexico","Santa Fe","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.eeoc.gov/newsroom/christus-st-vincent-regional-medical-center-pay-98000-settle-eeoc-disability-and",""
"Christus Santa Rosa Hospital","CHRISTUS Health","$6,000","$0","$6,000","2011","20110110","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","San Antonio","","","","","USA","Texas","non-profit","","healthcare services","hospitals","Texas Workers' Comp January Enforcements Include Fines Up to $68K, Insurance Journal, February 15, 2011 (via Nexis).",""
"Christus Health Plan","CHRISTUS Health","$85,000","$0","$85,000","2017","20170623","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Irving","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20175121.pdf",""
"CHRISTUS Health Plan","CHRISTUS Health","$30,000","$0","$30,000","2018","20180504","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Irving","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185494.pdf",""
"Christus Health","CHRISTUS Health","$9,439","$0","$9,439","2015","20151217","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2016.pdf",""
"Christus Health","CHRISTUS Health","$5,400","$0","$5,400","2014","20140605","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2014.pdf",""
"Christus St. Vincent Hospital","CHRISTUS Health","$563,809","$0","$563,809","2021","20210721","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-District of New Mexico","civil","","","","","","New Mexico","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/usao-nm/pr/christus-st-vincent-hospital-santa-fe-new-mexico-reaches-settlement-fraudulent-health",""
"CHRISTUS Good Shepherd Medical Center","CHRISTUS Health","$5,000","$0","$5,000","2021","20211109","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/wc/orders/documents/dwc217070.pdf",""
"CHRISTUS Health Plan","CHRISTUS Health","$225,000","$0","$225,000","2022","20220103","consumer-protection-related offenses","insurance violation","","CHRISTUS agreed to pay $225,000 in settlement of alleged violations discovered in a triennial quality of care examination conducted by the Department of Insurance.","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20227135.pdf",""
"CHRISTUS SHREVEPORT- BOSSIER HEALTH SYSTEM- HIGHLAND","CHRISTUS Health","$13,494","$0","$13,494","2020","20200417","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","SHREVEPORT","1453 E. BERT KOUNS INDUSTRIAL LOOP","71105","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
