"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Church & Dwight","Church & Dwight","$11,290","$0","$11,290","2006","20060713","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-32725-001","","","Virginia","Colonial Heights","","23834","339999","339999: All Other Miscellaneous Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CHURCH & DWIGHT CO INC","Church & Dwight","$15,000","$0","$15,000","2012","20121129","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$33,625","$0","$33,625","2009","20091118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","NORTH BRUNSWICK","1735 JERSEY AVE.","08902","325611","325611: Soap and Other Detergent Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$5,000","$0","$5,000","2006","20061127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","OLD FORT","2501 EAST CR 34","44861","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Church and Dwight Co., Inc.","Church & Dwight","$300,000","$0","$300,000","2019","20190806","employment-related offenses","Fair Credit Reporting Act violation","","","federal","private litigation","","civil","","Central District of California","5:18-cv-0903","Crishanda Patton et al v. Church and Dwight Co., Inc.","settlement","","","","","","","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","",""
"CHURCH & DWIGHT CO INC","Church & Dwight","$6,000","$0","$6,000","2005","20050411","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","49296-NEA050001","","","New Jersey","","","","","","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Church & Dwight Co., Inc.","Church & Dwight","$25,000","$0","$25,000","2013","20131022","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","https://drive.google.com/file/d/1QI_GnIWfOIIK9y8E7psnysMgNm09H-by/view","Penalty includes a $12,500 supplemental environmental project"
"CHURCH & DWIGHT CO INC","Church & Dwight","$14,000","$0","$14,000","2013","20130709","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","RIDGEFIELD","10 SOUTH 56TH PLACE","98642","424490","424490: Other Grocery and Related Products Merchant Wholesalers","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$5,000","$0","$5,000","2013","20130124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","OLD FORT","2501 E. COUNTY ROAD 34","44861","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$9,054","$0","$9,054","2017","20170511","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","LAKEWOOD","800 AIRPORT ROAD","08701","325181","325181: Alkalies and Chlorine Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH AND DWIGHT COMPANY INC.","Church & Dwight","$6,860","$0","$6,860","2018","20180405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","COLONIAL HEIGHTS","1851 TOUCHSTONE ROAD","23834","326299","326299: All Other Rubber Product Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$21,595","$0","$21,595","2018","20181101","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","HARRISONVILLE","1607 ANACONDA ROAD","64701","325611","325611: Soap and Other Detergent Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHURCH & DWIGHT CO., INC.","Church & Dwight","$13,260","$0","$13,260","2019","20190809","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","HARRISONVILLE","1607 ANACONDA ROAD","64701","325611","325611: Soap and Other Detergent Manufacturing","USA","New Jersey","publicly traded","CHD","household and personal care products","household products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
