"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Banamex USA","Citigroup","$97,440,000","$0","$97,440,000","2017","20170522","financial offenses","anti-money-laundering deficiencies","","Banamex USA (BUSA), a financial institution based in Los Angeles, California, and a subsidiary of Citigroup Inc., agreed to forfeit $97.44 million and entered into a non-prosecution agreement to resolve an investigation of Bank Secrecy Act violations. In its agreement with the Justice Department, the company admitted to criminal violations by willfully failing to maintain an effective anti-money laundering compliance program with appropriate policies, procedures, and controls to guard against money laundering and willfully failing to file Suspicious Activity Reports.","federal","agency action","Justice Department Criminal Division","criminal","non-prosecution agreement","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","https://www.justice.gov/opa/pr/banamex-usa-agrees-forfeit-97-million-connection-bank-secrecy-act-violations",""
"Banamex USA","Citigroup","$140,000,000","$0","$140,000,000","2015","20150722","financial offenses","banking violation","anti-money-laundering deficiencies","The Federal Deposit Insurance Corporation announced the assessment of a civil money penalty of $140 million against Banamex USA, Century City, California, for violations of the Bank Secrecy Act and anti-money laundering laws and regulations.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","https://www.fdic.gov/news/news/press/2015/pr15061.html",""
"The BISYS Group","Citigroup","$25,000,000","$0","$25,000,000","2007","20070523","financial offenses","accounting fraud or deficiencies","","The BISYS Group, Inc. agreed to pay $25 million to settle allegations that it violated the financial reporting, books-and-records, and internal control provisions of the Securities Exchange Act of 1934.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","https://www.sec.gov/news/press/2007/2007-100.htm",""
"Citibank","Citigroup","$5,500","$0","$5,500","2004","20040806","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/08062004.pdf",""
"Citibank","Citigroup","$793,492,868","$0","$793,492,868","2013","20130107","financial offenses","banking violation","mortgage abuses","Ten mortgage servicing companies subject to enforcement actions for deficient practices in mortgage loan servicing and foreclosure processing reached an agreement in principle with the Office of the Comptroller of the Currency and the Federal Reserve Board to pay more than $8.5 billion in cash payments and other assistance to help borrowers.","federal","agency action","Office of the Comptroller of the Currency","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.occ.gov/static/enforcement-actions/ea2013-131.pdf",""
"Citibank","Citigroup","$310,000,000","$0","$310,000,000","2014","20141112","competition-related offenses","interest rate benchmark manipulation","","The U.S. Commodity Futures Trading Commission settled charges against Citibank N.A., HSBC Bank plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland plc and UBS AG for attempted manipulation of, and for aiding and abetting other banks' attempts to manipulate, global foreign exchange (FX) benchmark rates to benefit the positions of certain traders.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7056-14",""
"Citibank","Citigroup","$250,000,000","$0","$250,000,000","2016","20160525","competition-related offenses","interest rate benchmark manipulation","","The U.S. Commodity Futures Trading Commission settled allegations that Citibank, N.A. on multiple occasions attempted to manipulate, and made false reports concerning, the U.S. Dollar International Swaps and Derivatives Association Fix (USD ISDAFIX), a global benchmark for interest rate products.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7371-16",""
"Citibank","Citigroup","$45,000,000","$0","$45,000,000","2016","20160223","consumer-protection-related offenses","consumer protection violation","banking violation","The Consumer Financial Protection Bureau took two separate actions against Citibank for illegal debt sales and debt collection practices. The second action is against both Citibank and two debt collection law firms it used that falsified court documents filed in debt collection cases in New Jersey state courts. The CFPB ordered Citibank and the law firms to comply with a court order that Citibank refund $11 million to consumers and forgo collecting about $34 million from nearly 7,000 consumers.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-citibank-to-provide-relief-to-consumers-for-illegal-debt-sales-and-collection-practices/",""
"Citibank","Citigroup","$7,890,000","$0","$7,890,000","2016","20160223","consumer-protection-related offenses","consumer protection violation","banking violation","The Consumer Financial Protection Bureau took two separate actions against Citibank for what the agency called illegal debt sales and debt collection practices. In the first action, the CFPB ordered Citibank to provide nearly $5 million in consumer relief and pay a $3 million penalty for selling credit card debt with inflated interest rates and for failing to forward consumer payments promptly to debt buyers. The second action is against both Citibank and two debt collection law firms it used that falsified court documents filed in debt collection cases in New Jersey state courts. The CFPB ordered Citibank and the law firms to comply with a court order that Citibank refund $11 million to consumers and forgo collecting about $34 million from nearly 7,000 consumers.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-citibank-to-provide-relief-to-consumers-for-illegal-debt-sales-and-collection-practices/",""
"Citibank N.A.","Citigroup","$733,800,000","$0","$733,800,000","2015","20150721","consumer-protection-related offenses","consumer protection violation","credit card violation","The Consumer Financial Protection Bureau ordered Citibank, N.A. and its subsidiaries to provide an estimated $700 million in relief to eligible consumers harmed by allegedly illegal practices related to credit card add-on products and services. Roughly 7 million consumer accounts were said to be affected by Citibank's deceptive marketing, billing, and administration of debt protection and credit monitoring add-on products. The agency also said a Citibank subsidiary deceptively charged expedited payment fees to nearly 1.8 million consumer accounts during collection calls. Citibank and its subsidiaries will pay $35 million in civil money penalties to the CFPB.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: C","financial services","banking & securities","http://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-citibank-to-pay-700-million-in-consumer-relief-for-illegal-credit-card-practices/",""
