"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Clark Construction Group, Inc.","Clark Construction Group","$56,297","$0","$56,297","2002","20021018","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1374389","","","Maryland","Bethesda","","20814","238990","238990: All Other Specialty Trade Contractors","USA","Maryland","privately held","","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CLARK CONSTRUCTION","Clark Construction Group","$10,000","$0","$10,000","2009","20090310","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","District of Columbia","WASHINGTON","1325 2ND STREET NE","20002","236220","236220: Commercial and Institutional Building Construction","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION CORPORATION","Clark Construction Group","$9,500","$0","$9,500","2004","20041027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","211 CENTRAL PARK WEST","10024","236118","236118: Residential Remodelers","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION GROUP","Clark Construction Group","$5,000","$0","$5,000","2004","20041027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","District of Columbia","WASHINGTON","2400 M STREET, NW","20037","236220","236220: Commercial and Institutional Building Construction","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION COMPANY, INC.","Clark Construction Group","$12,000","$0","$12,000","2002","20020214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","KIMBERLY","HIGHWAY 31","35091","000000","","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION CO. INC.","Clark Construction Group","$32,999","$0","$32,999","2002","20020124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","NORTHPORT","99 COMMERCE DRIVE","35555","000000","","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION CO., INC.","Clark Construction Group","$37,000","$0","$37,000","2001","20010202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","WALNUT GROVE","THOMPSON BRIDGE ROAD","35990","000000","","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CLARK CONSTRUCTION GROUP INC","Clark Construction Group","$5,425","$0","$5,425","2003","20030222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","100 S. MAIN ST.","90012","236220","236220: Commercial and Institutional Building Construction","USA","Maryland","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Clark Construction Inc.","Clark Construction Group","$5,303","$0","$5,303","2002","20021231","employment-related offenses","wage and hour violation","","prevailing wage violation","state","agency action","Pennsylvania Department of Labor & Industry","civil","","","","","","Pennsylvania","","","","","","USA","Maryland","privately held","","construction and engineering","construction & engineering","Contained in data obtained on May 10, 2017 in response to an open records request. ",""
"Clark Construction Inc.","Clark Construction Group","$13,485","$0","$13,485","2002","20021231","employment-related offenses","wage and hour violation","","prevailing wage violation","state","agency action","Pennsylvania Department of Labor & Industry","civil","","","","","","Pennsylvania","","","","","","USA","Maryland","privately held","","construction and engineering","construction & engineering","Contained in data obtained on May 10, 2017 in response to an open records request. ",""
