"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CLAY LACY AVIATION","Clay Lacy Aviation Inc.","$10,001","$0","$10,001","2011","20110613","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","USA","California","privately held","","airlines","passenger air carriers","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"CLAY LACY AVIATION INC","Clay Lacy Aviation Inc.","$14,000","$0","$14,000","2000","20000203","safety-related offenses","aviation safety violation","","FLT OPNS ","federal","agency action","Federal Aviation Administration","civil","","","1999WP230059 ","","","","","","","","","USA","California","privately held","","airlines","passenger air carriers","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"CLAY LACY AVIATION INC","Clay Lacy Aviation Inc.","$8,880","$0","$8,880","2008","20080411","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2004NM910075 ","","","","","","","","","USA","California","privately held","","airlines","passenger air carriers","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"CLAY LACY AVIATION INC","Clay Lacy Aviation Inc.","$21,000","$0","$21,000","2017","20170213","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2016WP910182","","","","","","","","","USA","California","privately held","","airlines","passenger air carriers","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"CLAY LACY AVIATION","Clay Lacy Aviation Inc.","$10,001","$0","$10,001","2018","20180611","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","USA","California","privately held","","airlines","passenger air carriers","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"CLAY LACY AVIATION","Clay Lacy Aviation Inc.","$10,001","$0","$10,001","2019","20190318","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","91406","","","USA","California","privately held","","airlines","passenger air carriers","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"CLAY LACY AVIATION","Clay Lacy Aviation Inc.","$10,001","$0","$10,001","2019","20190215","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","91406","","","USA","California","privately held","","airlines","passenger air carriers","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Clay Lacy Aviation Inc.","Clay Lacy Aviation Inc.","$18,566","$0","$18,566","2019","20191230","safety-related offenses","aviation safety violation","","","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","airlines","passenger air carriers","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Clay Lacy Aviation Inc.","Clay Lacy Aviation Inc.","$21,000","$0","$21,000","2020","20200130","safety-related offenses","aviation safety violation","","drug testing","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","privately held","","airlines","passenger air carriers","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"CLAY LACY AVIATION INC.","Clay Lacy Aviation Inc.","$24,680","$0","$24,680","2021","20210517","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CARLSBAD","2150 PALOMAR AIRPORT ROAD","92011","481212","481212: Nonscheduled Chartered Freight Air Transportation","USA","California","privately held","","airlines","passenger air carriers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
