"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brand Energy & Infrastructure Services, Inc.","Clayton Dubilier & Rice","$110,000","$0","$110,000","2011","20110223","employment-related offenses","employment discrimination","","sexual harassment and retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Louisiana","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.eeoc.gov/eeoc/newsroom/release/2-23-11a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Brand Energy Solutions, L.L.C.","Clayton Dubilier & Rice","$175,000","$0","$175,000","2009","20090603","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.eeoc.gov/eeoc/newsroom/release/archive/6-3-09b.html","Description field shows type of discrimination that EEOC had alleged."
"Brand Energy Solutions, LLC","Clayton Dubilier & Rice","$131,194","$0","$131,194","2013","20130714","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1663298","","","Arizona","Phoenix","","85034","532490","532490: Other Commercial and Industrial Machinery and Equipment Rental and Leasing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Brand Energy Solutions, LLC","Clayton Dubilier & Rice","$10,618","$0","$10,618","2013","20130714","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1700825","","","Arizona","Phoenix","","85034","532490","532490: Other Commercial and Industrial Machinery and Equipment Rental and Leasing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TruGreen L.P.","Clayton Dubilier & Rice","$53,300","$0","$53,300","2014","20140325","environment-related offenses","environmental violation","","Five companies in Washington have agreed to correct errors in reporting hazardous chemicals as required by federal laws designed to protect communities during chemical emergencies. The companies failed to report the storage of hazardous chemicals in violation of the Emergency Planning and Community-Right-to-Know Act, according to settlements with the U.S. Environmental Protection Agency. The companies have agreed to correct the violations and pay fines.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Puyallup","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f2785177dcc0057085257ca600699ddc.html",""
"TruGreen Limited Partnership","Clayton Dubilier & Rice","$101,043","$0","$101,043","2012","20120105","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1638886","","","Wisconsin","Waukesha","","53186","561730","561730: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TruGreen Limited Partnership","Clayton Dubilier & Rice","$7,643","$0","$7,643","2008","20080202","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1495563","","","Ohio","South Poland","","44514","541320","541320: Landscape Architectural Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TruGreen Limited Partnership","Clayton Dubilier & Rice","$6,619","$0","$6,619","2003","20031130","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1245796","","","Utah","Salt Lake City","","84127","56173","56173: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TruGreen Limited Partnership d/b/a","Clayton Dubilier & Rice","$30,757","$0","$30,757","2004","20041225","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1381133","","","New Hampshire","Manchester","","03108","56173","56173: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TruGreen Limited Partnerswhip","Clayton Dubilier & Rice","$5,651","$0","$5,651","2006","20060531","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1427992","","","Ohio","Walton Hills","","44146","541320","541320: Landscape Architectural Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TRUGREEN LANDCARE INC.","Clayton Dubilier & Rice","$9,000","$0","$9,000","2010","20100104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GOLD RIVER","2131 DISCOVERY LN","95670","561730","561730: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SERVICE MASTERS CORPORATION DBA TRUGREEN CHEMLAWN","Clayton Dubilier & Rice","$7,000","$0","$7,000","2005","20051102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","FAIRFIELD","4041 THUNDERBIRD LN.","45014","561730","561730: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRUGREEN LANDCARE","Clayton Dubilier & Rice","$7,500","$0","$7,500","2004","20041013","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HEMET","700 S ARBOR PARKWAY","92545","561730","561730: Landscaping Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INSTAR SERVICES GROUP L.P.","Clayton Dubilier & Rice","$9,405","$0","$9,405","2004","20040521","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","SAN ANTONIO","8424 S. HWY 87 E","78263","236220","236220: Commercial and Institutional Building Construction","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALENCO WINDOWS","Clayton Dubilier & Rice","$6,500","$0","$6,500","2004","20040412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BRYAN","615 CARSON ST.","77801","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRUGREEN LANDCARE","Clayton Dubilier & Rice","$5,065","$0","$5,065","2000","20001212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HUNTINGTON BEACH","6531 PARIS CR","92648","000000","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIMONTON BUILDING PRODUCTS, INC.","Clayton Dubilier & Rice","$7,125","$0","$7,125","2001","20010221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","PENNSBORO","1 COCHRANE AVE","26415","000000","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIMONTON WINDOWS","Clayton Dubilier & Rice","$14,700","$0","$14,700","2000","20000309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","VACAVILLE","707 ALDRIDGE RD.,","95688","000000","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Metl-Span LLC","Clayton Dubilier & Rice","$31,400","$0","$31,400","2013","20130509","environment-related offenses","energy conservation violation","","","federal","agency action","Energy Department Office of General Counsel","civil","","","","","","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.energy.gov/gc/listings/compliance-certification-enforcement",""
"Scotts Lawn Service (later Trugreen)","Clayton Dubilier & Rice","$8,975,000","$0","$8,975,000","2016","20160923","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","13-cv-1363","Larkin v. The Scotts Company, LLC et al","settlement","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/831040/scotts-workers-seek-nod-for-9m-wage-suit-settlement",""
"TruGreen Limited Partnership","Clayton Dubilier & Rice","$1,780,000","$0","$1,780,000","2015","20150709","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Ohio","13-cv-0133","Matis et al v. TruGreen Limited Partnership et al","settlement","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","",""
"Trugreen Landcare","Clayton Dubilier & Rice","$1,799,750","$0","$1,799,750","2015","20150126","employment-related offenses","wage and hour violation","","minimum wage violation","federal","private litigation","","civil","","Western District of New York","10-cv-6132","Sosa Teoba v. Trugreen Landcare L.L.C.","settlement","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/568547/foreign-workers-seek-nod-on-1-8m-trugreen-wage-deal",""
"InStar Services Group LP","Clayton Dubilier & Rice","$65,000","$0","$65,000","2013","20130801","employment-related offenses","wage and hour violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20150906095056/http://www.ag.ny.gov/press-release/ag-schneiderman-announces-general-contractor-will-pay-65000-workers-post-sandy",""
