"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Burlington Environmental","Clean Earth Inc.","$275,000","$0","$275,000","2011","20111129","environment-related offenses","environmental violation","","A Kent, Washington, hazardous waste management facility has agreed to pay the U.S. Environmental Protection Agency a $275,000 penalty for violating state and federal hazardous waste management laws. According to EPA, workers at Burlington Environmental caused two fires by mishandling hazardous waste and failing to comply with basic facility safety rules.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Kent","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/c8264499b26650c08525795700653aab.html",""
"CLEAN EARTH OF SOUTHEAST PA LLC","Clean Earth Inc.","$46,034","$0","$46,034","2010","20100804","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Clean Earth of Alabama","Clean Earth Inc.","$20,000","$0","$20,000","2020","20200909","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","20-102-CHW","","","Alabama","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","http://adem.alabama.gov/compInfo/2020orders.pdf",""
"Clean Earth of Alabama, Inc.","Clean Earth Inc.","$10,000","$0","$10,000","2019","20190725","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","19-096-CHW","","","Alabama","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","http://adem.alabama.gov/compInfo/2019orders.pdf",""
"Clean Earth of Alabama, Inc.","Clean Earth Inc.","$13,000","$0","$13,000","2018","20180711","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","18-087-CHW","","","Alabama","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Clean Earth of New Castle","Clean Earth Inc.","$14,663","$0","$14,663","2012","20120223","environment-related offenses","environmental violation","","","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","New Castle","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","http://www.dnrec.delaware.gov/Info/Documents/Secretary%27s%20Order%20No.%202012-A-0007.pdf","Modified order allowing a proposal half the penalty be replaced with an Environmental Improvement Project with estimated cost of $19,000"
"Clean Earth of New Castle","Clean Earth Inc.","$21,038","$0","$21,038","2012","20120223","environment-related offenses","environmental violation","","Amended Order supersedes original Order 2011-A-0016 which assessed a $12,750 penalty + $1,913 cost recovery. This Amended Order accepts half, $6,375, as monetary penalty + company's performance of EIP valued at minimum of $12,750 (tree planting project). Cost recovery remains the same.","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","New Castle","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","http://www.nav.dnrec.delaware.gov/DEN3/Detail/EnforcementDetail.aspx?id=11583",""
"CLEAN EARTH OF CARTERET INC.","Clean Earth Inc.","$6,000","$0","$6,000","2018","20181030","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","463356-NEA180001","","","New Jersey","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"CLEAN EARTH OF NORTH JERSEY","Clean Earth Inc.","$5,000","$0","$5,000","2017","20171124","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD991291105-NEA170001","","","New Jersey","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"CLEAN EARTH OF NORTH JERSEY","Clean Earth Inc.","$5,000","$0","$5,000","2015","20151006","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD991291105-NEA150001","","","New Jersey","","","","","","USA","Pennsylvania","privately held","","waste management and environmental services","waste management","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
