"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AK Steel","Cleveland-Cliffs","$46,690","$0","$46,690","2010","20100920","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-45397-001","","","Kentucky","Ashland","","41105","331513","331513: Steel Foundries (except Investment)","USA","Ohio","publicly traded","CLF","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AK Steel","Cleveland-Cliffs","$5,000","$0","$5,000","2013","20130320","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"AK Steel Corporation","Cleveland-Cliffs","$13,480,000","$0","$13,480,000","2006","20060403","environment-related offenses","environmental violation","","To settle alleged violations of the Clean Air Act and the Clean Water Act, AK Steel committed to clean up PCB-contaminated sediments from two streams that are tributaries to the Great Miami River and to remove contaminated soils from adjacent floodplain areas. The settlement also required the company to perform a comprehensive assessment of other releases of contaminants. The cost of the work was estimated at about $12.5 million. The company agreed to pay a civil penalty of $230,000 to the federal government and to spend $750,000 on an environmental remediation project.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Ohio","","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","https://www.justice.gov/archive/opa/pr/2006/April/06_enrd_200.html",""
"AK Steel Corporation","Cleveland-Cliffs","$4,905,750","$0","$4,905,750","2004","20040206","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-34001-001","","","Ohio","Mansfield","","44901","331513","331513: Steel Foundries (except Investment)","USA","Ohio","publicly traded","CLF","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AK Steel Corporation","Cleveland-Cliffs","$1,650,000","$0","$1,650,000","2013","20130821","environment-related offenses","environmental violation","","The United States and the Commonwealth of Kentucky have reached a settlement with the AK Steel Corporation (AK Steel) in Ashland, Ky., resolving alleged violations of the Clean Air Act, AK Steel's title V permit, and the Kentucky State Implementation Plan, announced the Department of Justice and the U.S. Environmental Protection Agency (EPA). Under the terms of settlement, AK Steel will pay a civil penalty of $1.65 million, of which $25,000 will be paid to the Commonwealth of Kentucky, for the alleged violations that occurred at AK Steel's former coke production facility in Ashland.  AK Steel shut down the coke plant on June 21, 2011.  Coke is used as a carbon source and as a fuel to heat and melt iron ore at steel making facilities.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Kentucky","Ashland","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","http://www.justice.gov/opa/pr/united-states-and-commonwealth-kentucky-reach-agreement-ak-steel-corporation-resolve-clean",""
"AK Steel Corporation","Cleveland-Cliffs","$1,300,000","$0","$1,300,000","2015","20150520","environment-related offenses","environmental violation","","Under a settlement agreement with the United States and the state of Michigan, AK Steel Corporation will pay a civil penalty of $1.35 million for past violations of the Clean Air Act at its Dearborn, Michigan facility, implement a variety of procedures to reduce future violations and install dynamic air filtration systems at the Salina Elementary and Salina Intermediate Schools across Ferney Street from the plant, announced the Department of Justice, the Environmental Protection Agency (EPA) and the Michigan Department of Environmental Quality (MDEQ).","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Michigan","Dearborn","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","http://www.justice.gov/opa/pr/ak-steel-pay-13-million-civil-penalty-part-settlement-united-states-and-michigan-air",""
"AK Steel Corporation","Cleveland-Cliffs","$600,000","$0","$600,000","2007","20070131","employment-related offenses","employment discrimination","","racial harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","https://www.eeoc.gov/eeoc/newsroom/release/archive/1-31-07.html","Description field shows type of discrimination that EEOC had alleged."
"AK STEEL CORPORATION","Cleveland-Cliffs","$100,000","$0","$100,000","2005","20051104","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-40352-001","","","Kentucky","Ashland","","41105","331513","331513: Steel Foundries (except Investment)","USA","Ohio","publicly traded","CLF","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AK Steel Corporation","Cleveland-Cliffs","$10,224","$0","$10,224","2012","20120801","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1664587","","","Ohio","West Chester","","45069","33121","33121: Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","USA","Ohio","publicly traded","CLF","mining and minerals","mining","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"AK Steel Corporation","Cleveland-Cliffs","$5,000","$0","$5,000","2015","20150821","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","CLF","mining and minerals","mining","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
