"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cloud Peak Energy","Cloud Peak Energy","$5,000","$0","$5,000","2011","20110919","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","https://drive.google.com/file/d/13_3UEZcVV0Q9SrfT31JblWKgItk3I9nj/view",""
"Spring Creek Coal LLC","Cloud Peak Energy","$10,000","$0","$10,000","2007","20070405","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Decker","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Spring Creek Coal LLC","Cloud Peak Energy","$5,000","$0","$5,000","2007","20070405","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Decker","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Spring Creek Coal LLC","Cloud Peak Energy","$20,000","$0","$20,000","2007","20070405","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Decker","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Cordero Mining LLC","Cloud Peak Energy","$11,306","$0","$11,306","2007","20070802","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Gillette","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Antelope Coal LLC","Cloud Peak Energy","$8,893","$0","$8,893","2007","20070815","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Douglas","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Cordero Mining LLC","Cloud Peak Energy","$10,705","$0","$10,705","2010","20100227","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Gillette","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Cordero Mining LLC","Cloud Peak Energy","$8,893","$0","$8,893","2008","20080411","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Gillette","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Antelope Coal LLC","Cloud Peak Energy","$5,300","$0","$5,300","2010","20100413","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Douglas","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Cordero Mining LLC","Cloud Peak Energy","$5,961","$0","$5,961","2012","20120510","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Gillette","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Spring Creek Coal LLC","Cloud Peak Energy","$15,200","$0","$15,200","2015","20150127","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Decker","","","","","USA","Wyoming","publicly traded","CLDPQ","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
