"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CEVA Logistics International","CMA CGM","$16,666","$0","$16,666","2008","20080508","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-51179-001","","","Michigan","Dearborn","","48126","484110","484110: General Freight Trucking, Local","France","","privately held","","freight and logistics","ocean shipping","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CEVA Logistics U.S., Inc. f/k/a TNT Logistics","CMA CGM","$14,000","$0","$14,000","2007","20071108","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-22593-001","","","Tennessee","Mt Juliet","","37122","484110","484110: General Freight Trucking, Local","France","","privately held","","freight and logistics","ocean shipping","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CEVA LOGISTICS U.S., INC.","CMA CGM","$13,500","$0","$13,500","2007","20070226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MIAMISBURG","511 BYERS RD","45342","484230","484230: Specialized Freight (except Used Goods) Trucking, Long-Distance","France","","privately held","","freight and logistics","ocean shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CEVA LOGISTICS","CMA CGM","$5,100","$0","$5,100","2008","20080107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MENOMONIE","5929 PACKER DRIVE","54751","493110","493110: General Warehousing and Storage","France","","privately held","","freight and logistics","ocean shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ceva Logistics","CMA CGM","$1,750,000","$0","$1,750,000","2017","20171023","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Southern District of California","16-cv-1957","Cifuentes v. Ceva Logistics U.S., Inc.","settlement","","","","","","","France","","privately held","","freight and logistics","ocean shipping","https://www.law360.com/articles/978055/delivery-co-settles-drivers-wage-suit-with-1-75m-deal",""
"Ceva Logistics","CMA CGM","$2,200,000","$0","$2,200,000","2012","20121119","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Central District of California","09-cv-4957","Lonnie Smith v. Ceva Logistics U.S., Inc. et al","settlement","","","","","","","France","","privately held","","freight and logistics","ocean shipping","https://www.law360.com/articles/358255/ceva-to-pay-2-2m-to-end-freight-workers-meal-break-suit",""
"CEVA LOGISTICS","CMA CGM","$5,200","$0","$5,200","2016","20160923","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","France","","privately held","","freight and logistics","ocean shipping","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"CEVA Logistics","CMA CGM","$5,000","$0","$5,000","2018","20180112","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","XCVA 2017-1(HMT)","","","","","","","","","France","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"CEVA LOGISTICS U.S. HOLDINGS, INC.","CMA CGM","$10,001","$0","$10,001","2019","20190410","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Texas","","","77032","","","France","","privately held","","freight and logistics","ocean shipping","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"CEVA LOGISTICS U.S., INC","CMA CGM","$10,001","$0","$10,001","2019","20190620","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Texas","","","77032","","","France","","privately held","","freight and logistics","ocean shipping","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
