"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CNH America LLC","CNH Industrial","$5,960","$0","$5,960","2011","20110314","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1604727","","","Minnesota","Benson","","56215","33311","33311: Agricultural Implement Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CNH (CASE NEW HOLLAND)","CNH Industrial","$8,400","$0","$8,400","2010","20101019","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURTEVANT","7000 DURAND AVE.","53404","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH AMERICA LLC","CNH Industrial","$5,400","$0","$5,400","2004","20041214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","BURLINGTON","1930 DES MOINES AVENUE","52601","333120","333120: Construction Machinery Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH AMERICA LLC","CNH Industrial","$8,450","$0","$8,450","2006","20061031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BELLEVILLE","36 MAPLE STREET","17004","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH America, LLC","CNH Industrial","$5,000","$0","$5,000","2012","20121031","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"CNH America, LLC","CNH Industrial","$22,956","$0","$22,956","2011","20110914","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"CNH INDUSTRIAL","CNH Industrial","$11,000","$0","$11,000","2014","20140916","environment-related offenses","environmental violation","","air quality violation","state","agency action","Illinois Environmental Protection Agency","civil","","","15-62","","","Illinois","","","","","","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"CNH AMERICA L.L.C.","CNH Industrial","$7,613","$0","$7,613","2010","20100311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","GRAND ISLAND","3445 W STOLLEY PARK ROAD","68803","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASE IH","CNH Industrial","$7,800","$0","$7,800","2011","20110207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","GRAND ISLAND","3445 W STOLLEY PARK RD","68801","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH AMERICA LLC","CNH Industrial","$12,375","$0","$12,375","2010","20100311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","BURLINGTON","1930 DES MOINES AVENUE","52601","333120","333120: Construction Machinery Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH AMERICA, L.L.C.","CNH Industrial","$20,900","$0","$20,900","2012","20121129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","GRAND ISLAND","3445 W. STOLLEY PARK RD.","68803","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH AMERICA, LLC","CNH Industrial","$7,000","$0","$7,000","2013","20130724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","GRAND ISLAND","3445 W STOLLEY PARK ROAD","68803","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CASE NEW HOLLAND INC.","CNH Industrial","$7,000","$0","$7,000","2014","20140311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","GOODFIELD","600 E. PEORIA ST.","61742","333111","333111: Farm Machinery and Equipment Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CNH INDUSTRIAL AMERICA, LLC.","CNH Industrial","$24,193","$0","$24,193","2019","20191120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WICHITA","3301 S. HOOVER RD.","67215","333120","333120: Construction Machinery Manufacturing","United Kingdom","","publicly traded","NYSE: CNHI","agribusiness","agricultural equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
