"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BCI Coca-Cola Bottling Company of Los Angeles","Coca-Cola Co.","$250,000","$0","$250,000","2008","20080414","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New Mexico","","","","","","USA","Georgia","publicly traded","KO","beverages","beverages","https://www.eeoc.gov/eeoc/newsroom/release/archive/4-15-08.html","Description field shows type of discrimination that EEOC had alleged."
"BCI Coca-Cola Bottling Company of Los Angeles","Coca-Cola Co.","$14,774","$0","$14,774","2012","20120420","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1638575","","","Arizona","Tempe","","85283","312111","312111: Soft Drink Manufacturing","USA","Georgia","publicly traded","KO","beverages","beverages","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BCI Coca-Cola Bottling Company of Los Angeles d/b/a Coca-Cola Bottling Company of Arizona","Coca-Cola Co.","$11,000","$0","$11,000","2009","20091202","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-22558-001","","","Arizona","Glendale","","85307","312111","312111: Soft Drink Manufacturing","USA","Georgia","publicly traded","KO","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"BCI COCA-COLA BOTTLING COMPANY OF LOS ANGELES, d/b/a YUMA COCA-COLA BOTTLING COMPANY","Coca-Cola Co.","$14,000","$0","$14,000","2005","20050404","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-19565-001","","","Arizona","Yuma","","85036","312111","312111: Soft Drink Manufacturing","USA","Georgia","publicly traded","KO","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Coca Cola Enterprises","Coca-Cola Co.","$14,000","$0","$14,000","2010","20100331","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-38188-001","","","Georgia","College Park","","30337","312111","312111: Soft Drink Manufacturing","USA","Georgia","publicly traded","KO","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Coca-Cola Enterprises, Inc.","Coca-Cola Co.","$300,000","$0","$300,000","2014","20141208","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Georgia","publicly traded","KO","beverages","beverages","https://www.dol.gov/ofccp/foia/files/Coca_Cola_Enterprises_Inc_CA_Redacted.pdf",""
"Coca-Cola Enterprises, Inc.","Coca-Cola Co.","$20,000","$0","$20,000","2006","20060206","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-17724-001","","","Minnesota","Owatonna","","55060","424490","424490: Other Grocery and Related Products Merchant Wholesalers","USA","Georgia","publicly traded","KO","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Coca-Cola Company","Coca-Cola Co.","$4,200,000","$0","$4,200,000","2002","20020524","employment-related offenses","employment discrimination","","The U.S. Department of Labor announced a conciliation agreement with the Coca-Cola Company, under which the company agreed to pay more than $4.2 million to women and minority employees who had complained of salary discrimination at its corporate headquarters in Atlanta.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Georgia","Atlanta","","","","","USA","Georgia","publicly traded","KO","beverages","beverages","https://web.archive.org/web/20170608165146/https://www.dol.gov/opa/media/press/opa/archive/OPA2002313.htm",""
"The Coca-Cola Company","Coca-Cola Co.","$136,500","$0","$136,500","2006","20060203","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Georgia","publicly traded","KO","beverages","beverages","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02032006.pdf",""
"Coca-Cola Bottling co. of New York, Inc., A wholly owned subsidiary of Coca-Cola Enterprises, Inc., d/b/a Coca-Cola Bottling of Greenfield","Coca-Cola Co.","$76,687","$0","$76,687","2001","20010319","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-38340-001","","","Massachusetts","Greenfield","","01301","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","Georgia","publicly traded","KO","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
