"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CMC Steel Fabricators, Inc.","Commercial Metals Co.","$30,188","$0","$30,188","2008","20081206","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1523079","","","California","Fresno","","93725","332312","332312: Fabricated Structural Metal Manufacturing","USA","Texas","publicly traded","CMC","metals","metals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CMC STEEL FABRICATORS, INC. DBA CMC REGIONAL STEEL","Commercial Metals Co.","$5,060","$0","$5,060","2008","20081009","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WALNUT CREEK","2900 OAK ROAD","94596","238120","238120: Structural Steel and Precast Concrete Contractors","USA","Texas","publicly traded","CMC","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWEN JOIST CORPORATION, INC.","Commercial Metals Co.","$5,180","$0","$5,180","2001","20010613","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","South Carolina","CAYCE","850 TAYLOR ST.","29171","000000","","USA","Texas","publicly traded","CMC","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COMMERCIAL METALS COMPANY","Commercial Metals Co.","$9,550","$0","$9,550","2001","20010831","environment-related offenses","environmental violation","","waste clean-up","state","agency action","Florida Department of Environmental Protection","civil","","","11010","","","Florida","","","","","","USA","Texas","publicly traded","CMC","metals","metals","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Commercial Metal Company","Commercial Metals Co.","$7,667","$0","$7,667","2020","20201006","environment-related offenses","environmental violation","","water pollution","state","agency action","Missouri Department of Natural Resources","civil","","","","","","Missouri","","","","","","USA","Texas","publicly traded","CMC","metals","metals","https://dnr.mo.gov/env/wpp/enf/2020-AOC/docs/2020-10-06-commercial-metals-company-abatement-order-on-consent.pdf",""
"Commercial Metal Company","Commercial Metals Co.","$7,667","$0","$7,667","2020","20201006","environment-related offenses","environmental violation","","water pollution","state","agency action","Missouri Department of Natural Resources","civil","","","","","","Missouri","","","","","","USA","Texas","publicly traded","CMC","metals","metals","https://dnr.mo.gov/env/wpp/enf/2020-AOC/docs/2020-10-06-commercial-metals-company-abatement-order-on-consent.pdf",""
"CMC STEEL NEW JERSEY","Commercial Metals Co.","$226,800","$0","$226,800","2020","20200729","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","18052-NEA200001","","","New Jersey","","","","","","USA","Texas","publicly traded","CMC","metals","metals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"CMC STEEL NEW JERSEY","Commercial Metals Co.","$72,500","$0","$72,500","2019","20190717","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","18052-NEA190002","","","New Jersey","","","","","","USA","Texas","publicly traded","CMC","metals","metals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"CMC STEEL NEW JERSEY","Commercial Metals Co.","$100,000","$0","$100,000","2018","20180403","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","18052-NEA170001","","","New Jersey","","","","","","USA","Texas","publicly traded","CMC","metals","metals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"CMC STEEL NEW JERSEY","Commercial Metals Co.","$16,900","$0","$16,900","2016","20160613","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","18052-NEA160001","","","New Jersey","","","","","","USA","Texas","publicly traded","CMC","metals","metals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
