"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ACS Consultant Company, Inc.","Conduent","$47,491","$0","$47,491","2007","20071116","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1495783","","","Connecticut","Cheshire","","06410","561499","561499: All Other Business Support Services","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ACS State & Local Solutions, Inc.","Conduent","$10,278","$0","$10,278","2005","20051027","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1411307","","","Texas","Weslaco","","78596","561310","561310: Employment Placement Agencies","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Affiliated Computer Services A Xerox Company","Conduent","$5,000","$0","$5,000","2010","20101130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-31608-001","","","Indiana","Indianapolis","","46204","921190","921190: Other General Government Support","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Affiliated Computer Services, Inc., a Xerox Company and a wholly-owned subsidiary of Xerox","Conduent","$50,000","$0","$50,000","2011","20110209","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-22617-001","","","North Carolina","Cary","","27518","517210","517210: Wireless Telecommunications Carriers (except Satellite)","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Affiliated Computer Services (ACS)","Conduent","$14,583","$0","$14,583","2005","20050208","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1386179","","","California","Visalia","","93291","54151","54151: Computer Systems Design and Related Services","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ACS Commercial Solutions, Inc.","Conduent","$13,282","$0","$13,282","2010","20101027","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1570716","","","North Carolina","Cary","","27511","56142","56142: Telephone Call Centers","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Affiliated Computer Service Inc","Conduent","$12,000","$0","$12,000","2012","20120103","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1624504","","","Indiana","Indianapolis","","46241","541519","541519: Other Computer Related Services","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Affiliated Computer Services Inc","Conduent","$22,866","$0","$22,866","2010","20100212","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-29735-001","","","New York","Staten Island","","10005","518210","518210: Data Processing, Hosting, and Related Services","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Affiliated Computer Services, Inc.","Conduent","$55,000","$0","$55,000","2011","20110526","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Indiana","","","","","","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","https://www.eeoc.gov/eeoc/newsroom/release/5-26-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"Affiliated Computer Services, Inc.","Conduent","$9,026","$0","$9,026","2004","20040430","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1345263","","","Nebraska","Norfolk","","68701","56131","56131: Employment Placement Agencies","USA","Connecticut","publicly traded","CNDT","miscellaneous services","outsourced services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
