"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Burlington Resources Inc.","ConocoPhillips","$8,500,000","$0","$8,500,000","2001","20010202","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Burlington Resources Inc. agreed to pay the United States $8.5 million to resolve claims under the False Claims Act and administrative claims that the corporation underpaid royalties due for oil produced on federal and Indian leases between 1988 and 1998.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2001/February/052civ.htm",""
"Burlington Resources Offshore","ConocoPhillips","$18,000","$0","$18,000","2000","20001019","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Burlington Resources Offshore","ConocoPhillips","$13,000","$0","$13,000","2000","20000413","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Burlington Resources Offshore Inc.","ConocoPhillips","$47,500","$0","$47,500","2002","20021205","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2002-civil-penalties",""
"Burlington Resources Offshore Inc.","ConocoPhillips","$27,000","$0","$27,000","2001","20010815","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2001-civil-penalties",""
"Conoco","ConocoPhillips","$26,000,000","$0","$26,000,000","2000","20000327","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Conoco agreed to pay $26 million to resolve claims under the False Claims Act and administrative claims that the company underpaid royalties due for oil produced on federal and Indian leases since 1988.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2000/March/146civ.htm",""
"Conoco Inc.","ConocoPhillips","$116,500,000","$0","$116,500,000","2001","20011220","environment-related offenses","environmental violation","","To resolve a Clean Air Act case, Conoco agreed to spend up to $110 million to reduce emissions, pay a $1.5 million civil penalty and spend $5 million on supplementary environmental projects.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2001/December/01_enrd_660.htm",""
"Conoco Inc.","ConocoPhillips","$20,000","$0","$20,000","2000","20000525","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Conoco Inc.","ConocoPhillips","$14,000","$0","$14,000","2002","20021016","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Conoco Inc.","ConocoPhillips","$10,000","$0","$10,000","2002","20021127","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","COP","oil and gas","oil & gas","https://www.bsee.gov/site-page/2002-civil-penalties",""
