"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Centerra Group, LLC f/k/a G4S Government Solutions, Inc. and Ahtna Facility Services, Inc.","Constellis","$171,323","$0","$171,323","2016","20160204","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-122165","","","Michigan","Grand Rapids","","","","","USA","Virginia","privately held","","miscellaneous services","outsourced government services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Centerra Services International Inc.","Constellis","$7,400,000","$0","$7,400,000","2016","20160201","government-contracting-related offenses","False Claims Act and related","","Centerra Services International Inc., formerly known as Wackenhut Services LLC, agreed to pay $7.4 million to resolve allegations that Wackenhut violated the False Claims Act by double billing and inflating labor costs in connection with a contract for firefighting and fire protection services in Iraq.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Virginia","privately held","","miscellaneous services","outsourced government services","https://www.justice.gov/opa/pr/florida-based-centerra-services-international-inc-agrees-pay-74-million-settle-false-claims",""
"G4S Government Solution Inc.","Constellis","$49,588","$0","$49,588","2014","20141207","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1719634","","","Florida","Palm Beach Gardens","","33418","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"G4S Government Solutions, Inc","Constellis","$21,753","$0","$21,753","2012","20121120","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1668793","","","Florida","Palm Beach Gardens","","33418","922160","922160: Fire Protection","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"G4S Government Solutions, Inc","Constellis","$13,463","$0","$13,463","2012","20120923","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1663983","","","Virginia","Radford","","24143","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"G4S Government Solutions, Inc.","Constellis","$69,084","$0","$69,084","2014","20141207","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1723758","","","Florida","Palm Beach Gardens","","33418","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wachenhut Services Incorporated","Constellis","$39,996","$0","$39,996","2004","20040620","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1359306","","","New York","West Point","","10996","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wachenhut Services, Inc.","Constellis","$7,500","$0","$7,500","2001","20011101","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-17195-001","","","Nevada","Las Vegas","","89193","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Wackenhut Service, Inc.","Constellis","$257,154","$0","$257,154","2006","20060728","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1434995","","","California","Pasadena","","91109","927110","927110: Space Research and Technology","USA","Virginia","privately held","","miscellaneous services","outsourced government services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wackenhut Services Inc.","Constellis","$29,750","$0","$29,750","2010","20100224","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-26537-001","","","Florida","Palm Beach Gardens","","33418","561612","561612: Security Guards and Patrol Services","USA","Virginia","privately held","","miscellaneous services","outsourced government services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
