"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Continental Automotive Electronics LLC and Continental Automotive Korea Ltd.","Continental AG","$4,000,000","$0","$4,000,000","2014","20141124","competition-related offenses","price-fixing or anti-competitive practices","","Continental Automotive Electronics LLC and Continental Automotive Korea Ltd. both have agreed to plead guilty and to pay a single criminal fine of $4 million for their roles in a conspiracy to rig bids of instrument panel clusters installed in vehicles manufactured and sold in the United States.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","automotive parts","automotive parts-tires","https://www.justice.gov/opa/pr/continental-automotive-electronics-and-continental-automotive-korea-agree-plead-guilty-bid",""
"Continental Tire the Americas, LLC","Continental AG","$79,110","$0","$79,110","2010","20100315","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1596516","","","South Carolina","Fort Mill","","29708","326211","326211: Tire Manufacturing (except Retreading)","Germany","","publicly traded","","automotive parts","automotive parts-tires","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Continental Tire North America, Inc.","Continental AG","$12,500","$0","$12,500","2007","20070907","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-29012-001","","","Illinois","Mt. Vernon","","62864","326211","326211: Tire Manufacturing (except Retreading)","Germany","","publicly traded","","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Continental Tire North America, Inc.","Continental AG","$7,228","$0","$7,228","2010","20101222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-22499-001","","","North Carolina","Charlotte","","28273","326211","326211: Tire Manufacturing (except Retreading)","Germany","","publicly traded","","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Continental Tire of North America, Inc.","Continental AG","$60,000","$0","$60,000","2006","20060822","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-28612-001","","","Illinois","Mt. Vernon","","62864","326211","326211: Tire Manufacturing (except Retreading)","Germany","","publicly traded","","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ContiTech Thermopol LLC","Continental AG","$17,583","$0","$17,583","2016","20160409","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1782683","","","New Hampshire","Somersworth","","03878","326220","326220: Rubber and Plastics Hoses and Belting Manufacturing","Germany","","publicly traded","","automotive parts","automotive parts-tires","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cosmoflex, Inc.","Continental AG","$80,000","$0","$80,000","2012","20120403","environment-related offenses","environmental violation","","Cosmoflex, Inc., a manufacturer of rubber and plastic hoses and belts, has agreed to pay an $80,000 civil penalty to the United States to settle a series of violations of environmental regulations related to the public reporting of toxic chemicals at its manufacturing facility in Hannibal, Mo.","federal","agency action","Environmental Protection Agency","civil","","","","","","Missouri","Hannibal","","","","","Germany","","publicly traded","","automotive parts","automotive parts-tires","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/e81afc5aa3513487852579d50065601e.html",""
"CONTINENTAL TIRE THE AMERICAS, LLC.","Continental AG","$31,500","$0","$31,500","2010","20100623","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","BARNESVILLE","160 ALDORA ST.","30204","314992","314992: Tire Cord and Tire Fabric Mills","Germany","","publicly traded","","automotive parts","automotive parts-tires","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VEYANCE TECHNOLOGIES INC","Continental AG","$29,300","$0","$29,300","2008","20080724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SAINT MARYS","1115 WAYNE STREET","45885","326299","326299: All Other Rubber Product Manufacturing","Germany","","publicly traded","","automotive parts","automotive parts-tires","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ContiTech USA, Inc.","Continental AG","$20,000","$0","$20,000","2017","20170915","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1828057","","","Wisconsin","Sun Prairie","143 Goodyear Street","53590","326220","326220: Rubber and Plastics Hoses and Belting Manufacturing","Germany","","publicly traded","","automotive parts","automotive parts-tires","May 1, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Continental Automotive Systems US","Continental AG","$23,846,342","$0","$23,846,342","2012","20120521","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of Alabama","5:11-cv-0890","Beaty et al v. Continental Automotive Systems US, Inc","settlement","","","","","","","Germany","","publicly traded","","automotive parts","automotive parts-tires","https://www.law360.com/articles/306951/automaker-continental-to-shell-out-24m-in-erisa-settlement",""
