"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"WAYNE FARMS, LLC","Continental Grain","$7,500","$0","$7,500","2008","20080611","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","UNION SPRINGS","444 S.BASKIN ST.","36089","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS","Continental Grain","$13,100","$0","$13,100","2007","20071001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","OVETT","96 ALLEY APLIN RD","39464","112320","112320: Broilers and Other Meat Type Chicken Production","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Wayne Farms, LLC","Continental Grain","$8,666","$0","$8,666","2016","20160406","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-158804","","","Arkansas","Danville","","","","","USA","New York","privately held","","agribusiness","grain trading","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"WAYNE FARMS, LLC","Continental Grain","$20,500","$0","$20,500","2004","20040510","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","ALBERTVILLE","700 MCDONALD AVENUE","35950","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC","Continental Grain","$7,000","$0","$7,000","2004","20040315","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","JACK","1020 COUNTY ROAD 114","36346","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC (FEED MILL)","Continental Grain","$5,500","$0","$5,500","2002","20020221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","ELKIN","SR 10949 NC HWY 268","28621","000000","","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Wayne Farms LLC","Continental Grain","$1,375,000","$0","$1,375,000","2009","20090817","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of Mississippi","07-md-1872","In re Wayne Farms Llc Fair Labor Standards Act Litigation","settlement","","","","","","","USA","New York","privately held","","agribusiness","grain trading","https://www.law360.com/articles/98477/wayne-farms-seeks-court-ok-to-settle-flsa-mdl",""
"Wayne Farms, LLC","Continental Grain","$175,000","$0","$175,000","2020","20200504","employment-related offenses","employment discrimination","","disability discrimination","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Alabama","Decatur","","","","","USA","New York","privately held","","agribusiness","grain trading","https://www.eeoc.gov/newsroom/wayne-farms-pay-175000-settle-eeoc-lawsuit-disability-discrimination",""
"Wayne Farms","Continental Grain","$10,000","$0","$10,000","2011","20111012","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","12-011-CAP","","","Alabama","","","","","","USA","New York","privately held","","agribusiness","grain trading","http://adem.alabama.gov/compInfo/2012orders.pdf",""
"Wayne Farms. LLC","Continental Grain","$9,200","$0","$9,200","2001","20010507","environment-related offenses","environmental violation","","NPDES","state","agency action","Alabama Department of Environmental Management","civil","","","01-108-CWP   ","","","Alabama","","","","","","USA","New York","privately held","","agribusiness","grain trading","List of FY2001 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"Wayne Farms LLC","Continental Grain","$7,500","$0","$7,500","2002","20020412","environment-related offenses","environmental violation","","water quality violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","New York","privately held","","agribusiness","grain trading","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2002-04-14_Notice_of_Enforcement_Actions.pdf",""
"Wayne Farms LLC","Continental Grain","$5,000","$0","$5,000","2004","20041007","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-4342","","","Georgia","","","","","","USA","New York","privately held","","agribusiness","grain trading","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"CONTINENTAL GRAIN COMPANY","Continental Grain","$6,000","$0","$6,000","2000","20000831","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","New York","privately held","","agribusiness","grain trading","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2003.pdf",""
"WAYNE FARMS, LLC - DECATUR EAST","Continental Grain","$14,880","$0","$14,880","2010","20101214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","100 PLUGS DRIVE","35602","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC - DECATUR WEST","Continental Grain","$15,000","$0","$15,000","2011","20110218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","112 PLUGS DRIVE","35601","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC - DECATUR WEST","Continental Grain","$5,000","$0","$5,000","2011","20110308","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","112 PLUGS DRIVE","35601","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC","Continental Grain","$11,000","$0","$11,000","2011","20111101","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","ENTERPRISE","207 MIDDLEBROOK ST","36330","311119","311119: Other Animal Food Manufacturing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC","Continental Grain","$9,000","$0","$9,000","2013","20131106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","DEFUNIAK SPRINGS","2654 US HIGHWAY 90 EAST","32433","311119","311119: Other Animal Food Manufacturing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC","Continental Grain","$10,500","$0","$10,500","2014","20140224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","DANVILLE","2299 E 8TH ST","72833","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC","Continental Grain","$55,900","$0","$55,900","2014","20140429","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","JACK","1020 COUNTY ROAD 114","36346","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC","Continental Grain","$7,000","$0","$7,000","2014","20141124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","DANVILLE","2299 E 8TH ST","72833","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC (FEED MILL)","Continental Grain","$7,000","$0","$7,000","2015","20150319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","ENTERPRISE","207 MIDDLEBROOK ST","36330","311119","311119: Other Animal Food Manufacturing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC","Continental Grain","$7,000","$0","$7,000","2015","20150609","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","112 PLUGS DRIVE","35601","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC - DECATUR EAST","Continental Grain","$7,000","$0","$7,000","2015","20151005","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","100 PLUGS DRIVE","35602","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC","Continental Grain","$9,142","$0","$9,142","2017","20170118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","112 PLUGS DRIVE","35601","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS, LLC","Continental Grain","$17,746","$0","$17,746","2017","20170906","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","UNION SPRINGS","444 BASKIN STREET SOUTH","36089","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WAYNE FARMS LLC","Continental Grain","$5,000","$0","$5,000","2017","20171214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","DOBSON","802 ATKINS STREET","27017","311615","311615: Poultry Processing","USA","New York","privately held","","agribusiness","grain trading","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
