"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Costco Wholesale","Costco","$11,750,000","$0","$11,750,000","2017","20170119","healthcare-related offenses","Controlled Substances Act violation","","Costco Wholesale agreed to pay $11.75 million to settle allegations that its pharmacies violated the Controlled Substances Act when they filled prescriptions for controlled substances that were incomplete, lacked valid Drug Enforcement Administration (DEA) numbers or were for substances beyond various doctors' scope of practice.","federal","agency action","Drug Enforcement Administration","civil","","","","","","","","","","","","USA","Washington","publicly traded","COST","retailing","retail","https://www.justice.gov/opa/pr/costco-wholesale-pay-1175-million-settle-allegations-lax-pharmacy-controls",""
"Costco Wholesale","Costco","$292,791","$0","$292,791","2005","20050530","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1405989","","","Washington","Issaquah","","98027","42499","42499: Other Miscellaneous Nondurable Goods Merchant Wholesalers","USA","Washington","publicly traded","COST","retailing","retail","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Costco Wholesale Corporation","Costco","$2,335,000","$0","$2,335,000","2014","20140903","environment-related offenses","environmental violation","","Costco Wholesale Corporation, one of the nation's largest retailers, agreed to cut its emissions of ozone-depleting and greenhouse gases from leaking refrigeration equipment at more than half of its stores nationwide. In the settlement announced by the U.S. Environmental Protection Agency and U.S. Department of Justice, Costco will pay $335,000 in penalties for federal Clean Air Act violations and will fix refrigerant leaks and make other improvements at 274 of its stores, which EPA estimates will cost about $2 million over the next three years.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Washington","publicly traded","COST","retailing","retail","http://www.justice.gov/opa/pr/united-states-settles-costco-cut-ozone-depleting-and-greenhouse-gas-refrigerant-emissions",""
"Costco Wholesale Corporation","Costco","$116,068","$0","$116,068","2004","20041121","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1366093","","","Washington","Issaquah","","98027","4239","4239: Miscellaneous Durable Goods Merchant Wholesalers","USA","Washington","publicly traded","COST","retailing","retail","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Costco Wholesale Corporation","Costco","$49,608","$0","$49,608","2008","20081218","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1528093","","","Washington","Issaquah","","98027","42399","42399: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","Washington","publicly traded","COST","retailing","retail","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Costco Wholesale Inc.","Costco","$250,000","$0","$250,000","2016","20161222","employment-related offenses","employment discrimination","","Sexual Harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Illinois","Glenview","","","","","USA","Washington","publicly traded","COST","retailing","retail","https://www.eeoc.gov/eeoc/newsroom/release/12-23-16.cfm","Description field shows type of discrimination that EEOC had alleged."
"COSTCO WHOLESALE","Costco","$5,000","$0","$5,000","2007","20071012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WESTBURY","1250 OLD COUNTRY ROAD","11590","452112","452112: Discount Department Stores","USA","Washington","publicly traded","COST","retailing","retail","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COSTCO WHOLESALE CORPORATION","Costco","$18,000","$0","$18,000","2010","20101102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SUNNYVALE","150 LAWRENCE STATION ROAD","94086","493110","493110: General Warehousing and Storage","USA","Washington","publicly traded","COST","retailing","retail","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COSTCO WHOLESALE, INC./MONROE WET DEPOT #265","Costco","$8,000","$0","$8,000","2006","20060119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MONROE","12 COSTCO DRIVE","08831","424490","424490: Other Grocery and Related Products Merchant Wholesalers","USA","Washington","publicly traded","COST","retailing","retail","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COSTCO WHOLESALE","Costco","$7,700","$0","$7,700","2005","20050407","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","FREMONT","40580 ALBRAE STREET","94538","452910","452910: Warehouse Clubs and Supercenters","USA","Washington","publicly traded","COST","retailing","retail","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
