"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Unimin Corporation","Covia Holdings","$8,800","$0","$8,800","2006","20060505","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-5279","","","Georgia","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Unimin Corporation","Covia Holdings","$7,500","$0","$7,500","2005","20051129","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-4499","","","Georgia","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Unimin Corporation","Covia Holdings","$6,000","$0","$6,000","2005","20050210","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-4543","","","Georgia","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Unimin Corporation","Covia Holdings","$12,000","$0","$12,000","2001","20010221","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-1781","","","Georgia","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"WEDRON SILICA CORP","Covia Holdings","$32,000","$0","$32,000","2012","20120717","environment-related offenses","environmental violation","","","state","agency action","Illinois Environmental Protection Agency","civil","","","10-CH-172","","","Illinois","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"Unimin Corporation","Covia Holdings","$7,056","$0","$7,056","2011","20110220","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2011.pdf",""
"UNIMIN CORPORATION","Covia Holdings","$243,701","$0","$243,701","2002","20020212","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2002-1506","","","","","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Wisconsin Industrial Sand Company, LLC","Covia Holdings","$10,000","$0","$10,000","2000","20000914","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wisconsin","Maiden Rock","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wisconsin Industrial Sand Company, LLC","Covia Holdings","$5,000","$0","$5,000","2000","20000914","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wisconsin","Maiden Rock","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wedron Silica LLC","Covia Holdings","$8,096","$0","$8,096","2009","20090915","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Wedron","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wisconsin Industrial Sand Company, LLC","Covia Holdings","$9,100","$0","$9,100","2010","20100330","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wisconsin","Maiden Rock","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Covia Solutions Inc.","Covia Holdings","$6,996","$0","$6,996","2008","20080318","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","North Carolina","Marston","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wedron Silica LLC","Covia Holdings","$5,080","$0","$5,080","2009","20090916","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Wedron","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wedron Silica LLC","Covia Holdings","$5,080","$0","$5,080","2009","20090916","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Wedron","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Wedron Silica LLC","Covia Holdings","$5,080","$0","$5,080","2009","20090916","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Wedron","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Covia Solutions Inc.","Covia Holdings","$20,000","$0","$20,000","2014","20141110","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Arkansas","Guion","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Unimin Corporation","Covia Holdings","$13,268","$0","$13,268","2011","20110621","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","North Carolina","Bakersville","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Covia Solutions Inc.","Covia Holdings","$39,500","$0","$39,500","2013","20130716","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","North Carolina","Marston","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Covia Solutions Inc.","Covia Holdings","$7,176","$0","$7,176","2013","20130716","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","North Carolina","Marston","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Covia Solutions Inc.","Covia Holdings","$52,500","$0","$52,500","2014","20141110","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Arkansas","Guion","","","","","USA","Ohio","publicly traded","CVIAQ","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
