"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Energy XXI","Cox Oil","$25,000","$0","$25,000","2016","20160323","environment-related offenses","environmental violation","offshore drilling violation","During a BSEE inspection, (1) A Emergency Shut Down was initiated to function test close times of Surface Safety Valves and Surface Controlled Subsurface Safety Valve The SSV on well L-12 failed to close during the ESD, L-12 was in bypass and was not properly flagged and monitored. (2) Function Test of a Sump Pump was initiated and pump failed to activate due to a disconnected gas supply line.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/cp_paid_2nd_qtr_2016.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$15,000","$0","$15,000","2008","20080117","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2008-civil-penalties",""
"Energy XXI GOM, LLC","Cox Oil","$60,000","$0","$60,000","2012","20120614","environment-related offenses","environmental violation","offshore drilling violation","During an on-site inspection, the BSEE Inspector discovered and verified the isolation valves on the LSH bridle were in the closed position on the sump tank (ABH 0100). It was operating with no one in attendance, and the panel was not flagged out of service.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$40,000","$0","$40,000","2015","20151030","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","http://www.bsee.gov/uploadedFiles/BSEE/Enforcement/Civil_Penalties_and_Appeals/CP%20Paid%202015.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$40,000","$0","$40,000","2011","20110919","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEMRE investigation into a minor release of condensate, It was discovered that the operator failed to prevent unauthorized release of hydrocarbons and failed to conduct operations in a safe and workmanlike manner during repair operations of drainage piping.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Energy XXI GOM, LLC","Cox Oil","$35,000","$0","$35,000","2015","20151030","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","http://www.bsee.gov/uploadedFiles/BSEE/Enforcement/Civil_Penalties_and_Appeals/CP%20Paid%202015.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$20,000","$0","$20,000","2012","20120614","environment-related offenses","environmental violation","offshore drilling violation","During an on-site inspection, BSEE Inspectors discovered an open hole, approximately 3 feet x 4 feet, created by missing grating on a walking/working surface. The open hole posed a threat for personnel to drop approximately three feet to the deck below. The open hole was not properly barricaded to protect personnel from entering the hazardous area.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$7,248","$0","$7,248","2014","20140305","environment-related offenses","environmental violation","offshore drilling violation","During a BSEE onsite inspection, inspectors observed multiple oil-leaks on the gas compressor. During a follow up inspection, the operator failed to correct multiple oil leaks on the gas compressor.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2014-revised-42115.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$965,000","$0","$965,000","2017","20170209","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/cp-paid-fy2017.pdf",""
"Energy XXI GOM, LLC","Cox Oil","$26,000","$0","$26,000","2017","20170622","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Louisiana","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/cp-paid-fy2017.pdf",""
