"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cumberland Farms, Inc","Cumberland Farms","$9,628","$0","$9,628","2012","20120724","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1654857","","","Vermont","Randolph","","05060","447110","447110: Gasoline Stations with Convenience Stores","USA","Massachusetts","privately held","","retailing","retail-convenience stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cumberland Farms, Inc.","Cumberland Farms","$43,891","$0","$43,891","2006","20060814","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://web.archive.org/web/20091021034719/http://www.ct.gov/ag/cwp/view.asp?A=2426&Q=318726",""
"Cumberland Farms, Inc.","Cumberland Farms","$35,000","$0","$35,000","2007","20070611","safety-related offenses","tobacco litigation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","Attorney General Martha Coakley Reaches Settlement with Cumberland Farms to Curb Tobacco Sales to Minors, States News Service, June 11, 2007 (via Nexis).",""
"Cumberland Farms, Inc.","Cumberland Farms","$150,000","$0","$150,000","2013","20130301","environment-related offenses","environmental violation","","underground storage tanks","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://ago.vermont.gov/blog/2013/03/01/cumberland-farms-to-pay-150000-for-underground-storage-tank-violations/",""
"CUMBERLAND FARMS, INC.","Cumberland Farms","$5,000","$0","$5,000","2006","20061018","environment-related offenses","environmental violation","","petroleum tank violation","state","agency action","Florida Department of Environmental Protection","civil","","","61706","","","Florida","","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"CUMBERLAND FARMS, INC.","Cumberland Farms","$12,500","$0","$12,500","2006","20060117","environment-related offenses","environmental violation","","petroleum tank violation","state","agency action","Florida Department of Environmental Protection","civil","","","52616","","","Florida","","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"CUMBERLAND FARMS INC","Cumberland Farms","$10,000","$0","$10,000","2009","20091214","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Chelmsford","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=CUMBERLAND FARMS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"CUMBERLAND FARMS INC","Cumberland Farms","$5,750","$0","$5,750","2007","20071026","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Palmer","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=CUMBERLAND FARMS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"CUMBERLAND FARMS INC","Cumberland Farms","$12,500","$0","$12,500","2006","20060607","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Canton","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=CUMBERLAND FARMS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"CUMBERLAND FARMS INC","Cumberland Farms","$23,000","$0","$23,000","2006","20060607","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Canton","","","","","USA","Massachusetts","privately held","","retailing","retail-convenience stores","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=CUMBERLAND FARMS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
