"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Citadel Broadcasting","Cumulus Media","$2,000,000","$0","$2,000,000","2007","20070413","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","http://transition.fcc.gov/eb/Orders/2007/FCC-07-28A1.html",""
"Citadel Broadcasting","Cumulus Media","$20,000","$0","$20,000","2010","20101118","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-29867-001","","","California","Los Angeles","","90016","515112","515112: Radio Stations","USA","Georgia","publicly traded","CMLS","media","broadcasting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cumulus Media","Cumulus Media","$540,000","$0","$540,000","2016","20160107","consumer-protection-related offenses","telecommunications violation","","The Federal Communications Commission's Enforcement Bureau reached a $540,000 settlement with broadcaster Cumulus Media regarding sponsorship identification in radio advertising promoting a proposed energy project.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","https://apps.fcc.gov/edocs_public/attachmatch/DOC-337122A1.pdf",""
"Cumulus Media, Inc","Cumulus Media","$5,134","$0","$5,134","2007","20070130","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1450517","","","North Carolina","Fayetteville","","28303","51511","51511: Radio Broadcasting","USA","Georgia","publicly traded","CMLS","media","broadcasting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Radio License Holding XI, LLC","Cumulus Media","$44,000","$0","$44,000","2014","20140210","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","http://transition.fcc.gov/eb/Orders/2014/FCC-14-10A1.html",""
"Westwood One Broadcast Services, Inc. d/b/a Metro Networks, Inc.","Cumulus Media","$130,000","$0","$130,000","2000","20000531","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-38169-001","","","Illinois","Chicago","","60654","515112","515112: Radio Stations","USA","Georgia","publicly traded","CMLS","media","broadcasting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Westwood One, Inc. d/b/a SmartRoutes Systems","Cumulus Media","$5,711","$0","$5,711","2003","20030328","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-39681-001","","","Massachusetts","Cambridge","","02139","515120","515120: Television Broadcasting","USA","Georgia","publicly traded","CMLS","media","broadcasting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cumulus Media","Cumulus Media","$923,133","$0","$923,133","2012","20120716","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of California","10-cv-1396","Mas v. Cumulus Media Inc.","settlement","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","https://www.law360.com/articles/307149/cumulus-strikes-deal-with-account-execs-in-ot-case",""
"Cumulus Media","Cumulus Media","$233,000","$0","$233,000","2019","20190806","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","https://www.fcc.gov/document/fcc-proposes-233000-fine-against-cumulus-media",""
"Cumulus Radio LLC","Cumulus Media","$233,000","$0","$233,000","2021","20210114","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","https://www.fcc.gov/document/cumulus-fined-233k-violating-sponsorship-id-rules-consent-decree",""
"Cumulus Licensing LLC","Cumulus Media","$32,000","$0","$32,000","2022","20220225","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","CMLS","media","broadcasting","https://www.fcc.gov/document/fcc-proposes-32k-fine-against-cumulus-apparent-eeo-violations",""
