"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CUNA Mutual Life Insurance Co.","CUNA Mutual","$7,500","$0","$7,500","2007","20070228","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.floir.com/siteDocuments/LH-Exams/CUNAMutualLife_89446-07.pdf",""
"CMFG Life Insurance Co.","CUNA Mutual","$38,000","$0","$38,000","2016","20161117","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2016-11-029","","","Maryland","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"CUNA Mutual Insurance Society","CUNA Mutual","$100,000","$0","$100,000","2011","20110624","consumer-protection-related offenses","insurance violation","","","state","agency action","Maine Bureau of Insurance","civil","","","","","","Maine","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2010-2014/pdf/10-219.pdf",""
"CMFG Life Insurance Co.","CUNA Mutual","$15,000","$0","$15,000","2016","20160602","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={66B11F4F-AF04-40D8-AF0C-F07078467B9D}",""
"CMFG Life Insurance Co.","CUNA Mutual","$81,500","$0","$81,500","2016","20160721","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/CUNA62626.pdf",""
"CUNA Brokerage Services Inc.","CUNA Mutual","$15,000","$0","$15,000","2014","20140918","financial offenses","investor protection violation","","","state","agency action","Oklahoma Department of Securities","civil","","","","","","Oklahoma","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.securities.ok.gov/Enforcement/Orders/PDF/Agmt_CUNABrokerage_14-012.pdf",""
"CUNA MUTUAL INSURANCE SOCIETY","CUNA Mutual","$40,000","$0","$40,000","2005","20050405","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2005-00041","","","Virginia","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/14%25801!.PDF",""
"CUNA MUTUAL INSURANCE SOCIETY","CUNA Mutual","$30,000","$0","$30,000","2007","20070830","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2007-00207","","","Virginia","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/1k4601!.PDF",""
"CMFG LIFE INSURANCE COMPANY","CUNA Mutual","$21,000","$0","$21,000","2014","20140926","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2014-00197","","","Virginia","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/2z8h01!.PDF",""
"CMFG Life Insurance Company","CUNA Mutual","$231,000","$0","$231,000","2019","20190415","consumer-protection-related offenses","insurance violation","","","state","agency action","Vermont Department of Financial Regulation","civil","","","","","","Vermont","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://dfr.vermont.gov/sites/finreg/files/regbul/dfr-order-docket-19-014-i-cuna-cmfg.pdf",""
"CUNA Mutual Insurance Society","CUNA Mutual","$584,622","$0","$584,622","2007","20070530","consumer-protection-related offenses","insurance violation","","CUNA agreed to pay $314,000 in penalties along with $270,000 in remediation to resolve multistate allegations that it violated regulations regarding premium refunds.","state","agency action","Multistate Financial  Regulators Case","civil","","","","","","","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.insurance.pa.gov/Regulations/Regulatory%20Actions/Documents/Archived%20Enforcement%20Actions/A-C/cuna_073007.pdf",""
"CMFG Life Insurance Company","CUNA Mutual","$7,500","$0","$7,500","2021","20210104","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","","","","Virginia","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/4r1m01!.PDF",""
"CUNA Brokerage Services, Inc.","CUNA Mutual","$100,000","$0","$100,000","2001","20011205","financial offenses","investor protection violation","financial institution supervision failures","NASD Regulation, Inc. announced two separate enforcement actions involving sales of variable annuities and the supervision of sales activities.","federal","agency action","Financial Industry Regulatory Authority","civil","","","","","","","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://web.archive.org/web/20041019235826/http://www.nasdr.com/news/pr2001/ne_section01_054.html","FINRA is a securities industry self-regulatory body authorized by the federal government. This case was handled by its predecessor, the National Association of Securities Dealers (NASD)."
"CUNA Brokerage Services, Inc.","CUNA Mutual","$50,000","$0","$50,000","2021","20210910","financial offenses","investor protection violation","","","state","agency action","Arkansas Securities Department","civil","","","","","","Arkansas","","","","","","USA","Wisconsin","mutual","","financial services","insurance","http://www.securities.arkansas.gov/!userfiles/file/CBSI%20Consent%20Order%20-%209_10_21.pdf",""
