"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chiquita Brands International Inc.","Cutrale","$25,000,000","$0","$25,000,000","2007","20070319","miscellaneous offenses","payment to designated terrorist organization","","Chiquita Brands International Inc. pleaded guilty to one count of engaging in transactions with a terrorist organization in Colombia.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","Brazil","","privately held","","food products","food products","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_161.html",""
"Chiquita Brands International, Inc.","Cutrale","$100,000","$0","$100,000","2001","20011003","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Brazil","","privately held","","food products","food products","https://www.sec.gov/litigation/litreleases/lr17169.htm",""
"Cutrale Citrus Juices USA Inc.","Cutrale","$58,000","$0","$58,000","2004","20040412","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22934-001","","","Florida","Auburndale","","33823","111320","111320: Citrus (except Orange) Groves","Brazil","","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cutrale Citrus Juices USA, Inc.","Cutrale","$136,596","$0","$136,596","2000","20001118","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-18656-005","","","Florida","Auberdale","","","722310","722310: Food Service Contractors","Brazil","","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cutrale Citrus Juices USA, Inc.","Cutrale","$25,000","$0","$25,000","2001","20011129","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-21270-001","","","Florida","Auburndale","","33823","111320","111320: Citrus (except Orange) Groves","Brazil","","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cutrale Citrus Juices, USA, Inc.","Cutrale","$29,209","$0","$29,209","2004","20040428","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22240-004","","","Florida","Auburndale","","33823","311421","311421: Fruit and Vegetable Canning","Brazil","","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CUTRALE CITRUS JUICES USA, INC.","Cutrale","$20,960","$0","$20,960","2008","20081124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","AUBURNDALE","602 MCKEAN ST.","33823","311411","311411: Frozen Fruit, Juice, and Vegetable Manufacturing","Brazil","","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CUTRALE CITRUS JUICES USA, INC.","Cutrale","$11,400","$0","$11,400","2004","20041207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","LEESBURG","11 CLOUD STREET","34748","311421","311421: Fruit and Vegetable Canning","Brazil","","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CUTRALE CITRUS JUICES USA, INC.","Cutrale","$12,000","$0","$12,000","2000","20000201","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","AUBURNDALE","602 MCKEAN STREET","33823","000000","","Brazil","","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FRESH EXPRESS","Cutrale","$8,811","$0","$8,811","2017","20171102","employment-related offenses","wage and hour violation","","","state","agency action","Illinois Department of Labor","civil","","","17-002851","","","Illinois","","","","","","Brazil","","privately held","","food products","food products","Contained in data obtained on April 16, 2018 in response to an Illinois Freedom of Information Act request. ",""
"Fresh Express Incorporated","Cutrale","$75,000","$0","$75,000","2013","20130109","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Northern District of Illinois","1:12-cv-1583","Hayden v. Fresh Express Incorporated","settlement","","","","","","","Brazil","","privately held","","food products","food products","https://dockets.justia.com/docket/illinois/ilndce/1:2012cv01583/266142",""
"Chiquita Brands","Cutrale","$10,800","$0","$10,800","2011","20110701","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Brazil","","privately held","","food products","food products","https://ww2.arb.ca.gov/chiquita-brands-settlement",""
"Fresh Express","Cutrale","$37,425","$0","$37,425","2010","20100601","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Brazil","","privately held","","food products","food products","https://ww2.arb.ca.gov/fresh-express-settlement",""
