"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Aetna Inc","CVS Health","$567,403","$0","$567,403","2004","20041101","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1409520","","","Connecticut","Hartford","","06105","524128","524128: Other Direct Insurance (except Life, Health, and Medical) Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc","CVS Health","$196,875","$0","$196,875","2003","20031222","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1375880","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","CVS Health","$1,000,000","$0","$1,000,000","2015","20150416","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna Inc.","CVS Health","$199,752","$0","$199,752","2003","20031222","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1389192","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna INC.","CVS Health","$190,963","$0","$190,963","2004","20040403","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1365535","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","CVS Health","$51,547","$0","$51,547","2003","20031222","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1389129","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna Inc.","CVS Health","$27,853","$0","$27,853","2003","20031222","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1389125","","","Connecticut","Hartford","","06103","5241","5241: Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna, Inc","CVS Health","$8,187","$0","$8,187","2013","20130726","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1697541","","","Florida","Tampa","","33619","524114","524114: Direct Health and Medical Insurance Carriers","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Aetna, Inc.","CVS Health","$407,800","$0","$407,800","2014","20140424","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$171,240","$0","$171,240","2011","20110114","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$101,500","$0","$101,500","2014","20140424","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$20,000","$0","$20,000","2011","20110922","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna Life Insurance Company","CVS Health","$5,210","$0","$5,210","2008","20080731","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf",""
"Caremark L.L.C.","CVS Health","$6,000,000","$0","$6,000,000","2014","20140926","government-contracting-related offenses","False Claims Act and related","","Caremark L.L.C., a pharmacy benefit management company, will pay the United States $6 million to settle allegations that Caremark knowingly failed to reimburse Medicaid for prescription drug costs paid on behalf of Medicaid beneficiaries who also were eligible for drug benefits under Caremark-administered private health plans.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://www.justice.gov/opa/pr/caremark-will-pay-6-million-resolve-false-claims-act-allegations",""
"Caremark LLC","CVS Health","$4,250,000","$0","$4,250,000","2013","20131202","government-contracting-related offenses","False Claims Act and related","","Caremark LLC, a pharmacy benefit management company, agreed to pay the government and five states a total of $4.25 million to settle allegations that it knowingly failed to reimburse Medicaid for prescription drug costs paid on behalf of Medicaid beneficiaries, who also were eligible for drug benefits under Caremark-administered private health plans.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://www.justice.gov/opa/pr/cvs-caremark-will-pay-425-million-allegedly-denying-medicaid-claims-reimbursement",""
