"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ProEquities, Inc.","Dai-ichi Life","$1,852,383","$0","$1,852,383","2019","20190311","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.sec.gov/litigation/admin/2019/ia-5125.pdf",""
"Protective Life Insurance Co.","Dai-ichi Life","$1,570,000","$0","$1,570,000","2007","20071210","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","financial services","insurance","Attorney General Abbott Secures $1.5 Million in Credit Insurance Premium Refunds, States News Service, December 10, 2007 (via Nexis).",""
"ProEquities, Inc.","Dai-ichi Life","$7,590","$0","$7,590","2018","20180720","financial offenses","investor protection violation","financial institution supervision failures","","state","agency action","Connecticut Securities and Business Investments Division","civil","","","","","","Connecticut","","","","","","Japan","","publicly traded","","financial services","insurance","https://portal.ct.gov/DOB/Enforcement/Securities-Orders-2/Proequities-Inc---2018-Consent-Order",""
"Protective Life Insurance Co.","Dai-ichi Life","$8,750","$0","$8,750","2000","20000622","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/LH-Exams/Protective_Life_IC_34654-00-CO.pdf",""
"ProEquities, Inc.","Dai-ichi Life","$5,000","$0","$5,000","2004","20040407","financial offenses","investor protection violation","financial institution supervision failures","","state","agency action","Florida Office of Financial Regulation","civil","","","0093-S-2/04","","","Florida","","","","","","Japan","","publicly traded","","financial services","insurance","https://real.flofr.com/datamart/searchFinalOrderFLOFR.do",""
"Protective Life Insurance Co.","Dai-ichi Life","$5,950","$0","$5,950","2004","20040915","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/LH-Exams/Protective_Life_77057-04-CO.pdf",""
"ProEquities, Inc.","Dai-ichi Life","$9,000","$0","$9,000","2010","20101026","financial offenses","investor protection violation","","","state","agency action","Indiana Securities Division","civil","","","10-0270 CA","","","Indiana","","","","","","Japan","","publicly traded","","financial services","insurance","https://securities.sos.in.gov/admin-actions-search/",""
"Protective Life Insurance Company","Dai-ichi Life","$30,000","$0","$30,000","2003","20030227","consumer-protection-related offenses","insurance violation","","","state","agency action","Massachusetts Division of Insurance","civil","","","","","","Massachusetts","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.mass.gov/service-details/year-2003-administrative-actions-january-to-march","Link is to summary of Order, suspended or shared liability for penalties not available."
"Protective Life Insurance Co.","Dai-ichi Life","$25,000","$0","$25,000","2014","20141111","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E4A26299-2325-440D-830C-6A5A8601BB66}",""
"ProEquities, Inc.","Dai-ichi Life","$128,528","$0","$128,528","2015","20150609","financial offenses","investor protection violation","","","state","agency action","Missouri Secretary of State-Securities","civil","","","","","","Missouri","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.sos.mo.gov/CMSImages/Securities/orders/AP-15-21ProequitiesIncconsentorder.pdf",""
