"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Daimler Trucks North America, LLC","Daimler Truck AG","$40,000","$0","$40,000","2015","20150713","employment-related offenses","employment discrimination","","retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","","","","","","Germany","","publicly traded","","motor vehicles","trucks","https://www.eeoc.gov/eeoc/newsroom/release/7-13-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"DETROIT DEISEL CORPORATION","Daimler Truck AG","$10,001","$0","$10,001","2008","20081027","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Michigan","","","","","","Germany","","publicly traded","","motor vehicles","trucks","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Detroit Diesel Corporation","Daimler Truck AG","$28,500,000","$0","$28,500,000","2016","20161006","environment-related offenses","environmental violation","","Detroit Diesel Corporation resolved alleged violations of the Clean Air Act for selling heavy-duty diesel engines that were not certified by EPA and did not meet applicable emission standards.   Under the settlement, Detroit Diesel agreed to spend $14.5 million on projects to reduce nitrogen oxide and other pollutants and to pay a $14 million civil penalty.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","trucks","https://www.justice.gov/opa/pr/detroit-diesel-corporation-pay-penalty-and-reduce-exposure-harmful-diesel-exhaust-resolve",""
"DETROIT DIESEL CORPORATION","Daimler Truck AG","$10,001","$0","$10,001","2008","20081027","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Michigan","","","","","","Germany","","publicly traded","","motor vehicles","trucks","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"DETROIT DIESEL REMANUFACTURING CORPORATION","Daimler Truck AG","$10,001","$0","$10,001","2008","20081027","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Utah","","","","","","Germany","","publicly traded","","motor vehicles","trucks","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Freightliner","Daimler Truck AG","$16,821","$0","$16,821","2006","20060117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21002-001","","","North Carolina","Cleveland","","27013","336112","336112: Light Truck and Utility Vehicle Manufacturing","Germany","","publicly traded","","motor vehicles","trucks","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Freightliner LLC","Daimler Truck AG","$7,112","$0","$7,112","2009","20090122","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21952-001","","","North Carolina","Cleveland","","27013","336120","336120: Heavy Duty Truck Manufacturing","Germany","","publicly traded","","motor vehicles","trucks","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Freightliner Custom Chassis Corporation","Daimler Truck AG","$42,682","$0","$42,682","2006","20060815","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-20842-001","","","South Carolina","Gaffney","","29341","336999","336999: All Other Transportation Equipment Manufacturing","Germany","","publicly traded","","motor vehicles","trucks","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Freightliner Custom Chassis Corp., a subsidiary of Freightliner LLC, a subsidiary of Daimler-Chrysler Corporation, Inc.","Daimler Truck AG","$51,513","$0","$51,513","2005","20051109","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-20070-001","","","South Carolina","Gaffney","","29341","336111","336111: Automobile Manufacturing","Germany","","publicly traded","","motor vehicles","trucks","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Freightliner LLC - Thomas Built Buses","Daimler Truck AG","$24,500","$0","$24,500","2009","20090219","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21892-001","","","North Carolina","High Point","","27260","485410","485410: School and Employee Bus Transportation","Germany","","publicly traded","","motor vehicles","trucks","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
