"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"McKesson Water Products Company","Danone","$1,245,000","$0","$1,245,000","2002","20020306","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","France","","publicly traded","","food products","food products","https://www.eeoc.gov/eeoc/newsroom/release/archive/3-6-02.html","Description field shows type of discrimination that EEOC had alleged."
"DEAN FOODS CO DBA WHITEWAVE FOODS CO","Danone","$6,750","$0","$6,750","2010","20101206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CITY OF INDUSTRY","18275 ARENTH AVE","91748","311511","311511: Fluid Milk Manufacturing","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WWF OPERATING COMPANY DBA WHITEWAVE FOODS","Danone","$18,795","$0","$18,795","2012","20121205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CITY OF INDUSTRY","18275 ARENTH AVE","91748","311511","311511: Fluid Milk Manufacturing","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WWF Operating Company d/b/a WhiteWave Foods","Danone","$40,000","$0","$40,000","2015","20150219","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-125090","","","Texas","Dallas","","","","","France","","publicly traded","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Dannon Company, Inc.","Danone","$21,000,000","$0","$21,000,000","2010","20101215","consumer-protection-related offenses","consumer protection violation","","Dannon agreed to pay $21 million to resolve multistate allegations that it made unsubstantiated and unlawful marketing claims concerning its Activia yogurt and DanActive dairy drinks. ","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","France","","publicly traded","","food products","food products","https://web.archive.org/web/20101228183501/http:/www.azag.gov/press_releases/dec/2010/Press%20Release-%20Dannon%20Settles%20Charges%20for%20Deceptive%20Advertising.html",""
"The Dannon Company, Inc.","Danone","$71,350","$0","$71,350","2007","20071003","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Minster","","","","","France","","publicly traded","","food products","food products","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=56965",""
"EARTHBOUND FARM","Danone","$5,000","$0","$5,000","2011","20110825","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN JUAN BAUTISTA","1721 SAN JUAN HIGHWAY","95045","115114","115114: Postharvest Crop Activities (except Cotton Ginning)","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHITE WAVE FOODS","Danone","$7,000","$0","$7,000","2015","20150528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CITY OF INDUSTRY","18275 ARENTH AVE","91748","311514","311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EARTHBOUND FARM, LLC","Danone","$9,000","$0","$9,000","2016","20161115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN JUAN BAUTISTA","1721 SAN JUAN HWY","95045","339999","339999: All Other Miscellaneous Manufacturing","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DANONE NORTH AMERICA","Danone","$7,956","$0","$7,956","2018","20180824","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MINSTER","216 SOUTHGATE DRIVE","45865","311919","311919: Other Snack Food Manufacturing","France","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
