"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Austin Powder Co.","Davis Mining & Manufacturing","$6,446","$0","$6,446","2003","20031106","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-24505-001","","","New York","Catskill","","12414","212399","212399: All Other Nonmetallic Mineral Mining","USA","Virginia","privately held","","chemicals","explosives","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$20,980","$0","$20,980","2005","20050506","safety-related offenses","motor vehicle safety violation","","OH-2005-0023-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CLEVELAND","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$17,064","$0","$17,064","2004","20041230","safety-related offenses","motor vehicle safety violation","","IN-2004-0158-US0089","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CLEVELAND","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf",""
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$10,540","$0","$10,540","2009","20090820","safety-related offenses","motor vehicle safety violation","","WA-2009-0059-US0748","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CLEVELAND","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf","Year is fiscal year. Date is closing date."
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$8,245","$0","$8,245","2007","20070508","safety-related offenses","motor vehicle safety violation","","OH-2006-0027-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CLEVELAND","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$22,750","$0","$22,750","2009","20090728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MCARTHUR","430 POWDER PLANT RD., ST. RT. 677","45651","325920","325920: Explosives Manufacturing","USA","Virginia","privately held","","chemicals","explosives","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$6,300","$0","$6,300","2007","20070612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","MASONTOWN","EAST STREET","26542","325920","325920: Explosives Manufacturing","USA","Virginia","privately held","","chemicals","explosives","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AUSTIN POWDER COMPANY","Davis Mining & Manufacturing","$9,075","$0","$9,075","2003","20031022","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MCARTHUR","430 POWDER PLANT RD., ST. RT. 677","45651","325920","325920: Explosives Manufacturing","USA","Virginia","privately held","","chemicals","explosives","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Austin Powder Company","Davis Mining & Manufacturing","$16,000","$0","$16,000","2017","20171225","environment-related offenses","environmental violation","","land resources violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2017-12-22_Notice_of_Enforcement_Actions.pdf",""
"Austin Powder Company","Davis Mining & Manufacturing","$18,500","$0","$18,500","2015","20150910","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Virginia","privately held","","chemicals","explosives","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2015-09-10_Notice_of_Enforcement_Actions.pdf",""
