"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DaVita","DaVita HealthCare Partners","$15,625","$0","$15,625","2006","20060503","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1440575","","","Maryland","Berlin","","21811","621492","621492: Kidney Dialysis Centers","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DAVITA INC","DaVita HealthCare Partners","$10,001","$0","$10,001","2007","20070212","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Davita, Inc.","DaVita HealthCare Partners","$58,387","$0","$58,387","2009","20091106","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.dol.gov/ofccp/foia/files/DaVita_Redacted.pdf",""
"DaVita Healthcare Partners, Inc.","DaVita HealthCare Partners","$450,000,000","$0","$450,000,000","2015","20150624","government-contracting-related offenses","False Claims Act and related","","DaVita Healthcare Partners, Inc., the largest provider of dialysis services in the United States, agreed to pay $450 million to resolve claims that it violated the False Claims Act by knowingly creating unnecessary waste in administering the drugs Zemplar and Venofer to dialysis patients, and then billing the federal government for such avoidable waste.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.justice.gov/opa/pr/davita-pay-450-million-resolve-allegations-it-sought-reimbursement-unnecessary-drug-wastage",""
"DaVita Healthcare Partners, Inc.","DaVita HealthCare Partners","$350,000,000","$0","$350,000,000","2014","20141022","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","DaVita Healthcare Partners, Inc., one of the leading providers of dialysis services in the United States, agreed to pay $350 million to resolve claims that it violated the False Claims Act by paying kickbacks to induce the referral of patients to its dialysis clinics.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.justice.gov/opa/pr/davita-pay-350-million-resolve-allegations-illegal-kickbacks",""
"RENAL VENTURES MANAGEMENT LLC","DaVita HealthCare Partners","$10,001","$0","$10,001","2005","20050516","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Total Renal Care Inc","DaVita HealthCare Partners","$5,438","$0","$5,438","2010","20100620","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1613017","","","Illinois","Chicago","","60609","621492","621492: Kidney Dialysis Centers","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Waycross Dialysis Facility, Inc.","DaVita HealthCare Partners","$13,018","$0","$13,018","2004","20041117","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1369514","","","Georgia","Waycross","","31501","621111","621111: Offices of Physicians (except Mental Health Specialists)","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DAVITA OCEAN GARDEN DIALYSIS CENTER","DaVita HealthCare Partners","$6,690","$0","$6,690","2001","20010914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN FRANCISCO","1738 OCEAN AVENUE","94112","000000","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DaVita Rx LLC","DaVita HealthCare Partners","$63,700,000","$0","$63,700,000","2017","20171214","government-contracting-related offenses","False Claims Act and related","","DaVita Rx LLC, a nationwide pharmacy that specializes in serving patients with severe kidney disease, agreed to pay a total of $63.7 million to resolve False Claims Act allegations relating to improper billing practices and unlawful financial inducements to federal healthcare program beneficiaries.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.justice.gov/opa/pr/davita-rx-agrees-pay-637-million-resolve-false-claims-act-allegations",""
"Healthcare Partners Medical Group (now DaVita Medical Group)","DaVita HealthCare Partners","$6,000,000","$0","$6,000,000","2017","20170125","employment-related offenses","wage and hour violation","","","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC541313","EDNA RODRIGUEZ vs. HEALTHCARE PARTNERS MEDICAL GROUP INC","settlement","California","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.law360.com/articles/884236/davita-gets-ok-for-6m-deal-ending-workers-wage-claims",""
"DaVita Inc.","DaVita HealthCare Partners","$3,400,000","$0","$3,400,000","2014","20140114","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of California","12-cv-3255","Bernal v. DaVita, Inc et al","settlement","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.law360.com/articles/459043/kidney-care-provider-to-pay-3-4m-to-settle-ot-suit",""
"HealthCare Partners Holdings LLC","DaVita HealthCare Partners","$270,000,000","$0","$270,000,000","2018","20181001","government-contracting-related offenses","False Claims Act and related","","HealthCare Partners Holdings LLC, doing business as DaVita Medical Holdings LLC, agreed to pay $270 million to resolve its False Claims Act liability for providing inaccurate information that caused Medicare Advantage Plans to receive inflated Medicare payments.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.justice.gov/opa/pr/medicare-advantage-provider-pay-270-million-settle-false-claims-act-liabilities",""
"DaVita Healthcare Partners","DaVita HealthCare Partners","$22,356,143","$0","$22,356,143","2015","20150106","competition-related offenses","kickbacks and bribery","False Claims Act and related","DaVita Healthcare Partners agreed to pay more than $22 million to five states -- California, Colorado, Florida, Kentucky and Ohio -- to settle allegations that it paid illegal kickbacks to induce the referral of patients to its dialysis clinics, thereby causing false claims to be submitted to the states' Medicaid programs. ","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://wayback.archive-it.org/org-386/20161113171028/http://migration.kentucky.gov/Newsroom/ag/davitasettlement.htm",""
"DaVita Rx LLC","DaVita HealthCare Partners","$3,200,000","$3,200,000","$0","2017","20171214","government-contracting-related offenses","False Claims Act and related","","DaVita agreed to pay $3.2 million to settle multistate litigation alleging False Claims Act violations relating to improper billing practices and unlawful financial inducements to federal healthcare program beneficiaries. This was part of a larger $63.7 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-davita-rx-llc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.justice.gov/opa/pr/davita-rx-agrees-pay-637-million-resolve-false-claims-act-allegations",""
"DaVita Inc.","DaVita HealthCare Partners","$125,000","$0","$125,000","2018","20181219","consumer-protection-related offenses","insurance violation","","DaVita agreed to pay $125,000 to the state in settlement of allegations its employees engaged in actions that may have qualified as soliciting insurance without the required licensing.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7B93D9B8-9230-4AA4-A63C-933F09672929}",""
"Total Renal Care, Inc.","DaVita HealthCare Partners","$58,520","$0","$58,520","2014","20140811","environment-related offenses","environmental violation","","wastewater violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","","","","South Carolina","Greer","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://scdhec.gov/sites/default/files/docs/Environment/docs/Enforcement/BoardCopy.Oct.14.pdf",""
"DaVita Inc. and Total Renal Care, Inc.","DaVita HealthCare Partners","$80,000","$0","$80,000","2021","20211105","competition-related offenses","price-fixing or anti-competitive practices","","","state","agency action","Utah Attorney General","civil","","","","","","Utah","","","","","","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","https://attorneygeneral.utah.gov/settlement-utah-v-davita-total-renal-care/",""
"DAVITA HEALTHCARE","DaVita HealthCare Partners","$9,315","$0","$9,315","2011","20110511","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","5143 OFFICE PARK DRIVE","93309","621492","621492: Kidney Dialysis Centers","USA","Colorado","publicly traded","DVA","healthcare services","healthcare services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
